name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
"A. A. A. APPLIANCE, INC.",CORPORATION,PA,,,,PA,739 E CHELTEN AVENUE,PHILADELPHIA,,1,,,739 E CHELTEN AVENUE PHILADELPHIA PA 0 -0 PHILADELPHIA,
"AAA-ARMOR FENCE CO., INC.",CORPORATION,PA,"C/O, GEORGE FEICHTHALE5760 PRESCOTT CT",BENSALEM,,PA,2360 PHILMONT AVE,HUNTINGDON VALLEY,,3,MANUEL BURK,PRESIDENT,2360 PHILMONT AVE HUNTINGDON VALLEY PA 0 -0 MONROE,"C/O, GEORGE FEICHTHALE5760 PRESCOTT CT BENSALEM PA 19020-09"
"AAA AUTO ACCESSORIES, INC.",CORPORATION,PA,,,,,,,,5,,,112 POINT BREEZE PLACE PITTSBURGH PA 0 -0 ALLEGHENY,
AAA BASEMENT WATERPROOFERS INC.,CORPORATION,PA,,,,PA,4654 NORTH 15TH ST,PHILA,,7,,,4654 NORTH 15TH ST PHILA PA 0 -0 PHILADELPHIA,
AAA BAZAAR COMPANY,CORPORATION,PA,,,,PA,417 VERBEKE ST,HARRISBURG,,8,,,417 VERBEKE ST HARRISBURG PA 0 -0 DAUPHIN,
"AAA BEAUTY SUPPLY, INC.",CORPORATION,PA,,,,PA,1618 COTTMAN AVE,PHILA,,9,,,1618 COTTMAN AVE PHILA PA 0 -0 PHILADELPHIA,
AMERICAN ELECTRIC LIGHT AND POWER COMPANY,CORPORATION,PA,,,,PA,356 358 NORTH FIRST ST,JEANNETTE,,10,,,356 358 NORTH FIRST ST JEANNETTE PA 0 -0 WESTMORELAND,
"AAA BRIDALTOWN OF AMERICA, INC.",CORPORATION,PA,3446 GERMANTOWN PIKE,COLLEGEVILLE,19426-1504,PA,3446 GERMANTOWN PIKE,COLLEGEVILLE,19426-1504,11,WILLIAM J TITZE,PRESIDENT,3446 GERMANTOWN PIKE COLLEGEVILLE PA 19426-1504 MONROE,3446 GERMANTOWN PIKE COLLEGEVILLE PA 19426-1504
"A. A. A. APPLIANCE, INC.",CORPORATION,PA,,,,PA,739 E CHELTEN AVENUE,PHILADELPHIA,,1,,,739 E CHELTEN AVENUE PHILADELPHIA PA 0 -0 PHILADELPHIA,
"AAA-ARMOR FENCE CO., INC.",CORPORATION,PA,"C/O, GEORGE FEICHTHALE5760 PRESCOTT CT",BENSALEM,,PA,2360 PHILMONT AVE,HUNTINGDON VALLEY,,3,MANUEL BURK,PRESIDENT,2360 PHILMONT AVE HUNTINGDON VALLEY PA 0 -0 MONROE,"C/O, GEORGE FEICHTHALE5760 PRESCOTT CT BENSALEM PA 19020-09"
