cms_certification_num,payer,code,internal_revenue_code,description,price
171301,GROSS CHARGE,NONE,87007,RM(700) BARIATRIC ROOM,900
171301,GROSS CHARGE,NONE,97006,RM(700) SB SKILLED BARIATRIC ROOM,700
171301,GROSS CHARGE,NONE,67009,RM(700) TELEMETRY ROOM,900
171301,GROSS CHARGE,NONE,17004,RM(700)PRIVATE,900
171301,GROSS CHARGE,NONE,47001,RM(700)SB INTER LEVEL I,170
171301,GROSS CHARGE,NONE,57000,RM(700)SB INTERMEDIATE PRIVATE,190
171301,GROSS CHARGE,NONE,37002,RM(700)SB SKILLED,500
171301,GROSS CHARGE,NONE,77008,RM(700)SB SKILLED TELEMETRY ROOM,700
171301,GROSS CHARGE,NONE,27003,RM(700)SEMI PRIVATE,700
171301,GROSS CHARGE,NONE,5400593,TRANSPORT- OR PROCEDURE,1112.5
171301,GROSS CHARGE,NONE,9641721,CRNA LWR INTST SCOPE NOS (1500),75
171301,GROSS CHARGE,NONE,9641713,CRNA LWR INTST SCOPE NOS (UB),75
171301,GROSS CHARGE,NONE,9641747,CRNA LWR INTST SCR COLSC (1500),75
171301,GROSS CHARGE,NONE,9641739,CRNA LWR INTST SCR COLSC (UB),75
171301,GROSS CHARGE,NONE,9641705,CRNA UPR GI NDSC PX ERCP (1500),75
171301,GROSS CHARGE,NONE,9641689,CRNA UPR GI SCOPE NOS (1500),75
171301,GROSS CHARGE,NONE,9641671,CRNA UPR GI SCOPE NOS (UB),75
171301,GROSS CHARGE,NONE,9641762,CRNA UPR LWR GI NDSC PX (1500),75
171301,GROSS CHARGE,NONE,9641754,CRNA UPR LWR GI NDSC PX (UB),75
171301,GROSS CHARGE,NONE,2719771,AIRWAY,13.05
171301,GROSS CHARGE,NONE,2736288,AIRWAY ESOPHAGEAL,85.65
171301,GROSS CHARGE,NONE,2778090,AIRWAY KING LT-D,50
171301,GROSS CHARGE,NONE,2713220,AMBU BAG ADULT,38
171301,GROSS CHARGE,NONE,2713246,AMBU BAG PEDS,42.85
171301,GROSS CHARGE,NONE,2707982,BIOPSY FORCEP DISP,102
171301,GROSS CHARGE,NONE,2731388,BIOPSY PUNCH DISP,2.8
171301,GROSS CHARGE,NONE,2773877,BIPAP MACHINE PER DAY,866
171301,GROSS CHARGE,NONE,2779619,CANNULA ET CO2 ALL SIZES,14
171301,GROSS CHARGE,NONE,2713758,CAST FIBER,33.95
171301,GROSS CHARGE,NONE,2701704,CAST PADDING,7.9
171301,GROSS CHARGE,NONE,2759926,CAST SHORT ARM ADULT,96.25
171301,GROSS CHARGE,NONE,2759942,CAST SHORT LEG ADULT,153.55
171301,GROSS CHARGE,NONE,2759959,CAST SHORT LEG CHILD,135.2
171301,GROSS CHARGE,NONE,2764926,CATH COUDE 30CC,58
171301,GROSS CHARGE,NONE,2712909,CATH EXTERNAL MALE,0.5
171301,GROSS CHARGE,NONE,2713907,CATH FOLEY 30CC,31.7
171301,GROSS CHARGE,NONE,2704591,CATH FOLEY 3CC,12
171301,GROSS CHARGE,NONE,2713915,CATH FOLEY 5CC,30
171301,GROSS CHARGE,NONE,2709715,CATH KIT,12.25
171301,GROSS CHARGE,NONE,2713873,CATH LEG STRAP,8.2
171301,GROSS CHARGE,NONE,2707867,CATH PLUG,1.35
171301,GROSS CHARGE,NONE,2751600,CATH SECURE,15.9
171301,GROSS CHARGE,NONE,2780831,CATH STATLOCK ANCHOR DEVICE,5.5
171301,GROSS CHARGE,NONE,2701183,CATH STRAIGHT,6.9
171301,GROSS CHARGE,NONE,2704641,CATH THORACIC,16.8
171301,GROSS CHARGE,NONE,2702843,CAUTERY GROUNDING PAD ADULT,11.65
171301,GROSS CHARGE,NONE,2731156,CAUTERY PENCIL,12.75
171301,GROSS CHARGE,NONE,2702595,CHEST DRAINAGE UNIT,47.5
171301,GROSS CHARGE,NONE,2760841,COLOSTOMY BARRIER W/FLANGE,11.05
171301,GROSS CHARGE,NONE,2702793,COLOSTOMY POUCH,7.9
171301,GROSS CHARGE,NONE,2731081,COMPRESSION DEVICE,30.05
171301,GROSS CHARGE,NONE,2704807,CONNECTOR,6.6
171301,GROSS CHARGE,NONE,2708378,CPAP HEADSTRAP/MASK,104
171301,GROSS CHARGE,NONE,2778140,CPAP SYSTEM DISPOSABLE,75
171301,GROSS CHARGE,NONE,2750487,DERMABOND,79
171301,GROSS CHARGE,NONE,2743409,DRAIN BAG,9.7
171301,GROSS CHARGE,NONE,2705812,DRAIN PENROSE,4.85
171301,GROSS CHARGE,NONE,2700813,DRSG ABD,2.15
171301,GROSS CHARGE,NONE,2775849,DRSG ABSORBENT,9.9
171301,GROSS CHARGE,NONE,2700789,DRSG ADAPTIC,3.35
171301,GROSS CHARGE,NONE,2759256,DRSG ALLEVYN,15
171301,GROSS CHARGE,NONE,2774099,DRSG AQUACEL AG,30
171301,GROSS CHARGE,NONE,2770592,DRSG AQUACEL ROPE,25.4
171301,GROSS CHARGE,NONE,2712321,DRSG CALCIUM ALGINATE,108.15
171301,GROSS CHARGE,NONE,2709863,DRSG COBAN COFLEX,8.95
171301,GROSS CHARGE,NONE,2733681,DRSG COMPRESSION,15
171301,GROSS CHARGE,NONE,2719060,DRSG DRAIN SPONGE,0.55
171301,GROSS CHARGE,NONE,2703908,DRSG DUODERM,6.35
171301,GROSS CHARGE,NONE,2700706,DRSG ELASTIC,3.3
171301,GROSS CHARGE,NONE,2737468,DRSG EYE,1.25
171301,GROSS CHARGE,NONE,2729697,DRSG GAUZE 2X2,0.5
171301,GROSS CHARGE,NONE,2700797,DRSG GAUZE 4X4,3.4
171301,GROSS CHARGE,NONE,2715225,DRSG GAUZE SPLIT,28
171301,GROSS CHARGE,NONE,2757201,DRSG HYDROCOL,7.8
171301,GROSS CHARGE,NONE,2705515,DRSG KERLIX GAUZE,2.85
171301,GROSS CHARGE,NONE,2700656,DRSG KLING,2.1
171301,GROSS CHARGE,NONE,2717965,DRSG NU-GAUZE IODOFORM,11.45
171301,GROSS CHARGE,NONE,2714962,DRSG NU-GAUZE PLAIN,11.45
171301,GROSS CHARGE,NONE,2700748,DRSG OP SITE,4.05
171301,GROSS CHARGE,NONE,2776789,"DRSG PRISMA MATRIX 4.34""",17.5
171301,GROSS CHARGE,NONE,2776896,DRSG PROMOGRAN,17.5
171301,GROSS CHARGE,NONE,2758308,DRSG REPLICARE,21.95
171301,GROSS CHARGE,NONE,2777126,DRSG SILVERSORB,6.1
171301,GROSS CHARGE,NONE,2794816,DRSG SUPRASORB CALCIUM ALGINATE,5
171301,GROSS CHARGE,NONE,2715605,DRSG TEGADERM,2.65
171301,GROSS CHARGE,NONE,2707719,DRSG TELFA,1.2
171301,GROSS CHARGE,NONE,2740512,DRSG TOPPERS,13.35
171301,GROSS CHARGE,NONE,2724490,DRSG TUBE GAUZE,3.65
171301,GROSS CHARGE,NONE,2706638,DRSG VASELINE GAUZE,3.5
171301,GROSS CHARGE,NONE,2710457,DRSG XEROFORM,1.4
171301,GROSS CHARGE,NONE,2779882,DRSG XEROFORM GAUZE 5X9,2
171301,GROSS CHARGE,NONE,2748234,EAR WICK,2.05
171301,GROSS CHARGE,NONE,2740843,ELECTRODE DEFIB,56.4
171301,GROSS CHARGE,NONE,2730513,ELECTRODE DEFIB QUICK PA,127.35
171301,GROSS CHARGE,NONE,2701373,ELECTRODE MONITOR 1/PK,21.05
171301,GROSS CHARGE,NONE,2700888,ENEMA CLEANSING,3
171301,GROSS CHARGE,NONE,2708782,EYE LENS IRRIGATION,40.3
171301,GROSS CHARGE,NONE,2719615,FEEDING BAG,4.15
171301,GROSS CHARGE,NONE,2705507,FEEDING PUMP/DAY,40
171301,GROSS CHARGE,NONE,2719623,FEEDING TUBE,43.5
171301,GROSS CHARGE,NONE,2702371,HEEL/ELBOW PROTECTORS,12.7
171301,GROSS CHARGE,NONE,2711497,HOSE KNEE,45.85
171301,GROSS CHARGE,NONE,2715332,HOSE THIGH & WAIST,42.75
171301,GROSS CHARGE,NONE,2716835,INTRODUCER CATH KIT,45
171301,GROSS CHARGE,NONE,2703072,IRRIGATION H2O/NS 1000CC,7.75
171301,GROSS CHARGE,NONE,2703023,IRRIGATION H2O/NS 500CC,5.1
171301,GROSS CHARGE,NONE,2705457,IRRIGATION TUBING SET,12.4
171301,GROSS CHARGE,NONE,2762078,IV ADAPTER,10.6
171301,GROSS CHARGE,NONE,2703098,IV BLOOD SET,23.65
171301,GROSS CHARGE,NONE,2707578,IV CATH PLUG,0.6
171301,GROSS CHARGE,NONE,2769784,IV CLAVE EXTENSION SET,3.8
171301,GROSS CHARGE,NONE,2749067,IV EXTENSION TUBING SET 2-INJ SITES,5.35
171301,GROSS CHARGE,NONE,2716256,IV NEEDLE BUTTERFLY,5.95
171301,GROSS CHARGE,NONE,2708105,IV NEEDLE HUBER,7.35
171301,GROSS CHARGE,NONE,2703288,IV NEEDLE IVC,8.8
171301,GROSS CHARGE,NONE,2712263,IV PICC INTRODUCER,105
171301,GROSS CHARGE,NONE,2711745,IV PICC LINE DUAL LUMEN,420
171301,GROSS CHARGE,NONE,2705424,IV PUMP PER DAY,19.55
171301,GROSS CHARGE,NONE,2702165,IV STOPCOCK,1.25
171301,GROSS CHARGE,NONE,2718559,IV TUBING BLOOD W/FILTER,4.25
171301,GROSS CHARGE,NONE,2703189,IV TUBING BURETROL,18.5
171301,GROSS CHARGE,NONE,2705135,IV TUBING EXTENSION,13.4
171301,GROSS CHARGE,NONE,2743151,IV TUBING FILTER,64.4
171301,GROSS CHARGE,NONE,2703197,IV TUBING PRIMARY NONVENTED,34.05
171301,GROSS CHARGE,NONE,2703114,IV TUBING SECONDARY NONVENTED,15.8
171301,GROSS CHARGE,NONE,2700532,K-PAD MEDIUM,19.25
171301,GROSS CHARGE,NONE,2761153,LOPEZ VALVE,3.8
171301,GROSS CHARGE,NONE,2709772,NASAL PACKING,39.9
171301,GROSS CHARGE,NONE,2708964,O2 AERO CHAMBER,49.5
171301,GROSS CHARGE,NONE,2703577,O2 CANNULA,1.45
171301,GROSS CHARGE,NONE,2736528,O2 CANNULA INFANT/PED,3.7
171301,GROSS CHARGE,NONE,2720803,O2 CHRISTMAS TREE,1.25
171301,GROSS CHARGE,NONE,2703643,O2 CONNECTIVE TUBING,1.05
171301,GROSS CHARGE,NONE,2767895,O2 HOURLY 11-15 LPM,5.25
171301,GROSS CHARGE,NONE,2767879,O2 HOURLY 1-4 LPM,1.75
171301,GROSS CHARGE,NONE,2767887,O2 HOURLY 5-10 LPM,3.2
171301,GROSS CHARGE,NONE,2713279,O2 HUMIDIFIER PREFILL,5.45
171301,GROSS CHARGE,NONE,2716520,O2 INCENTIVE SPIROMETER,20.35
171301,GROSS CHARGE,NONE,2714533,O2 MASK AEROSOL,1.5
171301,GROSS CHARGE,NONE,2714681,O2 MASK ALL SIZES,3.82
171301,GROSS CHARGE,NONE,2707925,O2 MASK NON-REBREATHER,4.15
171301,GROSS CHARGE,NONE,2726842,O2 NEBULIZER UP-DRAFT,2.7
171301,GROSS CHARGE,NONE,2726859,O2 NEBULIZER UP-DRAFT & MASK,1.5
171301,GROSS CHARGE,NONE,2727162,O2 OXISENSOR,25
171301,GROSS CHARGE,NONE,2707099,O2 PEAK FLOW,22.2
171301,GROSS CHARGE,NONE,2703569,O2 PER HOUR,0.6
171301,GROSS CHARGE,NONE,2702918,PADS DEFIBRILLATOR,73.55
171301,GROSS CHARGE,NONE,2778637,PICC STABILIZATION DEVICE,5.5
171301,GROSS CHARGE,NONE,2718229,PO LO FLEX L1-BELOW L5 PRE OTS,60
171301,GROSS CHARGE,NONE,2777167,PO ORTH WHFO RIGID W/O JOINTS,300
171301,GROSS CHARGE,NONE,2714301,PO SPLINT ANKLE,160
171301,GROSS CHARGE,NONE,2701753,PO SPLINT CLAVICLE,70
171301,GROSS CHARGE,NONE,2710515,PO SPLINT COLLAR PHILADELPHIA,40
171301,GROSS CHARGE,NONE,2712958,PO SPLINT COLLAR SMALL,11.25
171301,GROSS CHARGE,NONE,2714012,PO SPLINT COLLAR UNIVERSAL,40
171301,GROSS CHARGE,NONE,2720308,PO SPLINT KNEE SUPPORT,90
171301,GROSS CHARGE,NONE,2733657,PO SPLINT TENNIS ELBOW,8.9
171301,GROSS CHARGE,NONE,2714079,PO SPLINT WRIST COCK UP,60
171301,GROSS CHARGE,NONE,2712727,PO URINE LEG BAG,15.15
171301,GROSS CHARGE,NONE,2719714,PO WHO COCK-UP NONMOLD PRE OTS,60
171301,GROSS CHARGE,NONE,2730844,PO WHO COCK-UP NONMOLDE COLLES,60
171301,GROSS CHARGE,NONE,2730539,SNARE DISP,37.3
171301,GROSS CHARGE,NONE,2767424,SPLINT AIR FOOT/ANKLE,35.85
171301,GROSS CHARGE,NONE,2767432,SPLINT AIR LONG ARM OR LEG,37.5
171301,GROSS CHARGE,NONE,2715167,SPLINT ARM IMMOBILIZER,41.5
171301,GROSS CHARGE,NONE,2713618,SPLINT BURNHAM,8.95
171301,GROSS CHARGE,NONE,2702223,SPLINT FINGER,4.95
171301,GROSS CHARGE,NONE,2752509,SPLINT FINGER GUTTER,4.95
171301,GROSS CHARGE,NONE,2749133,"SPLINT KNEE IMMOBILIZER 20""",56.1
171301,GROSS CHARGE,NONE,2753515,"SPLINT KNEE IMMOBILIZER 22""",44.45
171301,GROSS CHARGE,NONE,2749141,"SPLINT KNEE IMMOBILIZER 24""",56.1
171301,GROSS CHARGE,NONE,2712222,SPLINT METACARPAL,19.2
171301,GROSS CHARGE,NONE,2714988,SPLINT OCL,1.9
171301,GROSS CHARGE,NONE,2717676,SPLINT SAM,15
171301,GROSS CHARGE,NONE,2718393,SPLINT SLING ARM,33
171301,GROSS CHARGE,NONE,2737625,SPLINT SLING SWATHE,33
171301,GROSS CHARGE,NONE,2739068,SPLINT THUMB SPICA,26.15
171301,GROSS CHARGE,NONE,2702405,SPLINT WRIST,34.5
171301,GROSS CHARGE,NONE,2701365,STAPLE REMOVER,10.9
171301,GROSS CHARGE,NONE,2716322,STAPLER SKIN,10
171301,GROSS CHARGE,NONE,2703890,STERI STRIP,3.5
171301,GROSS CHARGE,NONE,2702538,STOCKINETTE IMPERVIOUS,3.8
171301,GROSS CHARGE,NONE,2701266,SUCTION CATHETER,8.75
171301,GROSS CHARGE,NONE,2731610,SUTURE 4-0 ETHILON 662,5.6
171301,GROSS CHARGE,NONE,2731628,SUTURE 5-0 ETHILON 661,12.65
171301,GROSS CHARGE,NONE,2767531,SUTURE ADDITION PKG,6.65
171301,GROSS CHARGE,NONE,2729960,SUTURE REMOVAL SET,5.25
171301,GROSS CHARGE,NONE,2704666,TRAY CATH,26.5
171301,GROSS CHARGE,NONE,2712826,TRAY CATH FOLEY,29.55
171301,GROSS CHARGE,NONE,2719078,TRAY DRESSING CHANGE,28
171301,GROSS CHARGE,NONE,2717205,TRAY EYE-EAR,8.6
171301,GROSS CHARGE,NONE,2701324,TRAY LUMBAR PUNCTURE,17
171301,GROSS CHARGE,NONE,2724037,TRAY SUTURE,29
171301,GROSS CHARGE,NONE,2736643,TRAY WOUND CLEANSING,15
171301,GROSS CHARGE,NONE,2733301,TUBE ET HOLDER,3
171301,GROSS CHARGE,NONE,2700201,TUBE LEVINE,1.8
171301,GROSS CHARGE,NONE,2715738,TUBE RECTAL,4.1
171301,GROSS CHARGE,NONE,2702231,TUBE SALEM SUMP,4.55
171301,GROSS CHARGE,NONE,2723617,TUBE TRACH ALL SIZES,4
171301,GROSS CHARGE,NONE,2715803,UNNA BOOT,30.7
171301,GROSS CHARGE,NONE,2712933,URINE METER,11.35
171301,GROSS CHARGE,NONE,2767739,UROSTOMY FLANGE,14.4
