"cms_certification_num","name","address","city","state","zip5","beds","phone_number","homepage_url","chargemaster_url","last_edited_by_username"
"393302","UPMC CHILDREN'S HOSPITAL OF PITTSBURGH","ONE CHILDREN'S HOSPITAL DRIVE","PITTSBURGH","PA","15224","312","4126925325","https://www.chp.edu/","https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-excel-files/upmc-childrens-cdm-file.xlsx	","captainstabs"
"390002","UPMC MCKEESPORT","1500 FIFTH AVENUE","MC KEESPORT","PA","15132","198","4126642000","https://www.upmc.com/locations/hospitals/mckeesport","https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-excel-files/upmc-mckeesport-cdm-file.xlsx	","captainstabs"
"390016","UPMC JAMESON","1211 WILMINGTON AVENUE","NEW CASTLE","PA","16105","175","7246564100","https://www.upmc.com/locations/hospitals/jameson","https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-excel-files/upmc-jameson-cdm-file.xlsx	","captainstabs"
"390028","UPMC MERCY","1400 LOCUST STREET","PITTSBURGH","PA","15219","495","4122328111","https://www.upmc.com/locations/hospitals/mercy","https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-excel-files/upmc-mercy-cdm-file.xlsx	","captainstabs"
"330239","UPMC CHAUTAUQUA AT WCA","207 FOOTE AVENUE","JAMESTOWN","NY","14701","88","7164870141","https://www.upmc.com/locations/hospitals/chautauqua","https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-excel-files/upmc-chautauqua-cdm-file.xlsx	","captainstabs"
"390039","UPMC SOMERSET","225 SOUTH CENTER AVENUE","SOMERSET","PA","15501","111","8144435000","https://www.somersethospital.com/","https://www.somersethospital.com/wp-content/uploads/2021/01/UPMC-Somerset-Chargemaster.xls	","captainstabs"
"390045","UPMC WILLIAMSPORT","700 HIGH STREET","WILLIAMSPORT","PA","17701","255","5703212389","https://www.upmc.com/locations/hospitals/williamsport","https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-excel-files/upmc-williamsport-and-upmc-williamsport-divine-providence-cdm-file.xlsx","captainstabs"
"390058","UPMC CARLISLE","361 ALEXANDER SPRING ROAD","CARLISLE","PA","17015","165","7172491212","https://www.upmc.com/locations/hospitals/carlisle","https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-excel-files/upmc-carlisle-cdm-file.csv	","captainstabs"
"390063","UPMC HAMOT","201 STATE STREET","ERIE","PA","16550","343","8148776000","https://www.upmc.com/locations/hospitals/hamot","https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-excel-files/upmc-hamot-cdm-file.xlsx	","captainstabs"
"210027","U P M C WESTERN MARYLAND","12500 WILLOWBROOK ROAD","CUMBERLAND","MD","21502","240","2409647000","https://www.wmhs.com/","https://www.wmhs.com/charges/charges.csv	","captainstabs"
"390068","UPMC LITITZ","1500 HIGHLANDS DRIVE","LITITZ","PA","17543","206","7176255670","https://www.upmc.com/locations/hospitals/lititz","https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-excel-files/upmc-lititz-cdm-file.csv	","captainstabs"
"390073","UPMC ALTOONA","620 HOWARD AVENUE","ALTOONA","PA","16601","398","8148892011","https://www.upmc.com/locations/hospitals/altoona","https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-excel-files/upmc-altoona-cdm-file.xlsx	","captainstabs"
"390091","UPMC NORTHWEST","100 FAIRFIELD DRIVE","SENECA","PA","16346","173","8146767600","https://www.upmc.com/locations/hospitals/northwest","https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-excel-files/upmc-northwest-cdm-file.xlsx	","captainstabs"
"390101","UPMC MEMORIAL","1701 INNOVATION DRIVE","YORK","PA","17408","128","7178438623","https://www.upmc.com/locations/hospitals/memorial","https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-excel-files/upmc-memorial-cdm-file.csv	","captainstabs"
"390102","UPMC ST MARGARET","815 FREEPORT ROAD","PITTSBURGH","PA","15215","237","4127844000","https://www.upmc.com/locations/hospitals/st-margaret","https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-excel-files/upmc-st-margaret-cdm-file.xlsx	","captainstabs"
"390104","UPMC KANE","4372 ROUTE 6","KANE","PA","16735","31","8148378585","https://www.upmc.com/media/news/upmc-kane","https://www.kanecommunityhospital.com/assets/Uploads/UPMC-Kane-CDM-File-January-2022.xlsx	","captainstabs"
"390107","UPMC PASSAVANT","9100 BABCOCK BOULEVARD","PITTSBURGH","PA","15237","346","4123676700","https://www.upmc.com/locations/hospitals/passavant","https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-excel-files/upmc-passavant-cdm-file.xlsx	","captainstabs"
"390114","MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM","300 HALKET STREET","PITTSBURGH","PA","15213","363","4126414010","https://www.upmc.com/locations/hospitals/magee","https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-excel-files/upmc-magee-cdm-file.xlsx	","captainstabs"
