name,city,state,website
PEDRO MELENDEZ SANTIAGO,SANTA ISABEL,PR,
ISMAEL MALDONADO LUGARO,PONCE,PR,
WCOC - DAY TREATMENT,WASECA,MN,
TITUS EL SCH,WARRINGTON,PA,
SOUTH BEND HOME LINK,SOUTH BEND,WA,
FLEX PROGRAM,PLANO,IL,
CARENCRO HEIGHTS ELEMENTARY SCHOOL,CARENCRO,LA,
CENTER FOR ALTERNATIVE EDUCATION,PICAYUNE,MS,
276 MINNETONKA COMPASS,MINNETONKA,MN,
SUNSET,LA PUENTE,CA,
THURS CO JUV DET/TUMWATER WEST E,TUMWATER,WA,
CHAP CENTER,BELLEVUE,NE,
LONG TERM CASE,DECATUR,AL,
PASSAGE CHARTER SCHOOL,MONTROSE,CO,
VAN HORNE ELEMENTARY SCHOOL - CLOSED,TUCSON,AZ,
MEREDOSIA-CHAMBERSBURG ELEM SCH,MEREDOSIA,IL,
ANTONIO BADILLO HERNANDEZ,AGUADILLA,PR,
MONTANDON EL SCH,MONTANDON,PA,
JUANITA RIVERA,JUANA DIAZ,PR,
MDP - BULKELEY HIGH SCHOOL,HARTFORD,CT,
MDP - BATCHELDER SCHOOL,HARTFORD,CT,
ANA PAGAN DE RODRIGUEZ,HORMIGUEROS,PR,
IVY DRIVE MEDICALLY FRAGILE,BRISTOL,CT,
SOUTHERN RGC,EGG HARBOR,NJ,
LEAR NORTH ELEMENTARY,NORTH RIDGEVILLE,OH,
NORTHEAST MS/EXTENDED RESOURCE,BRISTOL,CT,
AUTISM PROGRAM - RAWSON SCHOOL,HARTFORD,CT,
TAYLOR PARK ELEM SCHOOL,FREEPORT,IL,
LINCOLN VILLAGE REG JUVENILE DET CTR,ELIZABETHTOWN,KY,
LAWRENCE EARLY LEARNING CENTER,LAWRENCE,NE,
VERONA ELEMENTARY,VERONA,VA,
ALLEN CENTRAL HIGH SCHOOL,EASTERN,KY,
GREENE INTERMEDIATE CENTER,SOUTH BEND,IN,
MEMORIAL ELEMENTARY SCHOOL,BLUEFIELD,WV,
BONFIELD GRADE SCHOOL,BONFIELD,IL,
SU ALEJANDRINA RIOS (SU SABANA),LUQUILLO,PR,
CENTRAL VA. TRAINING CTR.,MADISON HEIGHTS,VA,
JOHN NELSON ELEM SCHOOL,ROCKFORD,IL,
CARPE DIEM - MERIDIAN CAMPUS,INDIANAPOLIS,IN,
READ-TURRENTINE EL,SILSBEE,TX,
JOSE GONZALEZ RUIZ,AGUADA,PR,
BENJAMIN FRANKLIN,COAMO,PR,
CENTRAL AREA,WESTBOROUGH,MA,
EVIT - BRIMHALL JR. HIGH SCHOOL,MESA,AZ,
U OF L PACT PROGRAM,LOUISVILLE,KY,
MONROE TECHNOLOGY CENTER,LEESBURG,VA,
STORER ELEMENTARY SCHOOL,MUNCIE,IN,
SUMMIT SCHOOL,LAS VEGAS,NV,
CHICAGO VIRTUAL CHARTER SCHOOL,CHICAGO,IL,
FIRST STREET EL SCH,CANONSBURG,PA,
TOHICKON VALLEY EL SCH,QUAKERTOWN,PA,
PENINSULA MARINE INSTITUTE,NEWPORT NEWS,VA,
WHITESVILLE ROAD ELEMENTARY SCHOOL,LAGRANGE,GA,
EUGENIO GONZALEZ GONZALEZ,AGUADA,PR,
MALTA 6-7-8,MALTA,MT,
PROJECT RETURN/FLUVANNA CO,PALMYRA,VA,
HAINES MIDDLE SCHOOL,ST CHARLES,IL,
WAIT PRIMARY ELEMENTARY SCHOOL,STREETSBORO,OH,
WORTHINGTON ELEMENTARY SCHOOL,PARKERSBURG,WV,
GRENADA VOC COMPLEX,GRENADA,MS,
MEREDOSIA-CHAMBERSBURG HIGH SCH,MEREDOSIA,IL,
CENTRAL COMMUNITY ELEMENTARY SCHOOL,READING,OH,
PAEC EDUCATION CENTER EC,MAYWOOD,IL,
