name,city,state,address,zip,website,category,public_private,district,lat,lon
LINCOLN ELEMENTARY SCHOOL,GRANTS PASS,OR,1132 NE 10TH ST,97526,https://www.grantspass.k12.or.us,ELEMENTARY,PUBLIC,GRANTS PASS SCHOOL DISTRICT 7,42.449894,-123.313576
LINCOLN ELEMENTARY SCHOOL,HARRISON,NJ,221 CROSS STREET,07029,https://lnc.edison.k12.nj.us/,ELEMENTARY,PUBLIC,HARRISON PUBLIC SCHOOLS,40.749172,-74.15542
LINCOLN ELEMENTARY SCHOOL,HASBROUCK HEIGHTS,NJ,BURTON & PATERSON AVES,07604,https://www.hhschools.org/Domain/9,ELEMENTARY,PUBLIC,HASBROUCK HEIGHTS SCHOOL DISTRICT,40.865166,-74.06967
LINCOLN ELEMENTARY SCHOOL,HASTINGS,NE,720 S FRANKLIN,68901,https://hastingspublicschools.org/schools/lincoln-elementary/,ELEMENTARY,PUBLIC,HASTINGS PUBLIC SCHOOLS,40.576313,-98.398026
LINCOLN ELEMENTARY SCHOOL,HOFFMAN ESTATES,IL,1650 MAUREEN DR,60192,https://www.u-46.org/Lincoln,ELEMENTARY,PUBLIC,SCHOOL DISTRICT U-46,42.055607,-88.242775
LINCOLN ELEMENTARY SCHOOL,HUDSON,MI,746 NORTH MAPLE GROVE AVE,49247,https://www.hudson.k12.mi.us,ELEMENTARY,PUBLIC,HUDSON AREA SCHOOLS,41.86424,-84.35098
LINCOLN ELEMENTARY SCHOOL,HUNTINGTON,IN,2037 E TAYLOR ST,46750,https://www.hanover.k12.in.us/lincolnel,ELEMENTARY,PUBLIC,HUNTINGTON COUNTY COMMUNITY SCH CORPORATION,40.869453,-85.46646
LINCOLN ELEMENTARY SCHOOL,HUTCHINSON,KS,315 EAST BIGGER,67501,https://www.usd308.com,ELEMENTARY,PUBLIC,HUTCHINSON PUBLIC SCHOOLS,38.04168,-97.92485
LINCOLN ELEMENTARY SCHOOL,IOWA CITY,IA,300 TEETERS COURT,52246,http://www.edline.net/pages/lincoln_eschool,ELEMENTARY,PUBLIC,IOWA CITY COMMUNITY SCHOOL DISTRICT,41.66708,-91.55273
LINCOLN ELEMENTARY SCHOOL,JACKSON,TN,425 BERRY ST,38301,https://www.jmcss.org/domain/19,ELEMENTARY,PUBLIC,MADISON COUNTY,35.629658,-88.8011
LINCOLN ELEMENTARY SCHOOL,JAMESTOWN,ND,319 5TH ST NE,58401,https://www.jamestown.k12.nd.us,ELEMENTARY,PUBLIC,JAMESTOWN 1,46.913216,-98.70476
LINCOLN ELEMENTARY SCHOOL,KENNEWICK,WA,4901 WEST 21ST AVENUE,99338,https://lincoln.osd.wednet.edu/,ELEMENTARY,PUBLIC,KENNEWICK SCHOOL DISTRICT,46.189213,-119.18664
LINCOLN ELEMENTARY SCHOOL,LAKEWOOD,OH,15615 CLIFTON BLVD,44107,https://www.gahannaschools.org/schools/lincoln_elementary/lincoln_home.aspx,ELEMENTARY,PUBLIC,LAKEWOOD CITY,41.491127,-81.80669
LINCOLN ELEMENTARY SCHOOL,LAPORTE,IN,402 HARRISON ST,46350,https://www.hanover.k12.in.us/lincolnel,ELEMENTARY,PUBLIC,LAPORTE COMMUNITY SCHOOL CORPORATION,41.609863,-86.71666
LINCOLN ELEMENTARY SCHOOL,LINCOLN,AL,79001 AL HWY 77,35096,http://les.tcboe.org,ELEMENTARY,PUBLIC,TALLADEGA COUNTY,33.637146,-86.10074
LINCOLN ELEMENTARY SCHOOL,LINCOLN,AR,613 COUNTY AVE,72744,https://www.lincolncsd.com,ELEMENTARY,PUBLIC,OIL CITY AREA SCHOOL DISTRICT,35.955624,-94.41847
LINCOLN ELEMENTARY SCHOOL,LINCOLN,MT,808 MAIN STREET,59639,http://lincolnlynx.com,ELEMENTARY,PUBLIC,LINCOLN K-12 SCHOOLS,46.956093,-112.67408
LINCOLN ELEMENTARY SCHOOL,LINCOLN,ND,3320 MCCURRY WAY,58504,http://www.lincoln.bismarckschools.org/lincoln/,ELEMENTARY,PUBLIC,BISMARCK 1,46.768227,-100.692245
LINCOLN ELEMENTARY SCHOOL,LOVELAND,CO,3312 NORTH DOUGLAS AVENUE,80538,https://lincoln.dpsk12.org/,ELEMENTARY,PUBLIC,THOMPSON SCHOOL DISTRICT R-2J,40.42567,-105.089096
LINCOLN ELEMENTARY SCHOOL,MESA,AZ,930 SOUTH SIRRINE,85210,https://www.mpsaz.org/lincoln/,ELEMENTARY,PUBLIC,INDIAN RIVER,33.39778,-111.82855
LINCOLN ELEMENTARY SCHOOL,MOUNT PLEASANT,IA,501 S CORKHILL,52641,https://www.iowacityschools.org/lincolnes,ELEMENTARY,PUBLIC,MOUNT PLEASANT COMMUNITY SCHOOL DISTRICT,40.961414,-91.54844
LINCOLN ELEMENTARY SCHOOL,MOUNT VERNON,WA,1005 S 11TH ST,98274,https://lincoln.osd.wednet.edu/,ELEMENTARY,PUBLIC,MOUNT VERNON SCHOOL DISTRICT,48.415344,-122.327934
LINCOLN ELEMENTARY SCHOOL,NEW BRITAIN,CT,145 STEELE ST.,06052,https://www.csdnb.org,ELEMENTARY,PUBLIC,NEW BRITAIN SCHOOL DISTRICT,41.659203,-72.80486
