name,city,state,address,zip
ANTWERP LOCAL ELEMENTARY SCHOOL,ANTWERP,OH,303 S,45813
ANTWERP LOCAL HIGH SCHOOL,ANTWERP,OH,303 S,45813
ANTWERP LOCAL MIDDLE SCHOOL,ANTWERP,OH,303 S,45813
APOLLO ELEMENTARY,RENTON,WA,6017,98059
A CHILD S PLACE,BALTIMORE,MD,2404,21210
APPLE PIE PRESCHOOL,BIG SUR,CA,HWY. 1,93920
A. E. PHILLIPS LABORATORY SCHOOL,RUSTON,LA,RUSTON,71270
A.P LUTALI,PAGO PAGO,AS,BOX DOE,96799
AARON COHN REGIONAL YOUTH DETENTION CENTER,MIDLAND,GA,A 31820,31820
ABRAHAM LINCOLN ELEMENTARY SCHOOL,HAMMOND,IN,4221 S,46327
ACADEMY OF CHOICE,HOUSTON,TX,9016-A,77055
ACADEMY OF GREATNESS AND EXCELLENCE,TEANECK,NJ,441 N ST,07666
ARMSTRONG-ELLIS ELEM SCHOOL,ARMSTRONG,IL,PO BOX 7,61812
AROMAS ELEMENTARY,AROMAS,CA,VEGA ST.,95004
ACCIDENT ELEMENTARY,ACCIDENT,MD,ACCIDENT,21520
ARTOIS ELEMENTARY,ARTOIS,CA,PO BOX H,95913
ASHFIELD MIDDLE SCHOOL,BROCKTON,MA,BROCKTON,02302
ASHWORTH MIDDLE SCHOOL,CALHOUN,GA,9227,30701
ASM BEAUTY WORLD ACADEMY,HOLLYWOOD,FL,6630 &,33024
ADVANCED COLLEGE-STOCKTON,STOCKTON,CA,8338 N,95210
AFONOTELE ELEMENTARY SCHOOL,PAGO PAGO,AS,BOX DOE,96799
ATHENA DAY SCHOOL,PLYMOUTH,MA,123 S ST,02360
ATHENS RENAISSANCE SCHOOL,ATHENS,AL,"405 S E,",35611
ATLAS LEARNING ACADEMY,LINCOLN,CA,870 J ST,95648
ATSA BIYAAZH COMMUNITY SCHOOL,SHIPROCK,NM,SHIPROCK,87420
AUA ELEMENTARY SCHOOL,PAGO PAGO,AS,BOX DOE,96799
AIRPORT ROAD INTERMEDIATE SCHOOL,COOSADA,AL,COOSADA,36020
AKHIOK SCHOOL,AKHIOK,AK,AKHIOK,99615
AKRON ELEMENTARY SCHOOL,AKRON,CO,AKRON,80720
AUGUSTINIAN ACADEMY,CARTHAGE,NY,317 W ST,13619
AL-HAMRA ACADEMY,SHREWSBURY,MA,435 S ST,01545
AURORA ELEMENTARY SCHOOL,AURORA,NE,18 H ST,68818
AURORA HIGH SCHOOL,AURORA,NE,300 M ST,68818
AURORA PRESCHOOL,AURORA,NE,409 J ST,68818
ALAMO NAVAJO COMMUNITY SCHOOL,ALAMO,NM,ALAMO,87825
AUSTINTOWN ELEMENTARY SCHOOL,YOUNGSTOWN,OH,IDAHO RD,44515
ALATAUA-LUA ELEMENTARY SCHOOL,PAGO PAGO,AS,BOX DOE,96799
AVAIL SCHOOL,ANCHORAGE,AK,425 C ST,99501
ALBANY LOWER ELEMENTARY SCHOOL,ALBANY,LA,ALBANY,70711
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIENCES-OHIO,WESTLAKE,OH,3600,44145
ALBION ELEMENTARY SCHOOL,ALBION,ID,ALBION,83311
AXEVILLE SCHOOL,CONEWANGO VALLEY,NY,N E RD,14726
ALDER GROVE CHARTER SCHOOL 2,EUREKA,CA,714 F ST,95501
ALEKNAGIK SCHOOL,ALEKNAGIK,AK,LAKE ST,99555
BALDWYN CAREER ADVANCEMENT CENTER,BALDWYN,MS,BALDWYN,38824
BALKO HS,BALKO,OK,OK-3,73931
ALHAMBRA SENIOR HIGH,MARTINEZ,CA,150 E ST,94553
ALINE-CLEO HS,ALINE,OK,ALINE,73716
ALISO VIEJO CHRISTIAN,ALISO VIEJO,CA,1 ORION,92656
ALISO VIEJO CHRISTIAN SCHOOL,ALISO VIEJO,CA,1 ORION,92656
BARACK H OBAMA LEARNING ACADEMY,MARKHAM,IL,16448 S,60428
ALL SAINTS EPISCOPAL SCHOOL,FORT WORTH,TX,9700,76108
BARBARA WORTH JUNIOR HIGH,BRAWLEY,CA,385 D ST,92227
ALLAKAKET SCHOOL,ALLAKAKET,AK,MAIN RD,99720
BARLEY FLATS CAMP,LA CANADA,CA,STAR RT.,91011
ALMA HIGH SCHOOL,ALMA,AR,3607,72921
ALMANOR HIGH (CONTINUATION),CHESTER,CA,CHESTER,96020
ALOFAU ELEMENTARY SCHOOL,PAGO PAGO,AS,BOX DOE,96799
ALTERNATIVE MIDDLE SCHOOL (INDIAN OASIS MIDDLE SCHOOL),SELLS,AZ,AZ-86,85634
ALTHA PUBLIC SCHOOL,ALTHA,FL,25820 NE,32421
AMANDA GIST ELEMENTARY SCHOOL,COTTER,AR,COTTER,72626
AMHERST HIGH SCHOOL,AMHERST,NE,AMHERST,68812
ANDOVER SCHOOL,ANDOVER,NY,31 ELM,14806
ANNE ARUNDEL COMMUNITY COLLEGE - GLEN BURNIE TOWN CENTER,GLEN BURNIE,MD,N 21061,21061
ANNIE BELLE CLARK PRIMARY SCHOOL,TIFTON,GA,7919,31793
ANNIE E. CHENEY KINDERGARTEN,COALINGA,CA,COALINGA,93210
BEL-AIR CHRISTIAN SCHOOL,ANAHEIM,CA,NO THERE,92804
BELLAIRE EL SCH,CARLISLE,PA,CARLISLE,17013
BRISTOW HS,BRISTOW,OK,BRISTOW,74010
BELT 7-8,BELT,MT,BELT,59412
BELT HIGH SCHOOL,BELT,MT,BELT,59412
BELT SCHOOL,BELT,MT,BELT,59412
BELWOOD ELEMENTARY SCHOOL,CALHOUN,GA,3901,30701
BROOKINGS-HARBOR HIGH SCHOOL,BROOKINGS,OR,8293,97415
BROOKLAND MIDDLE SCHOOL,BROOKLAND,AR,72417,72417
BENKELMAN ELEMENTARY SCHOOL,BENKELMAN,NE,900 A ST,69021
BERKELEY ELEMENTARY,MONCKS CORNER,SC,715 SC-6,29461
BERKSHIRE HILLS SDA SCHOOL,LANESBOROUGH,MA,900 MA-8,01237
BRURIAH H.S. OF THE JEWISH EDUCATIONAL CENTER,ELIZABETH,NJ,35 N AVE,07208
BRYAN COUNTY ELEMENTARY SCHOOL,PEMBROKE,GA,PAYNE RD,31321
BERTRAM EL,BERTRAM,TX,315 MAIN,78605
BESSIE L. BAGGETT ELEMENTARY,POWDER SPRINGS,GA,8630,30127
BETHANY CHRISTIAN SCHOOL,PLANO,TX,PLANO,75075
BETHEL MIDDLE SCHOOL,ALEXANDER,AR,8665,72002
BETZ ELEMENTARY,CHENEY,WA,CHENEY,99004
BIG PASTURE ES,RANDLETT,OK,10TH ST,73562
BIG PASTURE HS,RANDLETT,OK,10TH ST,73562
BIG PINE ELEMENTARY,BIG PINE,CA,BIG PINE,93513
BIG PINE HIGH,BIG PINE,CA,BIG PINE,93513
BURGETTSTOWN MS/HS,BURGETTSTOWN,PA,2731,15021
BIG TIMBER 7-8,BIG TIMBER,MT,5TH AND,59011
BIG TIMBER SCHOOL,BIG TIMBER,MT,5TH AND,59011
BIGGS ELEMENTARY,BIGGS,CA,300 B ST,95917
BIGGS INTERMEDIATE COMMUNITY DAY,BIGGS,CA,300 B ST,95917
BIGGS MIDDLE,BIGGS,CA,300 B ST,95917
BIRCHWOOD ELEMENTARY SCHOOL,DOVER,NJ,1 ART ST,07801
BURWELL JR-SR HIGH SCHOOL,BURWELL,NE,190 I ST,68823
BISHOP CHATARD,INDIANAPOLIS,IN,5885 N,46220
BUTNER ES,CROMWELL,OK,OK-56,74837
BUTNER HS,CROMWELL,OK,OK-56,74837
BISMARCK-HENNING JR HIGH SCHOOL,BISMARCK,IL,BISMARCK,61814
BYRNS DARDEN ELEMENTARY,CLARKSVILLE,TN,609 E ST,37042
C G SIVELLS EL,WHARTON,TX,WHARTON,77488
C STAINKE EL,DONNA,TX,DONNA,78537
BLAINE HOME CONNECTIONS,BLAINE,WA,580 C ST,98230
BLAINE MIDDLE SCHOOL,BLAINE,WA,975 H ST,98230
BLAKE AUSTIN COLLEGE,VACAVILLE,CA,611-K,95687
CACTUS EL,CACTUS,TX,100 S DR,79013
BLESSED SACRAMENT SCHOOL,EAST WALPOLE,MA,808 E ST,02081
CALAVERAS RIVER ACADEMY,SAN ANDREAS,CA,150 OLD,95249
BLESSED TRINITY SCHOOL,OCALA,FL,OCALA,34471
BLOOMFIELD HILLS MIDDLE SCHOOL,BLOOMFIELD HILLS,MI,4200 W,48302
BLUEWATER ELEMENTARY,BLUEWATER,NM,PINON ST,87005
BOBBY F. GRIGSBY INTERMEDIATE SCHOOL,CARLISLE,OH,CARLISLE,45005
BOCA BEAUTY ACADEMY-PARKLAND,PARKLAND,FL,7329 N,33073
CALVARY INDIAN MISSION SCHOOL,BRIMHALL,NM,BIA 371,87310
CAMDEN MILITARY ACADEMY,CAMDEN,SC,520 US-1,29020
CAMERON ELEMENTARY SCHOOL,GLADSTONE,MI,803 P 5,49837
CAMP ALLEN ELEMENTARY,NORFOLK,VA,501 C ST,23505
CAMP CROOK ELEMENTARY - 08,CAMP CROOK,SD,MAIN ST,57724
CAMP HI-HILL ELEMENTARY,LA CANADA,CA,STAR RT.,91011
BOSCAWEN ELEMENTARY SCHOOL,BOSCAWEN,NH,BOSCAWEN,03303
BOULDER ELEMENTARY SCHOOL,BOULDER,MT,BOULDER,59632
BOURNE MIDDLE SCHOOL,BOURNE,MA,8349,02532
BOWLEGS ES,BOWLEGS,OK,BOWLEGS,74830
BOWLEGS HS,BOWLEGS,OK,BOWLEGS,74830
CANUTE HS,CANUTE,OK,CANUTE,73626
BOYS RANCH,BYRON,CA,BOX 398,94514
BRADY ELEMENTARY SCHOOL,BRADY,NE,BRADY,69123
BRADY HIGH SCHOOL,BRADY,NE,BRADY,69123
CAREER PREP ALTERNATIVE,SHIPROCK,NM,US-64,87420
BREWSTER ELEMENTARY SCHOOL,BREWSTER,WA,BREWSTER,98812
BREWSTER HIGH SCHOOL,BREWSTER,WA,BREWSTER,98812
BREWSTER MIDDLE SCHOOL,BREWSTER,WA,BREWSTER,98812
