ccn,name,state,city,homepage,cdm_indirect_url,cdm_url
053038,TOTALLY KIDS REHABILITATION HOSPITAL,CA,LOMA LINDA,https://totallykids.com/,,
053304,CHILDREN'S HOSPITAL OF ORANGE COUNTY,CA,ORANGE,https://www.choc.org/,https://www.choc.org/patients-family/pricing-transparency/,
053306,CHILDREN'S HOSPITAL AT MISSION,CA,MISSION VIEJO,https://www.choc.org/,,
053308,HEALTHBRIDGE CHILDREN'S HOSPITAL - ORANGE,CA,ORANGE,https://healthbridgecc.com/,,
053309,MEMORIAL CARE MILLER CHILDREN'S &  WOMEN'S HOSP LB,CA,LONG BEACH,https://www.millerchildrens.memorialcare.org/,,
054009,RESNICK NEUROPSYCHIATRIC HOSPITAL AT UCLA,CA,LOS ANGELES,https://www.uclahealth.org/,,
054028,GATEWAYS HOSP  MENTAL HEALTH CTR,CA,LOS ANGELES,https://www.gatewayshospital.org/,,
054078,AURORA LAS ENCINAS HOSPITAL,CA,PASADENA,https://www.lasencinashospital.com/,,
054083,KEDREN COMMUNITY MENTAL HEALTH CENTER,CA,LOS ANGELES,https://www.kedren.org/,,
054089,JEWISH HOME & REHAB CENTER,CA,SAN FRANCISCO,,,
054091,COMMUNITY BEHAVIORAL HEALTH CENTER,CA,FRESNO,https://www.communitymedical.org/home,,
054095,AURORA SAN DIEGO,CA,SAN DIEGO,https://www.aurorasandiego.com/,,
054114,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,CA,SAN DIEGO,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/bhs/inpatient_health_services_psychiatric_hospital.html,,
054124,SEMPERVIRENS,CA,EUREKA,https://humboldtgov.org/329/Behavioral-Health,,
054125,SANTA BARBARA COUNTY PSYCHIATRIC HEALTH FACILITY,CA,SANTA BARBARA,,,
054135,NEWPORT BAY HOSPITAL,CA,NEWPORT BEACH,http://www.newportbayhospital.com/,,
054144,LANGLEY PORTER PSYCHIATRIC INSTITUTE,CA,SAN FRANCISCO,https://psych.ucsf.edu/,,
054146,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,CA,OAKLAND,https://www.telecarecorp.com/,,
054147,JOYCE EISENBERG KEEFER MEDICAL CENTER,CA,RESEDA,https://www.lajhealth.org/,,
054148,TARZANA TREATMENT CENTER,CA,TARZANA,https://www.tarzanatc.org/,,
054149,WILLOW ROCK CENTER,CA,SAN LEANDRO,https://www.telecarecorp.com/,,
054150,KAISER PERMANENTE PSYCHIATRIC HEALTH FACILITY-SANT,CA,SANTA CLARA,https://kpbhc.kaisersantaclara.org/,,
054152,SANTA CRUZ COUNTY PSYCHIATRIC HEALTH FACILITY,CA,SANTA CRUZ,https://www.telecarecorp.com/,,
054153,OCEAN VIEW PSYCHIATRIC HEALTH FACILITY,CA,LONG BEACH,https://www.ovphf.com/,,
059807,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,SAN FRANCISCO,https://www.ucsf.edu/,,
06002F,U S AIR FORCE ACADEMY HOSPITAL,CO,COLORADO SPRINGS,https://www.usafa.af.mil/Units/MedicalGroup.aspx,,
06003F,U S ARMY HOSPITAL,CO,FORT CARSON,https://evans.tricare.mil/,,
06005F,V A HOSPITAL,CO,DENVER,https://www.va.gov/eastern-colorado-health-care/,,
06006F,V A HOSPITAL,CO,FORT LYON,,,
06007F,V A HOSPITAL,CO,GRAND JUNCTION,https://www.va.gov/western-colorado-health-care/,,
06009E,HILL TOP HOSPITAL,CO,CRIPPLE CREEK,https://www.htop.org/,,
060115,COLORADO MENTAL HEALTH INSTITUTE AT PUEBLO,CO,PUEBLO,https://cdhs.colorado.gov/CMHIP,,
06011E,CLIMAX MOLYBDENUM COMPANY HOSPITAL,CO,CLIMAX,https://www.climaxmolybdenum.com/,,
06015E,EMORY JOHN BRADY HOSPITAL,CO,COLORADO SPRINGS,,,
061313,KIT CARSON COUNTY MEMORIAL HOSPITAL,CO,BURLINGTON,https://www.kcchsd.org/,,
061315,YUMA DISTRICT HOSPITAL,CO,YUMA,https://yumahospital.org/,,
063037,PAM HEALTH REHABILITATION HOSPITAL WESTMINSTER,CO,WESTMINSTER,https://pamhealth.com/,,
064001,COLORADO MENTAL HEALTH INSTITUTE AT PUEBLO-PSYCH,CO,PUEBLO,https://cdhs.colorado.gov/CMHIP,,
064003,COLORADO MENTAL HEALTH INSTITUTE AT FT LOGAN,CO,DENVER,https://cdhs.colorado.gov/CMHIFL,,
064027,CLEAR VIEW BEHAVIORAL HEALTH,CO,JOHNSTOWN,,,
064028,DENVER SPRINGS,CO,ENGLEWOOD,https://denversprings.com/,,
07001F,US COAST GUARD ACADEMY HOSP,CT,NEW LONDON,https://uscga.edu/,,
07002F,VA HOSP,CT,NEWINGTON,https://www.va.gov/connecticut-health-care/,,
070038,"CONNECTICUT HOSPICE INC,THE",CT,BRANFORD,https://www.hospice.com/,,
070039,MASONICARE HEALTH CENTER,CT,WALLINGFORD,https://www.masonicare.org/,,
07003F,VETERANS ADMINISTRATION HOSPITAL,CT,WEST HAVEN,https://www.va.gov/connecticut-health-care/locations/west-haven-va-medical-center/,,
07004F,US NAVAL HOSP,CT,GROTON,,,
07006E,HILLSIDE HOME  HOSP,CT,BRIDGEPORT,,,
07007E,CONNECTICUT MENTAL HEALTH CENTER,CT,NEW HAVEN,https://medicine.yale.edu/,,
072004,HOSPITAL FOR SPECIAL CARE,CT,NEW BRITAIN,https://hfsc.org/,,
072006,"STATE OF CONNECTICUT, DEPT OF VETERANS' AFFAIRS",CT,ROCKY HILL,https://portal.ct.gov/dva,,
074003,CONNECTICUT VALLEY HOSP,CT,MIDDLETOWN,,,
074011,CONNECTICUT MENTAL HEALTH CENTER,CT,NEW HAVEN,,,
074012,SOUTHWEST CONNECTICUT MENTAL HEALTH,CT,BRIDGEPORT,,,
074015,ALBERT J SOLNIT CHILDREN'S CENTER - SOUTH CAMPUS,CT,MIDDLETOWN,https://portal.ct.gov/DCF/Solnit-Center/South,,
08001F,US AIR FORCE HOSP,DE,DOVER,,,
08002F,WILMINGTON VA MEDICAL & REGIONAL OFFICE CENTER,DE,WILMINGTON,https://www.va.gov/wilmington-health-care/locations/wilmington-va-medical-center/,,
084001,DELAWARE PSYCHIATRIC CENTER,DE,NEW CASTLE,https://www.dhss.delaware.gov/dhss/main/maps/holloway/campsmap.htm,,
010008,CRENSHAW COMMUNITY HOSPITAL,AL,LUVERNE,https://crenshawcommunityhospital.com/,,
09001F,US AIR FORCE HOSP,DC,WASHINGTON,https://www.military.com/,,
09002F,WASHINGTON DC VA MEDICAL CENTER,DC,WASHINGTON,https://www.va.gov/washington-dc-health-care/,,
09003F,WALTER REED ARMY HOSP,DC,WASHINGTON,,,
094001,ST ELIZABETHS HOSPITAL,DC,WASHINGTON,https://www.sehcommunity.org/,,
010038,STRINGFELLOW CAMPUS OF NORTHEAST RMC,AL,ANNISTON,https://rmccares.org/,,
010052,LAKE MARTIN COMMUNITY HOSPITAL,AL,DADEVILLE,https://ivycreekhealth.com/,,
100019,HOLMES REGIONAL MEDICAL CENTER,FL,MELBOURNE,https://hf.org/,,
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,ANNISTON,https://rmccares.org/,,
010091,GROVE HILL MEMORIAL HOSPITAL,AL,GROVE HILL,https://www.grovehillmemorial.org/,,
010092,DCH REGIONAL MEDICAL CENTER,AL,TUSCALOOSA,https://www.dchsystem.com/,https://www.dchsystem.com/patient-visitor/chargemaster/list-of-charges/,
100081,HEALTHMARK REGIONAL MEDICAL CENTER,FL,DEFUNIAK SPRINGS,,,
010097,ELMORE COMMUNITY HOSPITAL,AL,WETUMPKA,https://ivycreekhealth.com/,,
10009F,BAY PINES VA MEDICAL CENTER,FL,SAINT PETERSBURG,https://www.va.gov/bay-pines-health-care/,,
100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,FL,LAKE CITY,https://www.hotelbasadre.com/,,
010102,J PAUL JONES HOSPITAL,AL,CAMDEN,https://www.jpauljones.com/,,
10010F,US AIR FORCE HOSP,FL,COCOA,https://tyndall.tricare.mil/,,
010110,BULLOCK COUNTY HOSPITAL,AL,UNION SPRINGS,https://bullockcountyhospital.com/,,
010125,LAKELAND COMMUNITY HOSPITAL,AL,HALEYVILLE,http://www.lakelandcommunityhospital.com/,,
10012F,US AIR FORCE HOSP,FL,HOMESTEAD,https://tyndall.tricare.mil/,,
10013F,US NAVAL HOSP,FL,JACKSONVILLE,https://jacksonville.tricare.mil/,,
010138,HILL HOSPITAL OF SUMTER COUNTY,AL,YORK,http://www.hillhospitalalabama.com/,,
10014F,US NAVAL HOSP,FL,KEY WEST,,,
010148,EVERGREEN MEDICAL CENTER,AL,EVERGREEN,https://www.gilliardhealthservices.com/emc,,
10015F,NORTH FL/SOUTH GA VETERANS HEALTH SYSTE,FL,LAKE CITY,https://www.va.gov/north-florida-health-care/,,
01014F,BIRMINGHAM VA MEDICAL CENTER,AL,BIRMINGHAM,https://www.va.gov/birmingham-health-care/,,
010150,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,AL,GREENVILLE,,,
10016F,US NAVEL HOSP,FL,ORLANDO,https://pensacola.tricare.mil/,,
100177,CAPE CANAVERAL HOSPITAL,FL,COCOA BEACH,https://hf.org/,,
10017F,US AIR FORCE HOSP,FL,PANAMA CITY,https://tyndall.tricare.mil/,,
10018F,US NAVAL HOSP,FL,PENSACOLA,https://pensacola.tricare.mil/,,
10019F,FEDERAL CORRECTIONAL INST HOSP,FL,TALLAHASSEE,,,
10020F,US AIR FORCE HOSP,FL,TAMPA,https://tyndall.tricare.mil/,,
10021F,US AIR FORCE HOSP,FL,VALPASAISO,https://eglin.tricare.mil/,,
010176,GULF COAST SURGICAL PARTNERS LLC,AL,MOBILE,https://gulfcoastsurgicalcenter.com/,,
01019F,CENTRAL AL VETERANS HLTH CARE SYSTEM WEST CAMPUS,AL,MONTGOMERY,https://www.va.gov/central-alabama-health-care/,,
01021F,TUSCALOOSA VA MEDICAL CENTER,AL,TUSCALOOSA,https://www.va.gov/tuscaloosa-health-care/,,
01022F,CENTRAL AL VETERANS HLTH CARE SYSTEM EAST CAMPUS,AL,TUSKEGEE,https://www.va.gov/central-alabama-health-care/,,
014006,MOUNTAIN VIEW HOSPITAL,AL,GADSDEN,http://www.mtnviewhospital.com/,,
014007,BRYCE HOSPITAL,AL,TUSCALOOSA,https://mh.alabama.gov/bryce-hospital/,,
014012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,AL,TUSCALOOSA,https://mh.alabama.gov/mary-starke-harper-geriatric-psychiatry-center/,,
014016,"SANCTUARY AT THE WOODLANDS, THE",AL,CULLMAN,https://thesanctuaryatthewoodlands.com/,,
014018,UNITY PSYCHIATRIC CARE - HUNTSVILLE,AL,HUNTSVILLE,https://www.unitypsych.com/,,
