id,ein,name,addr,city,state,zip,phone,type,ownership,last_updated,file_name,stdchg_file_url,permalink,transparency_page,additional_notes
450054,,BAYLOR SCOTT & WHITE MEDICAL CENTER - TEMPLE,2401 S  31ST ST,TEMPLE,TX,76508,(254) 724-2111,Acute Care Hospitals,Voluntary non-profit - Private,,,,,,
450079,,BAYLOR SCOTT & WHITE MEDICAL CENTER AT IRVING,1901 N MACARTHUR BLVD,IRVING,TX,75061,(972) 579-8100,Acute Care Hospitals,Voluntary non-profit - Private,,,,,,
450101,,BAYLOR SCOTT & WHITE MEDICAL CENTER HILLCREST,100 HILLCREST MEDICAL BLVD,WACO,TX,76712,(254) 202-2000,Acute Care Hospitals,Voluntary non-profit - Private,,,,,,
450137,,BAYLOR SCOTT & WHITE ALL SAINTS MEDICAL CENTER FORT WORTH,1400 EIGHTH AVE,FORT WORTH,TX,76104,(817) 926-2544,Acute Care Hospitals,Voluntary non-profit - Private,,,,,,
450372,,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE,2400 N INTERSTATE HIGHWAY 35E,WAXAHACHIE,TX,75165,(972) 923-7000,Acute Care Hospitals,Voluntary non-profit - Private,,,,,,
450563,,BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE,1650 W COLLEGE ST,GRAPEVINE,TX,76051,(817) 481-1588,Acute Care Hospitals,Voluntary non-profit - Private,,,,,,
450678,,BAYLOR SCOTT & WHITE MEDICAL CENTER-WHITE ROCK,9440 POPPY DR,DALLAS,TX,75218,(214) 324-6100,Acute Care Hospitals,Proprietary,,,,,,
450851,,BAYLOR SCOTT & WHITE HEART & VASCULAR HOSPITAL - DALLAS,621 NORTH HALL STREET,DALLAS,TX,75226,(214) 820-0670,Acute Care Hospitals,Proprietary,,,,,,
450853,,BAYLOR SCOTT & WHITE MEDICAL CENTER - FRISCO,5601 WARREN PARKWAY,FRISCO,TX,75034,(214) 618-2000,Acute Care Hospitals,Proprietary,,,,,,
450864,,BAYLOR SCOTT & WHITE TEXAS SPINE & JOINT HOSPITAL,1814 ROSELAND BOULEVARD,TYLER,TX,75701,(903) 525-3300,Acute Care Hospitals,Physician,,,,,,
450890,,BAYLOR SCOTT & WHITE MEDICAL CENTER PLANO,4700 ALLIANCE BOULEVARD,PLANO,TX,75093,(469) 814-2000,Acute Care Hospitals,Voluntary non-profit - Other,,,,,,
451374,,BAYLOR SCOTT & WHITE MEDICAL CENTER - TAYLOR,305 MALLARD,TAYLOR,TX,76574,(512) 352-7611,Critical Access Hospitals,Voluntary non-profit - Private,,,,,,
452105,,BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL,546 N KEGLEY RD,TEMPLE,TX,76502,,OTHER HOSPITAL PRACTICE LOCATION,Non-profit,,,,,,
453036,,BAYLOR SCOTT & WHITE INSTITUTE FOR REHABILITATION,909 N WASHINGTON AVE,DALLAS,TX,75246,,MAIN/PRIMARY HOSPITAL LOCATION,Proprietary,,,,,,
670025,,BAYLOR SCOTT & WHITE THE HEART HOSPITAL - PLANO,1100 ALLIED DRIVE,PLANO,TX,75093,(469) 814-3278,Acute Care Hospitals,Proprietary,,,,,,
670034,,BAYLOR SCOTT & WHITE MEDICAL CENTER - ROUND ROCK,300 UNIVERSITY BLVD,ROUND ROCK,TX,78664,(512) 509-0100,Acute Care Hospitals,Voluntary non-profit - Private,,,,,,
670088,,BAYLOR SCOTT & WHITE MEDICAL CENTER- COLLEGE STATI,700 SCOTT & WHITE DRIVE,COLLEGE STATION,TX,77845,(979) 691-3701,Acute Care Hospitals,Voluntary non-profit - Private,,,,,,
670108,,BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,810 W HIGHWAY 71,MARBLE FALLS,TX,78654,(830) 201-7308,Acute Care Hospitals,Voluntary non-profit - Private,,,,,,
670128,,BAYLOR SCOTT & WHITE MEDICAL CENTER PFLUGERVILLE,2600 EAST  PFLUGERVILLE  PARKWAY,PFLUGERVILLE,TX,78660,(512) 654-6100,Acute Care Hospitals,Voluntary non-profit - Private,,,,,,
670131,,BAYLOR SCOTT & WHITE MEDICAL CENTER - BUDA,5330 OVERPASS ROAD SUITE 110,BUDA,TX,78610,(737) 999-6200,Acute Care Hospitals,Voluntary non-profit - Private,,,,,,
670136,,BAYLOR SCOTT & WHITE MEDICAL CENTER- AUSTIN,5245 W US 290,AUSTIN,TX,78735,(512) 654-2100,Acute Care Hospitals,Voluntary non-profit - Private,,,,,,
673046,,BAYLOR SCOTT & WHITE INSTITUTE FOR REHABILITATION - FRISCO,2990 LEGACY DR,FRISCO,TX,75034,,MAIN/PRIMARY HOSPITAL LOCATION,Proprietary,,,,,,
673058,,BAYLOR SCOTT & WHITE INSTITUTE FOR REHABILITATION - LAKEWAY,2000 MEDICAL DR,LAKEWAY,TX,78734,,MAIN/PRIMARY HOSPITAL LOCATION,Proprietary,,,,,,
