id,ein,name,city,file_name,addr,state,zip,phone,type,ownership,last_updated,stdchg_file_url,permalink,transparency_page,additional_notes,score
450054,74-1166904,BAYLOR SCOTT & WHITE MEDICAL CENTER - TEMPLE,TEMPLE,74-1166904_baylor-scott-and-white-medical-center-temple_standardcharges.csv,2401 S  31ST ST,TX,76508,(254) 724-2111,Acute Care Hospitals,Voluntary non-profit - Private,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/74-1166904_baylor-scott-and-white-medical-center-temple_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,3
450079,75-2586857,BAYLOR SCOTT & WHITE MEDICAL CENTER AT IRVING,IRVING,75-2586857_baylor-scott-and-white-medical-center-irving_standardcharges.csv,1901 N MACARTHUR BLVD,TX,75061,(972) 579-8100,Acute Care Hospitals,Voluntary non-profit - Private,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/75-2586857_baylor-scott-and-white-medical-center-irving_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,3
450101,74-1161944,BAYLOR SCOTT & WHITE MEDICAL CENTER HILLCREST,WACO,74-1161944_baylor-scott-and-white-medical-center-hillcrest_standardcharges.csv,100 HILLCREST MEDICAL BLVD,TX,76712,(254) 202-2000,Acute Care Hospitals,Voluntary non-profit - Private,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/74-1161944_baylor-scott-and-white-medical-center-hillcrest_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,3
450137,75-1008430,BAYLOR SCOTT & WHITE ALL SAINTS MEDICAL CENTER FORT WORTH,FORT WORTH,75-1008430_baylor-scott-and-white-all-saints-medical-center_standardcharges.csv,1400 EIGHTH AVE,TX,76104,(817) 926-2544,Acute Care Hospitals,Voluntary non-profit - Private,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/75-1008430_baylor-scott-and-white-all-saints-medical-center_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,3
450372,75-1844139,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE,WAXAHACHIE,75-1844139_baylor-scott-and-white-medical-center-waxahachie_standardcharges.csv,2400 N INTERSTATE HIGHWAY 35E,TX,75165,(972) 923-7000,Acute Care Hospitals,Voluntary non-profit - Private,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/75-1844139_baylor-scott-and-white-medical-center-waxahachie_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,3
450563,75-1777119,BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE,GRAPEVINE,75-1777119_baylor-scott-and-white-medical-center-grapevine_standardcharges.csv,1650 W COLLEGE ST,TX,76051,(817) 481-1588,Acute Care Hospitals,Voluntary non-profit - Private,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/75-1777119_baylor-scott-and-white-medical-center-grapevine_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,3
450851,75-2834135,BAYLOR SCOTT & WHITE HEART & VASCULAR HOSPITAL - DALLAS,DALLAS,75-2834135_baylor-scott-and-white-heart-and-vascular-hospital_standardcharges.csv,621 NORTH HALL STREET,TX,75226,(214) 820-0670,Acute Care Hospitals,Proprietary,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/75-2834135_baylor-scott-and-white-heart-and-vascular-hospital_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,1
450890,82-0551704,BAYLOR SCOTT & WHITE MEDICAL CENTER PLANO,PLANO,82-0551704_baylor-scott-and-white-medical-center-plano_standardcharges.csv,4700 ALLIANCE BOULEVARD,TX,75093,(469) 814-2000,Acute Care Hospitals,Voluntary non-profit - Other,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/82-0551704_baylor-scott-and-white-medical-center-plano_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,3
451374,74-1595711,BAYLOR SCOTT & WHITE MEDICAL CENTER - TAYLOR,TAYLOR,74-1595711_baylor-scott-and-white-medical-center-taylor_standardcharges.csv,305 MALLARD,TX,76574,(512) 352-7611,Critical Access Hospitals,Voluntary non-profit - Private,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/74-1595711_baylor-scott-and-white-medical-center-taylor_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,3
452105,20-2850920,BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL,TEMPLE,20-2850920_baylor-scott-and-white-continuing-care-hospital_standardcharges.csv,546 N KEGLEY RD,TX,76502,,OTHER HOSPITAL PRACTICE LOCATION,Non-profit,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/20-2850920_baylor-scott-and-white-continuing-care-hospital_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,1
670025,41-2101361,BAYLOR SCOTT & WHITE THE HEART HOSPITAL - PLANO,PLANO,41-2101361_baylor-scott-and-white-heart-hospital-plano_standardcharges.csv,1100 ALLIED DRIVE,TX,75093,(469) 814-3278,Acute Care Hospitals,Proprietary,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/41-2101361_baylor-scott-and-white-heart-hospital-plano_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,1
670034,20-3749695,BAYLOR SCOTT & WHITE MEDICAL CENTER - ROUND ROCK,ROUND ROCK,20-3749695_baylor-scott-and-white-medical-center-round-rock_standardcharges.csv,300 UNIVERSITY BLVD,TX,78664,(512) 509-0100,Acute Care Hospitals,Voluntary non-profit - Private,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/20-3749695_baylor-scott-and-white-medical-center-round-rock_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,3
670088,27-4434451,BAYLOR SCOTT & WHITE MEDICAL CENTER- COLLEGE STATI,COLLEGE STATION,27-4434451_baylor-scott-and-white-med-center-college-station_standardcharges.csv,700 SCOTT & WHITE DRIVE,TX,77845,(979) 691-3701,Acute Care Hospitals,Voluntary non-profit - Private,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/27-4434451_baylor-scott-and-white-med-center-college-station_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,3
670108,46-4007700,BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,MARBLE FALLS,46-4007700_baylor-scott-and-white-medical-center-marble-falls_standardcharges.csv,810 W HIGHWAY 71,TX,78654,(830) 201-7308,Acute Care Hospitals,Voluntary non-profit - Private,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/46-4007700_baylor-scott-and-white-medical-center-marble-falls_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,3
670128,81-3040663,BAYLOR SCOTT & WHITE MEDICAL CENTER PFLUGERVILLE,PFLUGERVILLE,81-3040663_baylor-scott-and-white-med-center-pflugerville_standardcharges.csv,2600 EAST  PFLUGERVILLE  PARKWAY,TX,78660,(512) 654-6100,Acute Care Hospitals,Voluntary non-profit - Private,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/81-3040663_baylor-scott-and-white-med-center-pflugerville_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,3
670131,81-3040663,BAYLOR SCOTT & WHITE MEDICAL CENTER - BUDA,BUDA,81-3040663_baylor-scott-and-white-medical-center-buda_standardcharges.csv,5330 OVERPASS ROAD SUITE 110,TX,78610,(737) 999-6200,Acute Care Hospitals,Voluntary non-profit - Private,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/81-3040663_baylor-scott-and-white-medical-center-buda_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,3
670136,81-3040663,BAYLOR SCOTT & WHITE MEDICAL CENTER- AUSTIN,AUSTIN,81-3040663_baylor-scott-and-white-medical-center-austin_standardcharges.csv,5245 W US 290,TX,78735,(512) 654-2100,Acute Care Hospitals,Voluntary non-profit - Private,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/81-3040663_baylor-scott-and-white-medical-center-austin_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,3
673058,20-3749695,BAYLOR SCOTT & WHITE INSTITUTE FOR REHABILITATION - LAKEWAY,LAKEWAY,20-3749695_baylor-scott-and-white--medical-center-lakeway_standardcharges.csv,2000 MEDICAL DR,TX,78734,,MAIN/PRIMARY HOSPITAL LOCATION,Proprietary,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/20-3749695_baylor-scott-and-white--medical-center-lakeway_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,1
670043,20-3749695,CEDAR PARK REGIONAL MEDICAL CENTER,CEDAR PARK,20-3749695_baylor-scott-and-white-emergency-med-ctr-cedar-park_standardcharges.csv,1401 MEDICAL PARKWAY,TX,78613,(512) 528-7000,Acute Care Hospitals,Proprietary,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/20-3749695_baylor-scott-and-white-emergency-med-ctr-cedar-park_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,
450187,74-2519752,SCOTT & WHITE HOSPITAL BRENHAM,BRENHAM,74-2519752_baylor-scott-and-white-medical-center-brenham_standardcharges.csv,700 MEDICAL PARKWAY,TX,77833,(979) 836-6173,Acute Care Hospitals,Voluntary non-profit - Private,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/74-2519752_baylor-scott-and-white-medical-center-brenham_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,
450885,82-4052186,BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL,FRISCO,82-4052186_baylor-scott-and-white-medical-center-centennial_standardcharges.csv,12505 LEBANON ROAD,TX,75035,(972) 963-3333,Acute Care Hospitals,Voluntary non-profit - Other,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/82-4052186_baylor-scott-and-white-medical-center-centennial_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,
450742,26-0194016,BAYLOR SCOTT AND WHITE MEDICAL CENTER LAKE POINTE,ROWLETT,26-0194016_baylor-scott-and-white-medical-center-lake-pointe_standardcharges.csv,6800 SCENIC DR,TX,75088,(972) 412-2273,Acute Care Hospitals,Voluntary non-profit - Private,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/26-0194016_baylor-scott-and-white-medical-center-lake-pointe_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,
670082,75-1037591,BAYLOR SCOTT AND WHITE  MEDICAL CENTER  MCKINNEY,MC KINNEY,75-1037591_baylor-scott-and-white-medical-center-mckinney_standardcharges.csv,5252 WEST UNIVERSITY DRIVE,TX,75071,(469) 764-2200,Acute Care Hospitals,Voluntary non-profit - Private,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/75-1037591_baylor-scott-and-white-medical-center-mckinney_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,
450893,26-3603862,THE HEART HOSPITAL BAYLOR DENTON,DENTON,26-3603862_baylor-scott-and-white-heart-hospital-denton_standardcharges.csv,2801 SOUTH MAYHILL ROAD,TX,76208,(940) 220-0600,Acute Care Hospitals,Physician,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/26-3603862_baylor-scott-and-white-heart-hospital-denton_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,
450021,75-1837454,BAYLOR UNIVERSITY MEDICAL CENTER,DALLAS,75-1837454_baylor-university-medical-center_standardcharges.csv,3500 GASTON AVE,TX,75246,(214) 820-0111,Acute Care Hospitals,Voluntary non-profit - Church,2022-07-01,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/75-1837454_baylor-university-medical-center_standardcharges.csv,,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,,
