id,name,alt_name,last_updated,ein,file_name,mrf_url,system_name,addr,city,state,zip,phone,urban_rural,category,control_type,medicare_termination_status,permalink,transparency_page,additional_notes
360002,UNIVERSITY HOSPITALS SAMARITAN MEDICAL CENTER,UH Samaritan Medical Center,2022-05-24,34-0714535,340714535_uh-samaritan-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7892/340714535_HPI-CDM---Samaritan_standardcharges.json,University Hospitals,1025 CENTER ST,ASHLAND,OH,44805,4192890491,R,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,,https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative,
360041,PARMA COMMUNITY GENERAL HOSPITAL,UH Parma Medical Center,2022-05-24,34-0827442,340827442_uh-parma-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7897/340827442_HPI-CDM---Parma_standardcharges.json,University Hospitals,7007 POWERS BOULEVARD,PARMA,OH,44129,4407433000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative,
360078,UNIVERSITY HOSPITALS PORTAGE MEDICAL CENTER,UH Portage Medical Center,2022-05-24,46-1382538,461382538_uh-portage-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7891/461382538_HPI-CDM---Portage_standardcharges.json,University Hospitals,6847 N CHESTNUT,RAVENNA,OH,44266,3302972300,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative,
360098,LAKE HEALTH,University Hospitals TriPoint Medical Center,2022-04-02,34-1425870,UH-Lake-West-and-TriPoint-Machine-Readable-2022-CSV.csv,https://www.uhhospitals.org/-/media/Files/Patient-and-Visitors/Patient-Pricing-Information/UH-Lake-West-and-TriPoint-Machine-Readable-2022-CSV.csv,University Hospitals,7590 AUBURN ROAD,CONCORD,OH,44077,4409539600,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative,https://projects.propublica.org/nonprofits/organizations/341425870/201743199349303704/full
360123,UH ST JOHN MEDICAL CENTER,UH Saint John Medical Center,2022-05-24,34-1260978,341260978_uh-st.-john-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7893/341260978_HPI-CDM---St.-John_standardcharges.json,University Hospitals,29000 CENTER RIDGE ROAD,WESTLAKE,OH,44145,4408275075,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative,
360137,UH CLEVELAND MEDICAL CENTER,UH Cleveland Medical Center,2022-05-24,34-1567805,341567805_uh-cleveland-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7901/341567805_HPI-CDM---Cleveland_standardcharges.json,University Hospitals,11100 EUCLID AVENUE,CLEVELAND,OH,44106,4408441000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative,
360145,UNIVERSITY HOSPITALS - ELYRIA MEDICAL CENTER,UH Elyria Medical Center,2022-05-24,34-0714612,340714612_uh-elyria-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7903/340714612_HPI-CDM---Elyria_standardcharges.json,University Hospitals,630 EAST RIVER STREET,ELYRIA,OH,44035,4403297500,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative,
360192,UH GEAUGA MEDICAL CENTER,UH Geauga Medical Center,2022-05-24,34-0816492,340816492_uh-geauga-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7902/340816492_HPI-CDM---Geagua_standardcharges.json,University Hospitals,13207 RAVENNA RD,CHARDON,OH,44024,4402856246,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative,
360359,UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,UH Ahuja Medical Center,2022-05-24,26-4827222,264827222_uh-ahuja-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7890/264827222_HPI-CDM---Ahuja_standardcharges.json,University Hospitals,3999 RICHMOND ROAD,BEACHWOOD,OH,44122,2165935510,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative,
361307,UHHS MEMORIAL HOSPITAL OF GENEVA,UH Geneva Medical Center,2022-05-24,34-0714461,340714461_uh-geneva-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7899/340714461_HPI-CDM---Geneva_standardcharges.json,University Hospitals,870 WEST MAIN STREET,GENEVA,OH,44041,4404661141,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative,
