X,Y,OBJECTID,NCESID,name,address,city,state,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,lat,lon,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,website,LEVEL_,ENROLLMENT,ST_GRADE,END_GRADE,DISTRICTID,FT_TEACHER,SHELTER_ID
-9442038.9684,3947238.1848,31535,130150000750,EVANS MIDDLE SCHOOL,41 EVANS DR,NEWNAN,GA,30263,,(770) 254-2780,1,1,822,COWETA,13077,USA,33.3903982080001,-84.819279186,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=130150000750,2010/01/29 00:00:00,IMAGERY,2010/08/25 00:00:00,,MIDDLE,770,06,08,1301500,52,
-12517637.4857,5296961.33,31536,160264000481,SYRINGA ELEMENTARY SCHOOL,388 EAST GRIFFITH ROAD,POCATELLO,ID,83201,3510,(208) 237-4040,1,1,454,BANNOCK,16005,USA,42.901303838,-112.447850745,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160264000481,2009/10/13 00:00:00,IMAGERY,2016/03/30 00:00:00,,ELEMENTARY,433,PK,05,1602640,21,
-9805624.7011,5108995.5611,31537,174007004034,ROBERT C HILLELEMENTARYSCHOOL,616 DALHART AVE,ROMEOVILLE,IL,60446,1332,(815) 886-4343,1,1,839,WILL,17197,USA,41.652020968,-88.085425393,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=174007004034,2009/10/13 00:00:00,IMAGERY,2016/04/06 00:00:00,,ELEMENTARY,784,KG,05,1740070,55,10809829
-9103653.1595,5075477.7172,31538,390011903854,WEST PREPARATORY ACADEMY,13111 CROSSBURN AVE,CLEVELAND,OH,44135,5017,(216) 772-1340,1,1,245,CUYAHOGA,39035,USA,41.4266508600001,-81.779507745,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=390011903854,2010/01/29 00:00:00,IMAGERY,2010/05/05 00:00:00,http://www.westacademy.org/,ELEMENTARY,233,KG,08,3900119,12,
-10535751.7682,4737750.0913,31539,200795001778,MCKINLEY ELEMENTARY SCHOOL,1301 ARMSTRONG,KANSAS CITY,KS,66102,,(913) 627-7350,1,1,370,WYANDOTTE,20209,USA,39.1121586300001,-94.6442684309999,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=200795001778,2010/01/29 00:00:00,IMAGERY,2010/06/10 00:00:00,http://www.kckps.org,ELEMENTARY,348,KG,05,2007950,22,
-7923241.1066,5232763.8886,31540,251320002182,DANIEL L JOYCE MIDDLE SCHOOL,55 LOCUST STREET,WOBURN,MA,01801,,(781) 937-8233,1,1,578,MIDDLESEX,25017,USA,42.477411929,-71.175685858,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=251320002182,2010/01/29 00:00:00,IMAGERY,2010/05/13 00:00:00,http://woburnpublicschools.com,MIDDLE,524,06,08,2513200,54,10818967
-7875506.4737,5126690.8055,31541,251206001988,JOHN WILLIAM DECAS,760 MAIN STREET,WAREHAM,MA,02576,1498,(508) 291-3530,1,1,623,PLYMOUTH,25023,USA,41.77068488,-70.746878355,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=251206001988,2010/01/29 00:00:00,IMAGERY,2010/05/06 00:00:00,http://www.warehamps.org/district,ELEMENTARY,577,KG,02,2512060,46,10818954
-9263776.5054,5223905.4901,31542,260024201699,OLD REDFORD ACADEMY HIGH,8001 WEST OUTER DR,DETROIT,MI,48235,3293,(313) 543-3080,1,1,851,WAYNE,26163,USA,42.41869338,-83.217920235,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=260024201699,2010/01/29 00:00:00,IMAGERY,2010/05/13 00:00:00,http://www.oldredford.com,HIGH,813,09,12,2600242,38,
-10081817.5329,4598376.3093,31543,291050000349,DESOTO JR. HIGH,731 AMVETS DR,DESOTO,MO,63020,1014,(636) 586-1030,1,1,441,JEFFERSON,29099,USA,38.134024432,-90.566507815,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=291050000349,2010/01/29 00:00:00,IMAGERY,2010/05/27 00:00:00,,MIDDLE,412,07,08,2910500,29,10794176
-12710310.9419,5784897.753,31544,300828000237,DARBY SCHOOL,209 SCHOOL DRIVE,DARBY,MT,59829,,(406) 821-3643,1,1,179,RAVALLI,30081,USA,46.028376575,-114.17866585,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=300828000237,2010/01/29 00:00:00,IMAGERY,2010/08/25 00:00:00,http://www.darby.k12.mt.us,ELEMENTARY,165,PK,06,3008280,14,10818606
