id,ein,mrf_url,last_updated,transparency_page,file_name,name,alt_name,system_name,addr,city,state,zip,phone,urban_rural,category,control_type,medicare_termination_status,permalink,additional_notes
160032,42-1470935,https://www.mercyone.org/newton/_assets/documents/for-patients/421470935_mercyone-newton-medical-center_standardcharges.csv,2023-03-01,https://www.mercyone.org/newton/for-patients/billing-and-financial-information/standard-charges,421470935_mercyone-newton-medical-center_standardcharges.csv,MERCYONE NEWTON MEDICAL CENTER,MercyOne Newton Medical Center,CommonSpirit Health,204 N 4TH AVE E,NEWTON,IA,50208,6417921273,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,
160040,42-0758901,https://apim.services.craneware.com/api-pricing-transparency/api/public/0bb37a9f7ae4fee5817ab98ca755878d/metadata/cdmFile,2023-02-15,https://www.cdmpricing.com/0bb37a9f7ae4fee5817ab98ca755878d/standard-charges,420758901_MercyOne Cedar Falls Medical Center_standardcharges.xlsx,MERCYONE CEDAR FALLS MEDICAL CENTER,Cedar Falls Medical Center,,515 COLLEGE STREET,CEDAR FALLS,IA,50613,3192683000,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,,
160064,31-1373080,https://apim.services.craneware.com/api-pricing-transparency/api/public/44ea104c4b02ab1e9c1f8c08e7f98a55/metadata/cdmFile,2023-05-08,https://www.cdmpricing.com/44ea104c4b02ab1e9c1f8c08e7f98a55/standard-charges,311373080_Mercy Medical Center North Iowa_standardcharges.xlsx,MERCYONE NORTH IOWA MEDICAL CENTER,MercyOne North Iowa,Trinity Health,1000 FOURTH STREET SW,MASON CITY,IA,50401,6414287000,R,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,
160067,42-1264647,https://apim.services.craneware.com/api-pricing-transparency/api/public/ca0085aff3bc1fb107cf3a4874516a08/metadata/cdmFile,2023-05-11,https://www.cdmpricing.com/ca0085aff3bc1fb107cf3a4874516a08/standard-charges,421264647_MercyOne Waterloo Medical Center_standardcharges.xlsx,MERCYONE WATERLOO MEDICAL CENTER,MercyOne Waterloo Medical Center,Trinity Health,3421 WEST NINTH STREET,WATERLOO,IA,50702,3192728000,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,,
160069,42-1437483,https://apim.services.craneware.com/api-pricing-transparency/api/public/cea5c0b97e38b3caf87e4435c035bb89/metadata/cdmFile,2023-05-08,https://www.cdmpricing.com/cea5c0b97e38b3caf87e4435c035bb89/standard-charges,421437483_Mercy Medical Center Dubuque_standardcharges.xlsx,MERCYONE DUBUQUE MEDICAL CENTER,MercyOne Dubuque Medical Center,Trinity Health,250 MERCY DRIVE,DUBUQUE,IA,52001,5635898000,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,,
160080,42-1336618,https://apim.services.craneware.com/api-pricing-transparency/api/public/2debe17c581b2319af39af11e0149fad/metadata/cdmFile,2023-05-08,https://www.cdmpricing.com/2debe17c581b2319af39af11e0149fad/standard-charges,421336618_Mercy Medical Center Clinton_standardcharges.xlsx,MERCYONE CLINTON MEDICAL CENTER,MercyOne Clinton Medical Center,Trinity Health,1410 NORTH 4TH STREET,CLINTON,IA,52732,5632445555,R,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,
160083,42-0680448,https://www.mercyone.org/desmoines/_assets/documents/media/for-patients/420680448_mercyone-des-moines-medical-center_standardcharges.xlsx,2023-02-09,https://www.mercyone.org/desmoines/for-patients/billing-and-financial-information/standard-charges,420680448_mercyone-des-moines-medical-center_standardcharges.xlsx,MERCYONE DES MOINES MEDICAL CENTER,MercyOne Des Moines,CommonSpirit Health,1111 6TH AVE,DES MOINES,IA,50314,5152473121,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,
160153,31-1407377,https://apim.services.craneware.com/api-pricing-transparency/api/public/6b393df224b57dd22395002757b46a99/metadata/cdmFile,2023-05-08,https://www.cdmpricing.com/6b393df224b57dd22395002757b46a99/standard-charges,311407377_Mercy Medical Center Siouxland_standardcharges.xlsx,MERCYONE SIOUXLAND MEDICAL CENTER,MercyOne Siouxland Medical Center,Trinity Health,801 5TH ST,SIOUX CITY,IA,51101,7122792010,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,
161300,42-1500277,https://apim.services.craneware.com/api-pricing-transparency/api/public/b7a60b8940fe8383b7a0cdcb0ffb4434/metadata/cdmFile,2023-05-08,https://www.cdmpricing.com/b7a60b8940fe8383b7a0cdcb0ffb4434/standard-charges,421500277_MercyOne Primghar Medical Center_standardcharges.xlsx,MERCYONE PRIMGHAR MEDICAL CENTER,MercyOne Primghar Medical Center,Trinity Health,255 N WELCH AVENUE,PRIMGHAR,IA,51245,7129572300,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,
161319,42-0818642,https://apim.services.craneware.com/api-pricing-transparency/api/public/7ebad47c52a0ea171d53a506af95ffc6/metadata/cdmFile,2023-05-08,https://www.cdmpricing.com/7ebad47c52a0ea171d53a506af95ffc6/standard-charges,420818642_MercyOne Elkader Medical Center_standardcharges.xlsx,MERCYONE ELKADER MEDICAL CENTER,MercyOne Elkader Medical Center,Trinity Health,901 DAVIDSON STREET NW,ELKADER,IA,52043,5632457000,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,
