id,ein,file_name,mrf_url,last_updated,name,alt_name,system_name,addr,city,state,zip,phone,urban_rural,category,control_type,medicare_termination_status,permalink,transparency_page,additional_notes
340109,46-3846081,sentara-albemarle-medical-center_standardcharges.xlsx,https://www.sentara.com/Documents/s/sentaraalbemarlemedicalcenterstandardchargesxlsx-1395240,2023-04-01,SENTARA ALBEMARLE MEDICAL CENTER,Sentara Albemarle Medical Center,Sentara Healthcare,1144 N ROAD ST,ELIZABETH CITY,NC,27909,2523350531,R,Short Term,GOVERNMENT - COUNTY,ACTIVE PROVIDER,,https://www.sentara.com/billing/estimating-hospital-charges,
490093,54-1547408,sentara-careplex-hospital_standardcharges.xlsx,https://www.sentara.com/Documents/s/sentaracareplexhospitalstandardchargesxlsx-1395308,2023-04-01,SENTARA CAREPLEX HOSPITAL,Sentara CarePlex Hospital,Sentara Healthcare,3000 COLISEUM DRIVE,HAMPTON,VA,23666,7577361000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.sentara.com/billing/estimating-hospital-charges,
490013,54-0648699,sentara-halifax-regional-hospital_standardcharges.xlsx,https://www.sentara.com/Documents/s/sentarahalifaxregionalhospitalstandardchargesxlsx-1395297,2023-04-01,SENTARA HALIFAX REGIONAL HOSPITAL,Sentara Halifax Regional Hospital,Sentara Healthcare,2204 WILBORN AVENUE,SOUTH BOSTON,VA,24592,4345173100,R,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.sentara.com/billing/estimating-hospital-charges,
490046,54-1547408,sentara-leigh-hospital_standardcharges.xlsx,https://www.sentara.com/Documents/s/sentaraleighhospitalstandardchargesxlsx-1395299,2023-04-01,SENTARA LEIGH HOSPITAL,Sentara Leigh Hospital,Sentara Healthcare,830 KEMPSVILLE ROAD,NORFOLK,VA,23502,7572616700,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,,https://www.sentara.com/billing/estimating-hospital-charges,
490077,54-0261840,sentara-martha-jefferson-hospital_standardcharges.xlsx,https://www.sentara.com/Documents/s/sentaramarthajeffersonhospitalstandardchargesxlsx-1395290,2023-04-01,SENTARA MARTHA JEFFERSON HOSPITAL,Sentara Martha Jefferson Hospital,Sentara Healthcare,500 MARTHA JEFFERSON DRIVE,CHARLOTTESVILLE,VA,22911,4346547000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.sentara.com/billing/estimating-hospital-charges,
490007,54-1547408,sentara-norfolk-general-hospital_standardcharges.xlsx,https://www.sentara.com/Documents/s/sentaranorfolkgeneralhospitalstandardchargesxlsx-1395284,2023-04-01,SENTARA NORFOLK GENERAL HOSPITAL,Sentara Norfolk General Hospital,Sentara Healthcare,600 GRESHAM DR,NORFOLK,VA,23507,7573883000,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,,https://www.sentara.com/billing/estimating-hospital-charges,
490113,54-0853898,sentara-northern-virginia-medical-center_standardcharges.xlsx,https://www.sentara.com/Documents/s/sentaranorthernvirginiamedicalcenterstandardchargesxlsx-1395275,2023-04-01,SENTARA NORTHERN VIRGINIA MEDICAL CENTER,Sentara Northern Virginia Medical Center,Sentara Healthcare,2300 OPITZ BOULEVARD,WOODBRIDGE,VA,22191,7035231000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.sentara.com/billing/estimating-hospital-charges,
490044,26-0144898,sentara-obici-hospital_standardcharges.xlsx,https://www.sentara.com/Documents/s/sentaraobicihospitalstandardchargesxlsx-1395273,2023-04-01,SENTARA OBICI HOSPITAL,Sentara Obici Hospital,Sentara Healthcare,2800 GODWIN BOULEVARD,SUFFOLK,VA,23439,7579344000,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,,https://www.sentara.com/billing/estimating-hospital-charges,
490119,27-3208969,273208969_sentara-princess-anne-hospital_standardcharges.xlsx,https://www.sentara.com/Documents/s/sentara-princess-anne-hospital_standardcharges,2023-04-01,SENTARA PRINCESS ANNE HOSPITAL,Sentara Princess Anne Hospital,Sentara Healthcare,2025 GLENN MITCHELL DRIVE,VIRGINIA BEACH,VA,23456,7575071520,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,,https://www.sentara.com/billing/estimating-hospital-charges,
490004,54-0506331,sentara-rmh-medical-center_standardcharges.xlsx,https://www.sentara.com/Documents/s/sentararmhmedicalcenterstandardchargesxlsx-1395259,2023-04-01,SENTARA RMH MEDICAL CENTER,Sentara RMH Medical Center,Sentara Healthcare,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,5406891000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.sentara.com/billing/estimating-hospital-charges,
490057,52-1351822,sentara-virginia-beach-general-hospital_standardcharges.xlsx,https://www.sentara.com/Documents/s/sentaravirginiabeachgeneralhospitalstandardchargesxlsx-1395265,2023-04-01,SENTARA VIRGINIA BEACH GENERAL HOSPITAL,Sentara Virginia Beach General Hospital,Sentara Healthcare,1060 FIRST COLONIAL ROAD,VIRGINIA BEACH,VA,23454,7573958000,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,,https://www.sentara.com/billing/estimating-hospital-charges,
