name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
"MULTIPLE INVESTMENT ASSOCIATES, INC.",CORPORATION,NAN,,,,PA 19107-0 PHILADELPHIA,NE COR BROAD & CHESTNUT STS,PHILA,,616580,,,NE COR BROAD & CHESTNUT STS PHILA PA 19107-0 PHILADELPHIA,
"DAROFF DESIGN, INC.",CORPORATION,PA,2121 MARKET ST,PHILADELPHIA,,PA 19103-0 PHILADELPHIA,2300 IONIC ST,PHILADELPHIA,,616582,KAREN L DAROFF,PRESIDENT,2300 IONIC ST PHILADELPHIA PA 19103-0 PHILADELPHIA,2121 MARKET ST PHILADELPHIA PA 19103-1305
"LEBARON REALTY, INC.",CORPORATION,NAN,,,,PA 19064-0 DELAWARE,192 SAXER AVE,SPRINGFIELD,,616583,,,192 SAXER AVE SPRINGFIELD PA 19064-0 DELAWARE,
"MOUNT NESSMUK ROD AND GUN CLUB, INC.",NONPROFIT,PA,10 LOWER TR PO BOX 292,FAIRFIELD,17320,PA,10 LOWER TRAIL,FAIRFIELD,17320,616584,CARROLL FAIR,PRESIDENT,10 LOWER TRAIL FAIRFIELD PA 17320 ADAMS,10 LOWER TR PO BOX 292 FAIRFIELD PA 17320
ADOPTION CENTER,NONPROFIT,PA,,,,PA,1735 MARKET ST STE A 441,PHILADELPHIA,19103,616585,,,1735 MARKET ST STE A 441 PHILADELPHIA PA 19103 PHILADELPHIA,
REPUBLIC REALTY CORPORATION,CORPORATION,NJ,,,,PA 19102-0 PHILADELPHIA,226 SOUTH 16TH STREET,PHILADELPHIA,,616586,,,226 SOUTH 16TH STREET PHILADELPHIA PA 19102-0 PHILADELPHIA,
"R S G, LTD.",CORPORATION,PA,,,,PA,BLDG. #3 1325 INDUSTRIAL BLVD.,SOUTHAMPTON,,616587,,,BLDG. #3 1325 INDUSTRIAL BLVD. SOUTHAMPTON PA 0 -0 BUCKS,
"BREEDMORE AQUARIUM PRODUCTS, LTD.",CORPORATION,NAN,,,,,,,,616588,,,"8TH FL MEARS BLDG., 146 N. WASHINGTON AV E. SCRANTON PA 18503-0 LACKAWANNA",
GALLITZIN TOWNSHIP AUTHORITY,CORPORATION,NAN,,,,,,,,616589,,,PA 0 -0 CAMBRIA,
"U.S. ALUMINUM BUILDING PRODUCTS OF FREELAND, INC.",CORPORATION,PA,453 BERNER AVE,HAZLETON,,PA 18201-0 LUZERNE,540-560 S CHURCH ST,HAZLETON,,616590,RUTH REFOWICH,SECRETARY,540-560 S CHURCH ST HAZLETON PA 18201-0 LUZERNE,453 BERNER AVE HAZLETON PA 18201-40
"MUSHROOM AMUSEMENTS, INC.",CORPORATION,NAN,,,,PA 19102-0 PHILADELPHIA,"1405 LOCUST ST, SUITE 1107-11",PHILA,,616591,,,"1405 LOCUST ST, SUITE 1107-11 PHILA PA 19102-0 PHILADELPHIA",
LANSDALE LEASING COMPANY,PARTNERSHIP,NAN,,,,,,,,616592,WILLIAM A EDMONDS,GENPARTNER,3067 UNIONVILLE PK HATFIELD PA 19440-0 MONTGOMERY,
"SUMMA & IEZZI, INC.",CORPORATION,PA,KEYSTONE IND PK,DUNMORE,,,,,,616593,JOHN SUMMA,SECRETARY,KEYSTONE INDUSTRIAL PARK DUNMORE PA 18512-0 LACKAWANNA,KEYSTONE IND PK DUNMORE PA 18512
"THE ZIP REALTY CO., INC.",CORPORATION,PA,,,,PA 17728-0 LYCOMING,"R.D. #1, PO BOX 611A",COGAN STATION,,616594,,,"R.D. #1, PO BOX 611A COGAN STATION PA 17728-0 LYCOMING",
"WILCO, ROGER HOLDING, INC.",CORPORATION,PA,617 STATION AVE,HADDON HTS,,PA 19006-0 MONTGOMERY,1635 BIDDLE ROAD,HUNTINGDON VALLEY,,616595,ELLIOTT ARKING,PRESIDENT,1635 BIDDLE ROAD HUNTINGDON VALLEY PA 19006-0 MONTGOMERY,617 STATION AVE HADDON HTS NJ 08035
MARCO POLO INC.,CORPORATION,PA,,,,PA 17520-0 LANCASTER,5997 MAIN STREET,EAST PETERSBURG,,616596,,,5997 MAIN STREET EAST PETERSBURG PA 17520-0 LANCASTER,
KEY TRUCKING INC,CORPORATION,PA,,,,PA,134 MCCRACKEN ROAD,DANVILLE,17821,616597,,,134 MCCRACKEN ROAD DANVILLE PA 17821 MONTOUR,
"FAY, JAMES MICHAEL CORP.",CORPORATION,PA,2835 HADDONFIELD RD,PENNSAUKEN,,PA 19152-0 PHILADELPHIA,7323 SACHETT ST,PHILADELPHIA,,616598,JAMES MICHAEL FAY,PRESIDENT,7323 SACHETT ST PHILADELPHIA PA 19152-0 PHILADELPHIA,2835 HADDONFIELD RD PENNSAUKEN NJ 08110-1108
"WOOD-WALLACE, INC.",CORPORATION,NY,,,,PA 19109-0 PHILADELPHIA,"C/O C T CORPORATION SYSTEM, 123 SOUTH BR OAD STREET",PHIADELPHIA,,616599,,,"C/O C T CORPORATION SYSTEM, 123 SOUTH BR OAD STREET PHIADELPHIA PA 19109-0 PHILADELPHIA",
J. N. PECK INC.,CORPORATION,PA,9199 STEPHENS MANOR DR,MECHANICSVILLE,,,,,,616600,WAY PECK,SECRETARY,C/O CORPORATION GUARANTEE AND TRUST COMPANY PA BUCKS,9199 STEPHENS MANOR DR MECHANICSVILLE VA 23116-5175
"CONMACO, INC.",CORPORATION,MO,,,,PA,C/O C T CORP SYS 123 S BROAD ST,PHILADELPHIA,,616601,,,C/O C T CORP SYS 123 S BROAD ST PHILADELPHIA PA 0 -0 PHILADELPHIA,
"NATIONAL HOUSING ASSOCIATES, INC.",CORPORATION,NAN,300 E POPLAR AVE,HUMMELSTOWN,,,,,,616602,DAVID SCHINDLER,VICEPRESIDENT,1010 S. 17TH ST. (REAR) HARRISBURG PA 17105-0 DAUPHIN,300 E POPLAR AVE HUMMELSTOWN PA 17036-22
"GREAT LAKES TRANSCARIBBEAN LINE, INC.",CORPORATION,NAN,,,,PA 19102-0 PHILADELPHIA,C/O US CORPORATION COMPANY 225 S 15TH ST,PHILADELPHIA,,616603,,,C/O US CORPORATION COMPANY 225 S 15TH ST PHILADELPHIA PA 19102-0 PHILADELPHIA,
TRI-VALLEY HISTORICAL SOCIETY,NONPROFIT,NAN,,,,PA 17983-0 SCHUYLKILL,920 W MAIN,ST VALLEY VIEW,,616604,,,920 W MAIN ST VALLEY VIEW PA 17983-0 SCHUYLKILL,
"MT. JOY CITGO, INC.",CORPORATION,NAN,,,,PA 17552-0 LANCASTER,964 W. MAIN ST.,MOUNT JOY,,616605,,,964 W. MAIN ST. MOUNT JOY PA 17552-0 LANCASTER,
"OIL VALLEY CHAPTER OF SWEET ADELINES, INC.",NONPROFIT,NAN,,,,PA 16301-0 VENANGO,"PO BOX 12, 2 CENTER ST",OIL CITY,,616606,,,"PO BOX 12, 2 CENTER ST OIL CITY PA 16301-0 VENANGO",
"RENO INDUSTRIES, INC.",CORPORATION,NAN,,,,PA 16323-0 VENANGO,"RD #2, BOX 591",FRANKLIN,,616607,GEORGE SHAW,PRESIDENT,"RD #2, BOX 591 FRANKLIN PA 16323-0 VENANGO",R D 2 BOX 591 FRANKLIN PA 16323-61
"LAB-MEX, INC.",CORPORATION,NAN,STE 202 101 GREENWOOD AVE,JENKINTOWN,,PA,SPRING AVE,HOLLAND,,616608,PETER A SOLIS,PRESIDENT,SPRING AVE HOLLAND PA 18966-0 BUCKS,STE 202 101 GREENWOOD AVE JENKINTOWN PA 19046-46
"J.R.A. CONSTRUCTION ASSOCIATES, INC.",CORPORATION,NJ,,,,PA,1193 REAR WEST MAIN STREET,STROUDSBURG,18360-0,616609,,,1193 REAR WEST MAIN STREET STROUDSBURG PA 18360-0 MONROE,
