name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
HOUSEMAN CONSTRUCTION COMPANY,CORPORATION,MI,4346 LEONARD NW,GRAND RAPIDS,,,,,,3822796,HEATHER ALFLEN,PRESIDENT,%BUSINESS FILINGS INCORPORATED DAUPHIN,4346 LEONARD NW GRAND RAPIDS MI 49534
SDI SOLUTIONS LLC,LLC,DE,,,,,,,,3822797,,,%CORPORATION SERVICE COMPANY DAUPHIN,
URBAN PURPOSE,NONPROFIT,PA,,,,PA,6932 KELLY STREET,PITTSBURGH,15208,3822798,,,6932 KELLY STREET PITTSBURGH PA 15208 ALLEGHENY,
"NORTH COLLEGE PLAZA II, LP",PARTNERSHIP,PA,362 ARMSTRONG DRIVE,WASHINGTON,15219,PA,1207 FIFTH AVENUE,PITTSBURGH,15219,3822799,JAS INVESTMENTS LLC,GENPARTNER,1207 FIFTH AVENUE PITTSBURGH PA 15219 ALLEGHENY,362 ARMSTRONG DRIVE WASHINGTON PA 15301
INTERNATIONAL SOCIETY OF APPRAISERS-EASTERN PENNSYLVANIA CHAPTER INC.,NONPROFIT,PA,,,,PA,609 WEST STATE STREET,MEDIA,19063,3822800,,,609 WEST STATE STREET MEDIA PA 19063 DELAWARE,
VALLEY EDUCATION AND COMMUNITY SERVICES,NONPROFIT,PA,,,,PA,4 RANSOM CIRCLE,ALBRIGHTSVILLE,18210,3822802,,,4 RANSOM CIRCLE ALBRIGHTSVILLE PA 18210 CARBON,
"THE J. MOREY COMPANY, INC., INSURANCE AGENTS AND BROKERS",CORPORATION,CA,STE 100 800 S HARBOR BLVD,ANAHEIM,,,,,,3822803,DAVID YANAGISAWA,PRESIDENT,%CORPORATION SERVICE COMPANY DAUPHIN,STE 100 800 S HARBOR BLVD ANAHEIM CA 92805
ENERGY MANAGEMENT AND SERVICES COMPANY,CORPORATION,TX,,,,,,,,3822804,,,%CT CORPORATION SYSTEM PHILADELPHIA,
BEHOLD YOUR GOD MINISTRIES,NONPROFIT,PA,816 N 13TH ST,READING,19604,PA,816 N 13TH ST,READING,19604,3822806,VAL DELUCA,MEMBERNAME,816 N 13TH ST READING PA 19604 BERKS,816 N 13TH ST READING PA 19604
WITNESS TO INNOCENCE,NONPROFIT,PA,,,,PA,1501 CHERRY ST.,PHILADELPHIA,19102,3822807,,,1501 CHERRY ST. PHILADELPHIA PA 19102 PHILADELPHIA,
"CDEL PROPERTIES, LLC",LLC,PA,,,,PA,439 BARCLAY ROAD,ROSEMONT,19010,3822808,,,439 BARCLAY ROAD ROSEMONT PA 19010 DELAWARE,
"MANCUSO & DIAS, INC.",CORPORATION,FL,STE 7005102 W LAUREL ST,TAMPA,19110,PA,100 S BROAD ST #1200,PHILADELPHIA,19110,3822809,PHILLIP I MANCUSO,PRESIDENT,100 S BROAD ST #1200 PHILADELPHIA PA 19110 PHILADELPHIA,STE 7005102 W LAUREL ST TAMPA FL 33607-3854
"THE RESTING PLACE, INC.",NONPROFIT,PA,,,,PA,509 SOUTH SECOND STREET,STEELTON,17113,3822810,,,509 SOUTH SECOND STREET STEELTON PA 17113 DAUPHIN,
"POLACHEK ROHAL AND ASSOCIATES, LLC",LLC,PA,,,,PA,105 ESTATES COURT,JEANNETTE,15644,3822811,,,105 ESTATES COURT JEANNETTE PA 15644 WESTMORELAND,
BOWSER BEACON LLC,LLC,PA,,,,PA,19 1/2 N 4TH STREET,HARRISBURG,17101,3822812,,,19 1/2 N 4TH STREET HARRISBURG PA 17101 DAUPHIN,
"CHAMPIONS FOR CHRIST MINISTRIES, COMMUNITY DEVELOPMENT CORP.",NONPROFIT,PA,5240 D STREET,PHILADELPHIA,19120,PA,5240 D STREET,PHILADELPHIA,19120,3822813,YVES CASIMIR,PRESIDENT,5240 D STREET PHILADELPHIA PA 19120 PHILADELPHIA,5240 D STREET PHILADELPHIA PA 19120-51
"K - FAD, INC.",NONPROFIT,PA,,,,PA,7610 N FRONT STREET,CHELTENHAM,19012,3822815,,,7610 N FRONT STREET CHELTENHAM PA 19012 MONTGOMERY,
"LACKAWANNA TRAIL PARENT TEACHER ORGANIZATION, INC.",NONPROFIT,PA,,,,PA,PO BOX 85 COLLEGE AVENUE,FACTORYVILLE,18419,3822816,,,PO BOX 85 COLLEGE AVENUE FACTORYVILLE PA 18419 WYOMING,
"CRAWFORD COMMUNITY RENAISSANCE, INC",NONPROFIT,PA,,,,PA,2901 BROWNLEE AVENUE 2ND FLOOR,MCKEESPORT,15132,3822817,,,2901 BROWNLEE AVENUE 2ND FLOOR MCKEESPORT PA 15132 ALLEGHENY,
QCW CYCLING,NONPROFIT,PA,,,,PA,2401 PENNSYLVANIA AVENUE 3-A11,PHILADELPHIA,19130,3822818,,,2401 PENNSYLVANIA AVENUE 3-A11 PHILADELPHIA PA 19130 PHILADELPHIA,
