name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
SIMPLY STITCHES,CORPORATION,NAN,,,,PA 17821-0 MONTOUR,316 MILL ST,DANVILLE,,1500001,PAMELA J MARSHALL,OWNER,316 MILL ST DANVILLE PA 17821-0 MONTOUR,
SICILIA ENTERPRISES INC.,CORPORATION,NAN,C/O E. SICILIA 873 N PENNOCK ST,PHILADELPHIA,19130-51,PA 19124-0 PHILADELPHIA,3901 FRANKFORD AVE,PHILA,,1500003,ERNESTO SICILIA,TREASURER,3901 FRANKFORD AVE PHILA PA 19124-0 PHILADELPHIA,C/O E. SICILIA 873 N PENNOCK ST PHILADELPHIA PA 19130-51
PARTQUARTERS,CORPORATION,NAN,,,,PA 19335-0 CHESTER,207 KELLY LANE,DOWNINGTON,,1500004,CHRISTINE P REINWALD,OWNER,207 KELLY LANE DOWNINGTON PA 19335-0 CHESTER,
ROS INCORPORATED,CORPORATION,PA,304 NOTTINGHAM DR,SPRING CITY,19475-15,PA 19464-0 CHESTER,1039 SCHOOL HOUSE ROAD,POTTSTOWN,,1500005,SUZANNE OLIVER,SECRETARY,1039 SCHOOL HOUSE ROAD POTTSTOWN PA 19464-0 CHESTER,304 NOTTINGHAM DR SPRING CITY PA 19475-15
MARKETING MIX,CORPORATION,PA,,,,PA 19082-0 DELAWARE,504 SPRUCE AVE,UPPER DARBY,,1500006,COLLEEN ECKLES,OWNER,504 SPRUCE AVE UPPER DARBY PA 19082-0 DELAWARE,
"KRONA, LTD.",CORPORATION,NAN,,,,PA 17522-0 LANCASTER,2415 WEST MAIN ST,EPHRATA,,1500007,RICHARD L WIEST,VICEPRESIDENT,2415 WEST MAIN ST EPHRATA PA 17522-0 LANCASTER,
WOODSIDE CUSTOM HOMES,CORPORATION,PA,4310 EISENHOWER DRIVE,BETHLEHEM,18020,PA,77 WEST BROAD STREET UNIT 21B,BETHLEHEM,18018,1500008,"WOODSIDE CUSTOM HOMES, INC.",OWNER,77 WEST BROAD STREET UNIT 21B BETHLEHEM PA 18018 NORTHAMPTON,4310 EISENHOWER DRIVE BETHLEHEM PA 18020
"TRIUMPH FILMS, INC.",CORPORATION,NAN,812 PARKWAY BLVD SOUTH,BROOMALL,19008-23,PA 19010-0 MONTGOMERY,461 ROLLING ROAD,ROSEMONT,,1500009,WALTER E DOMBROW,PRESIDENT,461 ROLLING ROAD ROSEMONT PA 19010-0 MONTGOMERY,812 PARKWAY BLVD SOUTH BROOMALL PA 19008-23
NORTHEAST PODIATRIC SURGICAL CENTERS,CORPORATION,NAN,,,,PA 18640-0 LUZERNE,40 N MAIN ST,PITTSTON,,1500010,PAUL A CHROMEY DPM,OWNER,40 N MAIN ST PITTSTON PA 18640-0 LUZERNE,
HC MANAGEMENT CO,CORPORATION,NAN,,,,PA 19090-0 MONTGOMERY,1771 SMITH AVE,WILLOW GROVE,,1500011,HARRIET I SPERANZA,OWNER,1771 SMITH AVE WILLOW GROVE PA 19090-0 MONTGOMERY,
