name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
"NORTH STAR AUTO, INC.",CORPORATION,PA,,,,PA 19006-0 MONTGOMERY,101A TOMLINSON RD,HUNTINGDON VALLEY,,2712952,,,101A TOMLINSON RD HUNTINGDON VALLEY PA 19006-0 MONTGOMERY,
CORPORATE INTERIOR OPTIONS,CORPORATION,PA,,,,PA 19003-0 MONTGOMERY,315 GLENN RD,ARDMORE,,2712953,EILEEN KELLY PROCACCI,OWNER,315 GLENN RD ARDMORE PA 19003-0 MONTGOMERY,
RUNKEY PLUMBING INC.,CORPORATION,PA,5048 WINDOVER DR,PITTSBURGH,,PA 15136-0 ALLEGHENY,242 BARBARA DR,MCKEES ROCKS,,2712954,MARK R RUNKEY,PRESIDENT,242 BARBARA DR MCKEES ROCKS PA 15136-0 ALLEGHENY,5048 WINDOVER DR PITTSBURGH PA 15205-9601
"F. W. BASS INTERNATIONAL, INC.",CORPORATION,PA,,,,PA,117 MCLAUGHLIN RD,MOON TOWNSHIP,15108-3819,2712955,,,117 MCLAUGHLIN RD MOON TOWNSHIP PA 15108-3819 ALLEGHENY,
KLINE BUILDER'S INC,CORPORATION,PA,260 ABBEY LN,LEESPORT,,PA,260 ABBEY LANE,LEESPORT,,2712956,CLIFFORD KLINE,VICEPRESIDENT,260 ABBEY LANE LEESPORT PA 19533-0 BERKS,260 ABBEY LN LEESPORT PA 19533-9589
"THE YOGA STUDIO, INC.",CORPORATION,PA,,,,,,,,2712957,,,LOGAN SQUARE VR7 STE 39 NEW HOPE PA 18938-0 BUCKS,
SELF CARE INCORPORATED,CORPORATION,PA,C/O HENRY T PIETRASZEK4951 N AVND DE VIZCAYA,TUCSON,,,,,,2712958,HENRY T PIETRASZEK,PRESIDENT,6712 MANCHESTER FARMS FAIRVIEW PA 16415-0 ERIE,C/O HENRY T PIETRASZEK4951 N AVND DE VIZCAYA TUCSON AZ 85718
"EMERALD LAND MANAGEMENT, INC.",CORPORATION,PA,PO BOX 3,SAINT MARYS,15857-0,PA,900 VINE RD,ST MARYS,15857-0,2712959,RICHARD E LYND,VICEPRESIDENT,900 VINE RD ST MARYS PA 15857-0 ELK,PO BOX 3 SAINT MARYS PA 15857-0003
NORTH HUNTINGDON FLORAL,CORPORATION,PA,,,,PA 15642-0 WESTMORELAND,12591 RT 30 NORTH,HUNTINGDON,,2712960,JUDY A MORGAN,OWNER,12591 RT 30 NORTH HUNTINGDON PA 15642-0 WESTMORELAND,
"AVX, INC.",CORPORATION,PA,C/O JAMES W BUNTING 139 N WATER ST,LANCASTER,,PA 17603-0 LANCASTER,139 N WATER ST,LANCASTER,,2712961,JAMES W BUNTING,PRESIDENT,139 N WATER ST LANCASTER PA 17603-0 LANCASTER,C/O JAMES W BUNTING 139 N WATER ST LANCASTER PA 17603-36
"COUNTRYSIDE VENDORS, INC.",CORPORATION,PA,179 STULLFIELD RD,CHAMBERSBURG,,PA 17201-0 FRANKLIN,179 STULLFIELD RD,CHAMBERSBURG,,2712962,GREGORY M BAILEY,PRESIDENT,179 STULLFIELD RD CHAMBERSBURG PA 17201-0 FRANKLIN,179 STULLFIELD RD CHAMBERSBURG PA 17201-28
IMAGEBOX PRODUCTIONS,CORPORATION,PA,,,,PA 15203-0 ALLEGHENY,2330 E CARSON ST,PITTSBURGH,,2712963,JOHN C MAHOOD,OWNER,2330 E CARSON ST PITTSBURGH PA 15203-0 ALLEGHENY,
"D.A.R. CONSTRUCTION, INC",CORPORATION,PA,425 MAGEE AVE,PHILADELPHIA,,PA 19111-0 PHILADELPHIA,425 MAGEE AVE,PHILADELPHIA,,2712964,DANIEL RODRIGUEZ,TREASURER,425 MAGEE AVE PHILADELPHIA PA 19111-0 PHILADELPHIA,425 MAGEE AVE PHILADELPHIA PA 19111-51
WOODLANDS BUILDING AND MAINTENANCE,CORPORATION,PA,,,,PA,17 HEATHER LANE,LEVITTOWN,,2712965,KENNETH GESSNER,OWNER,17 HEATHER LANE LEVITTOWN PA 19055-0 BUCKS,
"CAPITAL PHYSICAL HEALTH SERVICES, INC.",CORPORATION,NAN,2409 RUDY RD,HARRISBURG,,,,,,2712966,MICHAEL FURJANIC,TREASURER,2120 CHESTNUT ST STE C HARRISBURG PA 17102-0 DAUPHIN,2409 RUDY RD HARRISBURG PA 17104-22
TIMBER! TREE SERVICE,CORPORATION,PA,,,,PA 16117-0 LAWRENCE,123 PGH CIRCLE,ELLWOOD CITY,,2712967,RICHARD BOOTS,OWNER,123 PGH CIRCLE ELLWOOD CITY PA 16117-0 LAWRENCE,
LOGOS ACADEMY,NONPROFIT,PA,,,,PA,250 W. KING STREET,YORK,17405,2712968,,,250 W. KING STREET YORK PA 17405 YORK,
FORUM REMODELING AND CONSTRUCTION,CORPORATION,PA,,,,PA,RD 4 BOX 4512 MOORE RD,MOHNTON,,2712969,MICHAEL P GERTH,OWNER,RD 4 BOX 4512 MOORE RD MOHNTON PA 19540-0 BERKS,
"SHEARER LOCK, SAFE & SECURITY",CORPORATION,PA,,,,PA 17111-0 DAUPHIN,921 EISENHOWER BLVD,HARRISBURG,,2712970,WAYNE D SHEARER,OWNER,921 EISENHOWER BLVD HARRISBURG PA 17111-0 DAUPHIN,
"WILLIAM PENN PTA, INC.",NONPROFIT,PA,,,,PA 15063-0 WASHINGTON,RD #3 BOX 400 WILLIAMSPORT RD,MONONGAHELA,,2712971,,,RD #3 BOX 400 WILLIAMSPORT RD MONONGAHELA PA 15063-0 WASHINGTON,
A*PLUS LAWN CARE SERVICE,CORPORATION,PA,,,,PA 17601-0 LANCASTER,705 DARBY LANE,LANCASTER,,2712972,JOHN R ASHLINE,OWNER,705 DARBY LANE LANCASTER PA 17601-0 LANCASTER,
