name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
WHITE CLAY FARMS LLC,LLC,PA,,,,PA,435 PENN GREEN ROAD,LANDENBERG,19350,5921036,,,435 PENN GREEN ROAD LANDENBERG PA 19350 CHESTER,
WOODLAWN CEMETERY COMPANY,NONPROFIT,NAN,,,,,,,,5922145,,,NAN,
HAGAN CORPORATION,CORPORATION,NAN,,,,,,,,5922942,,,NAN,
SUMMER BRICK AND TILE COMPANY,NONPROFIT,NAN,,,,,,,,5923066,,,NAN,
"K & J PIZZA, LLC",LLC,PA,,,,PA,2601 JENKINTOWN RD,GLENSIDE,19038,5926109,,,2601 JENKINTOWN RD GLENSIDE PA 19038 MONTGOMERY,
THE RUTH M. SMITH CHILDREN'S HOME,NONPROFIT,NAN,,,,,,,,5926839,,,NAN,
"ROTARY CLUB OF LANCASTER, PENNSYLVANIA",NONPROFIT,NAN,,,,PA,234 W ORANGE STREET,LANCASTER,17603,5927228,,,234 W ORANGE STREET LANCASTER PA 17603 LANCASTER,
"OUR CREATIVE CREATION ""LIMITED""",LLC,PA,,,,PA,5935 COLGATE STREET,PHILADELPHIA,19120,5927422,,,5935 COLGATE STREET PHILADELPHIA PA 19120 PHILADELPHIA,
JAKOBSEN MOTOR CORP,CORPORATION,OR,REAR929,LITITZ,17543-8641,PA,628 DORSET STREET,LITITZ,17543-8641,5927441,JOHN E JAKOBSEN,SECRETARY,628 DORSET STREET LITITZ PA 17543-8641 LANCASTER,REAR929 LITITZ PIKE LITITZ PA 17543-8641
"JELENA'S SHOPPE, LLC",LLC,PA,,,,PA,800 E HIGH ST STE 428,CARLISLE,17013,5927722,,,800 E HIGH ST STE 428 CARLISLE PA 17013 CUMBERLAND,
ALBRIGHT EVANGELICAL UNITED BRETHREN CHURCH OF LOGANTON,NONPROFIT,PA,47 E MAIN STREET SUITE 2,LOGANTON,17747,PA,47 E MAIN STREET SUITE 2,LOGANTON,17747,5928379,REV. ELIZABETH R. TAYLOR,OTHER,47 E MAIN STREET SUITE 2 LOGANTON PA 17747 CLINTON,47 E MAIN STREET SUITE 2 LOGANTON PA 17747
"THE SAINT NICHOLAS UNITED GREEK CATHOLIC CONGREGATION OF THE TOWNSHIP OF OLD FORGE, PENNSYLVANIA",NONPROFIT,NAN,,,,,,,,5928996,,,NAN,
VIBRAMEND LLC,LLC,PA,,,,PA,340 LEWIS ROAD,SPRINGFIELD,19064,5929478,,,340 LEWIS ROAD SPRINGFIELD PA 19064 DELAWARE,
MECHANICSBURG CEMETERY ASSOCIATION,NONPROFIT,NAN,,,,PA,137 W MARBLE ST,MECHANICSBURG,17055,5929513,,,137 W MARBLE ST MECHANICSBURG PA 17055 CUMBERLAND,
"ST. PETERS CHURCH, PITTSBURGH",NONPROFIT,NAN,,,,,,,,5929572,,,NAN,
TECPRO LLC,LLC,PA,,,,PA,1910 GARRETT ROAD SUITE G,LANSDOWNE,19050,5929995,,,1910 GARRETT ROAD SUITE G LANSDOWNE PA 19050 DELAWARE,
"PHILLY LABOR, LLC",LLC,PA,,,,PA,214 OSBORN ST,PHILADELPHIA,19128,5931195,,,214 OSBORN ST PHILADELPHIA PA 19128 PHILADELPHIA,
THE FIRST METHODIST EPISCOPAL CHURCH OF MESHOPPEN,NONPROFIT,NAN,,,,,,,,5932501,,,NAN,
BENEVOLENT HEALTHCARE FOUNDATION DBA PROJECT C.U.R.E.,NONPROFIT,CO,,,,PA,8 FEDERAL ROAD,WEST GROVE,19390,5933448,,,8 FEDERAL ROAD WEST GROVE PA 19390 CHESTER,
FURRY FRIENDS ANIMAL CLINIC LLC,LLC,PA,,,,PA,501 DUKE STREET,NORTHUMBERLAND,17857,5933773,,,501 DUKE STREET NORTHUMBERLAND PA 17857 NORTHUMBERLAND,
STEPHEN OWENS AND SONS LLC,LLC,PA,,,,PA,25 DAVISVILLE ROAD,SOUTHAMPTON,18966,5934318,,,25 DAVISVILLE ROAD SOUTHAMPTON PA 18966 BUCKS,
