name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
"SONEPAR MANAGEMENT US, INC.",CORPORATION,DE,,,,,,,,2836270,,,%CT CORPORATION SYSTEM DAUPHIN,
SHARPSVILLE LANDLORD'S ASSOCIATION,NONPROFIT,PA,,,,PA,213 MAIN ST,SHARPSVILLE,16150-0,2836271,,,213 MAIN ST SHARPSVILLE PA 16150-0 MERCER,
CEDAR RIDGE ESTATES HOMEOWNER ASSOCIATION,NONPROFIT,PA,,,,PA,360 LOUCKS ROAD,YORK,17404,2836272,,,360 LOUCKS ROAD YORK PA 17404 YORK,
THE MAIL ROOM ETC.,CORPORATION,PA,,,,PA 17701-0 LYCOMING,416 RIVER AVE,WILLIAMSPORT,,2836273,DAVID D KOCH,OWNER,416 RIVER AVE WILLIAMSPORT PA 17701-0 LYCOMING,
"PLASTIC SURGERY ASSOCIATES OF LANCASTER, LLC",LLC,PA,,,,PA 17602-0 LANCASTER,445 NORTH DUKE ST,LANCASTER,,2836274,,,445 NORTH DUKE ST LANCASTER PA 17602-0 LANCASTER,
"STAY IN TOUCH, LLC",LLC,PA,,,,PA 19320-0 CHESTER,717 CEDAR KNOLL RD,COATESVILLE,,2836275,,,717 CEDAR KNOLL RD COATESVILLE PA 19320-0 CHESTER,
"COUNTRY SAMPLER OF LANCASTER COUNTY, INC.",CORPORATION,PA,49 N BROAD ST,REAR LITITZ,,PA 17601-0 LANCASTER,147 RIDINGS WAY,LANCASTER,,2836276,SOPHOCLES G MANOS,VICEPRESIDENT,147 RIDINGS WAY LANCASTER PA 17601-0 LANCASTER,49 N BROAD ST REAR LITITZ PA 17543-36
"ERIE WINGS PARTNERS, L.P.",PARTNERSHIP,PA,,,,PA,150 E 8TH ST,ERIE,,2836277,EWGP INC,GENPARTNER,150 E 8TH ST ERIE PA 16501-0 ERIE,PA
"ADVANCED CARE SURGICAL ASSOCIATES, P.C.",CORPORATION,PA,701 COBBLESTONE DR,EVANSVILLE,,PA 15301-0 WASHINGTON,382 W CHESTNUT ST,WASHINGTON,,2836278,FINN H DORON,PRESIDENT,382 W CHESTNUT ST WASHINGTON PA 15301-0 WASHINGTON,701 COBBLESTONE DR EVANSVILLE IN 47715
"NEWWAVE NETWORK SOLUTIONS, INC.",CORPORATION,PA,1328 RIVER AVE PT,PLEASANT,,PA 19102-0 PHILADELPHIA,% JOSEPH J VALVO 1422 CHESTNUT ST STE 600,PHILADELPHIA,,2836281,RUDOLPH W RIVERA,PRESIDENT,% JOSEPH J VALVO 1422 CHESTNUT ST STE 600 PHILADELPHIA PA 19102-0 PHILADELPHIA,1328 RIVER AVE PT PLEASANT NJ 08742
"E.A.J., INC.",CORPORATION,PA,ATTN A BLESSING P.O. BOX #397,REVERE,,PA,326 ROCK RIDGE RD PO BOX 397,REVERE,,2836282,ANDREW BLESSING,PRESIDENT,326 ROCK RIDGE RD PO BOX 397 REVERE PA 18953-0 BUCKS,ATTN A BLESSING P.O. BOX #397 REVERE PA 18953-09
"PCA DESIGN, INC.",CORPORATION,PA,112 KEENER AVE,RED LION,,PA 17356-0 YORK,512 CRESTWOOD DR,RED LION,,2836283,PAUL F LANDO,VICEPRESIDENT,512 CRESTWOOD DR RED LION PA 17356-0 YORK,112 KEENER AVE RED LION PA 17356-1608
"EASTGATE PARTNERS, INC.",CORPORATION,PA,,,,PA 19333-0 CHESTER,402 CHESTER RD,DEVON,,2836284,,,402 CHESTER RD DEVON PA 19333-0 CHESTER,
IL GIARDINO,CORPORATION,PA,,,,PA 19311-0 CHESTER,9173 NEWPORT GAP PIKE,AVONDALE,,2836285,MC INC,OWNER,9173 NEWPORT GAP PIKE AVONDALE PA 19311-0 CHESTER,
"BOX TOPPERS, INC.",CORPORATION,PA,7132 N RADCLIFFE ST,BRISTOL,,PA,7132 N RADCLIFFE ST,BRISTOL,,2836286,MARK BANKER,TREASURER,7132 N RADCLIFFE ST BRISTOL PA 19007-0 BUCKS,7132 N RADCLIFFE ST BRISTOL PA 19007-09
