name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
"4614 WOODLAND PARTNERS, L.P.",PARTNERSHIP,PA,426 SOUTH 44TH STREET,PHILADELPHIA,19104,PA,426 SOUTH 44TH STREET,PHILADELPHIA,19104,3946112,4041 CORPORATION,GENPARTNER,426 SOUTH 44TH STREET PHILADELPHIA PA 19104 PHILADELPHIA,426 SOUTH 44TH STREET PHILADELPHIA PA 19104
"MORREALE PROPERTIES, LP",PARTNERSHIP,PA,890 BUTLER STREET,PITTSBURGH,15223,PA,890 BUTLER STREET,PITTSBURGH,15223,3946113,"MORREALE PROPERTIES GP, LLC",GENPARTNER,890 BUTLER STREET PITTSBURGH PA 15223 ALLEGHENY,890 BUTLER STREET PITTSBURGH PA 15223
"IMMACULATE CLEANING, LLC",LLC,PA,,,,PA,17 POPLAR BRIDGE ESTATES EAST,STROUDSBURG,18302,3946114,,,17 POPLAR BRIDGE ESTATES EAST STROUDSBURG PA 18302 MONROE,
W. W. VILE & SONS LLC,LLC,PA,,,,PA,7 IVORY ROCK RD,LEVITTOWN,19057,3946115,,,7 IVORY ROCK RD LEVITTOWN PA 19057 BUCKS,
"FIVE PONDS FINANCIAL, LLC",LLC,PA,,,,,,,,3946116,,,%CORPORATION SERVICE COMPANY DAUPHIN,
J & G REALTY INVESTMENTS LLC,LLC,PA,,,,PA,2005 GOLD KEY ESTATE 103 RUSTIC WAY,MILFORD,18337,3946117,,,2005 GOLD KEY ESTATE 103 RUSTIC WAY MILFORD PA 18337 PIKE,
HOLLYMEAD CAPITAL LLC,LLC,PA,,,,,,,,3946118,,,"%UNITED STATES CORPORATION AGENTS, INC. DELAWARE",
"HELLOBURRITO1, L.L.C.",LLC,PA,,,,PA,337 W WALNUT STREET,KUTZTOWN,19530,3946119,,,337 W WALNUT STREET KUTZTOWN PA 19530 BERKS,
BRIGHT STAR LEARNING ACADEMY LLC,LLC,PA,,,,,,,,3946120,,,"%UNITED STATES CORPORATION AGENTS, INC. DELAWARE",
VILLEN SURFBOARDS LLC,LLC,PA,,,,,,,,3946121,,,"%UNITED STATES CORPORATION AGENTS, INC. DELAWARE",
"SKYACRES, LLC",LLC,PA,,,,,,,,3946122,,,"%ELLIOTT & DAVIS, P.C. ALLEGHENY",
"YOUR ROOSTER, LLC",LLC,PA,,,,,,,,3946123,,,"%UNITED STATES CORPORATION AGENTS, INC. DELAWARE",
