name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
"CECIL TOWNSHIP VOLUNTEER FIRE COMPANY, INC.",NONPROFIT,NAN,,,,,,,,4688927,,,NAN,
JEFFREY A WETTLAUFER LOG TRUCKING LLC,LLC,PA,,,,PA,295 S TURNPIKE STREET,DUSHORE,18614,4699712,,,295 S TURNPIKE STREET DUSHORE PA 18614 SULLIVAN,
"CLICKTRIPZ, LLC",LLC,NV,,,,PA,219 BLOSSOM HILL DRIVE,LANCASTER,17601,4699791,,,219 BLOSSOM HILL DRIVE LANCASTER PA 17601 LANCASTER,
MUNHALL VOLUNTEER FIRE COMPANY NO. 1,NONPROFIT,NAN,,,,,,,,4703410,,,NAN,
THE NORTHWOOD CEMETERY ASSOCIATION,NONPROFIT,NAN,,,,,,,,4708685,,,NAN,
MUIR VOLUNTEER FIRE COMPANY NO. 1,NONPROFIT,NAN,,,,,,,,4709341,,,NAN,
INVOQ MARKETING COMPANY,LLC,PA,,,,PA,819 E. ORANGE STREET,LANCASTER,17602,4714088,,,819 E. ORANGE STREET LANCASTER PA 17602 LANCASTER,
DCX DIGITAL MEDIA LLC,LLC,PA,,,,PA,127 ROBERTSON COURT NORTH,WALES,19454,4716178,,,127 ROBERTSON COURT NORTH WALES PA 19454 MONTGOMERY,
LIBERTY ELEVATOR CORPORATION,CORPORATION,NJ,,,,,,,,4722215,JANET MUTTART,TREASURER,%CORPORATION SERVICE COMPANY DAUPHIN,
"SAINT LUKES EVANGELICAL LUTHERAN CHURCH OF ALLENTOWN, PA.",NONPROFIT,NAN,,,,,,,,4726363,,,NAN,
GTE SYLVANIA INCORPORATED,CORPORATION,PA,,,,,,,,4727749,,,NAN,
THE NEW LONDON METHODIST EPISCOPAL CHURCH,NONPROFIT,NAN,1008 STATE RD.,NEW LONDON,19360,PA,1008 STATE RD,NEW LONDON,19360,4729721,SANDY DUVALL-WOLFE,TREASURER,1008 STATE RD NEW LONDON PA 19360 CHESTER,1008 STATE RD. NEW LONDON PA 19360
"TIME TO BOOK TRAVEL, LLC",LLC,PA,,,,PA,2 CARLETON DRIVE,PITTSBURGH,15243,4729737,,,2 CARLETON DRIVE PITTSBURGH PA 15243 ALLEGHENY,
