name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
AIRTRAX INC,CORPORATION,NJ,870 B CENTRAL AVE,HAMMONTON,18974-,PA,100 PARK AVE,WARMINSTER,18974-,3206216,PETER AMICO,PRESIDENT,100 PARK AVE WARMINSTER PA 18974-,870 B CENTRAL AVE HAMMONTON NJ 08037
HANDI * VANGELISM MINISTRIES INTERNATIONAL,NONPROFIT,NAN,,,,PA,28 HERITAGE RD,AKRON,17501-,3206217,,,28 HERITAGE RD AKRON PA 17501- LANCASTER,
DIGNITY HOUSE INC.,NONPROFIT,PA,,,,PA,1687 N 56TH ST,PHILA,19131-,3206218,,,1687 N 56TH ST PHILA PA 19131- PHILADELPHIA,
STONEDECOR,CORPORATION,NAN,,,,PA,173 MEYERS ST,EAST STROUDSBURG,18301-,3206219,ROY GEETING,OWNER,173 MEYERS ST EAST STROUDSBURG PA 18301- MONROE,
"THE MEADOWS OF HANOVER MASTER ASSOCIATION, INC.",NONPROFIT,PA,,,,PA,225 N PRESIDENTIAL BLVD,BALA CYNWYD,19004-,3206221,,,225 N PRESIDENTIAL BLVD BALA CYNWYD PA 19004- MONTGOMERY,
STANLEY AND MELINDA'S LAWN CARE,CORPORATION,NAN,,,,PA,1355 VIRGINIA AVE,JOHNSTOWN,15906-,3206222,STANLEY CARR,OWNER,1355 VIRGINIA AVE JOHNSTOWN PA 15906- CAMBRIA,
PHILADELPHIA BAPTIST CHURCH,NONPROFIT,PA,,,,PA,11-19 SOUTH 63RD ST,PHILA,19139-,3206224,,,11-19 SOUTH 63RD ST PHILA PA 19139- PHILADELPHIA,
LOWER PAXTON YOUTH CENTER,NONPROFIT,PA,,,,PA,100 ELMWOOD DR,HARRISBURG,17109-,3206226,,,100 ELMWOOD DR HARRISBURG PA 17109- DAUPHIN,
PINNACLE DISTRIBUTORS,CORPORATION,NAN,,,,PA,5871 WOODCREST AVE,PHILA,19131-,3206227,LORNELL B MURPHY,OWNER,5871 WOODCREST AVE PHILA PA 19131- PHILADELPHIA,
"MARINE CORPS LEAGUE, WASHINGTON COUNTY DETACHMENT 1138",NONPROFIT,PA,,,,PA,168 PARK AVENUE,WASHINGTON,15301,3206228,,,168 PARK AVENUE WASHINGTON PA 15301 WASHINGTON,
TRI-STATE SPINE AND REHAB CENTER,CORPORATION,NAN,,,,PA,2314 SASSAFRAS ST STE 305,ERIE,16502-,3206229,TRI-STATE REHABILITATION ASSOCIATES PC,OWNER,2314 SASSAFRAS ST STE 305 ERIE PA 16502- ERIE,
YOUNG FELLA'S,CORPORATION,NAN,,,,PA,18 W BROAD ST,BETHLEHEM,18017-,3206231,JOHN L DANDRADE,OWNER,18 W BROAD ST BETHLEHEM PA 18017- NORTHAMPTON,
JAYSBURG AUTO,CORPORATION,NAN,,,,PA,2240 WHITNEY RD,WILLIAMSPORT,17701-,3206232,JAYSBURG AUTOMOTIVE SALES AND SERVICE IN,OWNER,2240 WHITNEY RD WILLIAMSPORT PA 17701- LYCOMING,
MOSHANNON CREEK WATERSHED COALITION,NONPROFIT,NAN,,,,PA,268 EMPIRE RD PO BOX 94,HAWK RUN,16840-,3206233,,,268 EMPIRE RD PO BOX 94 HAWK RUN PA 16840- CLEARFIELD,
THE BLUE BUTTERFLY FUND,NONPROFIT,NAN,,,,PA,3855 CREEK RD,MILLMONT,17845-,3206234,,,3855 CREEK RD MILLMONT PA 17845- UNION,
MOM N' POP'S ICE CREAM SHOPPE,CORPORATION,NAN,,,,PA,855 E 26TH ST,ERIE,16504-,3206235,STEPHEN SHELTON,OWNER,855 E 26TH ST ERIE PA 16504- ERIE,
"PLAYPENN, INC.",NONPROFIT,PA,,,,PA,100 S BROAD STREET SUITE 1318,PHILADELPHIA,19110,3206236,,,100 S BROAD STREET SUITE 1318 PHILADELPHIA PA 19110 PHILADELPHIA,
