name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
"STONES CROSSING SWIMMING CLUB, INC.",NONPROFIT,NAN,,,,,,,,5804275,,,NAN,
ROSE RESIDENTIAL LLC,LLC,PA,,,,PA,389 WHEATFIELD DRIVE,LITITZ,17543,5805460,,,389 WHEATFIELD DRIVE LITITZ PA 17543 LANCASTER,
"BIG G LAUNDRY, INC.",CORPORATION,PA,,,,PA,2160 HARTS LANE,CONSHOHOCKEN,19428,5806428,,,2160 HARTS LANE CONSHOHOCKEN PA 19428 MONTGOMERY,
"NAZ-JOHN, INC.",CORPORATION,PA,,,,PA,"951 LIBERTY AVE, 1B",PITTSBURGH,15222,5806886,,,"951 LIBERTY AVE, 1B PITTSBURGH PA 15222 ALLEGHENY",
CLOVER HOSE COMPANY OF MOUNT CARMEL PA.,NONPROFIT,NAN,,,,PA,301 S OAK ST,MOUNT CARMEL,17851,5807064,,,301 S OAK ST MOUNT CARMEL PA 17851,
KINGDOM LIFE BETTER WAY BIBLE CHURCH INC.,NONPROFIT,PA,,,,PA,1655 HARRISON ST. APT 2 B,PHILADELPHIA,19124,5807534,,,1655 HARRISON ST. APT 2 B PHILADELPHIA PA 19124 PHILADELPHIA,
KEZZY PROPERTIES LLC,LLC,PA,,,,,,,,5807956,,,"%UNITED STATES CORPORATION AGENTS, INC. LEHIGH",
"CHURN, LLC",LLC,PA,,,,PA,201 LEDGE ROCK LN,MARS,16046,5808303,,,201 LEDGE ROCK LN MARS PA 16046 BUTLER,
"THE RELEVANT MAN, LLC",LLC,PA,,,,PA,130 HIGHLAND STREET,PITTSBURGH,15229,5808666,,,130 HIGHLAND STREET PITTSBURGH PA 15229 ALLEGHENY,
"JEM & KRISTAL BOUTIQUE, LLC",LLC,PA,,,,PA,809 JEFFERSON STREET,WHITEHALL,18052,5808895,,,809 JEFFERSON STREET WHITEHALL PA 18052 LEHIGH,
"SILVESTRI BUILDING GROUP, LLC",LLC,PA,,,,PA,2112 ALLENTOWN ROAD SUITE 116,MILFORD SQUARE,18935,5808980,,,2112 ALLENTOWN ROAD SUITE 116 MILFORD SQUARE PA 18935 BUCKS,
"LINEN AND SUPPLIES, LLC",LLC,PA,,,,PA,15 BOLINGBROKE ROAD,WEST CHESTER,19382,5809144,,,15 BOLINGBROKE ROAD WEST CHESTER PA 19382 DELAWARE,
"DELTA T MECHANICAL SERVICES, LLC",LLC,PA,,,,PA,320 PEARL AVE,HORSHAM,19044,5809379,,,320 PEARL AVE HORSHAM PA 19044 MONTGOMERY,
"MEDANTOX, LLC",LLC,PA,,,,,,,,5809669,,,"%UNITED STATES CORPORATION AGENTS, INC. LEHIGH",
"MTM CRANE & LOGISTICS, LLC",LLC,PA,,,,PA,20 N PENNSYLVANIA SUITE 201,GREENSBURG,15601,5809970,,,20 N PENNSYLVANIA SUITE 201 GREENSBURG PA 15601 WESTMORELAND,
NEW HAPPY WOK CHINESE RESTAURANT,CORPORATION,PA,182 SAXER AVE,SPRINGFIELD,19064,PA,182 SAXER AVENUE,SPRINGFIELD,19064,5810234,XIAO QING GUO,OWNER,182 SAXER AVENUE SPRINGFIELD PA 19064 DELAWARE,182 SAXER AVE SPRINGFIELD PA 19064
"CUTLER STRATEGIC COMMUNICATIONS, LLC",LLC,PA,,,,,,,,5810276,,,"%UNITED STATES CORPORATION AGENTS, INC. LEHIGH",
"THE CONGREGATION OF BETH ISRAEL OF MAHANOY CITY, PA.",NONPROFIT,NAN,,,,,,,,5810429,,,NAN,
"BACKSEAT BOOKING, LLC",LLC,PA,,,,,,,,5810599,,,"%UNITED STATES CORPORATION AGENTS, INC. LEHIGH",
"BAYVIEW OC, LLC",LLC,PA,,,,PA,119 CHINABERRY LANE,COLLEGEVILLE,19426,5810899,,,119 CHINABERRY LANE COLLEGEVILLE PA 19426 MONTGOMERY,
MOXHAM LUTHERAN CHURCH,NONPROFIT,NAN,,,,PA,500 PARK AVENUE,JOHNSTOWN,15902,5811364,,,500 PARK AVENUE JOHNSTOWN PA 15902 CAMBRIA,
GLAMOUR,CORPORATION,PA,1722 CENTER AVE.,READING,19606,PA,5498 PERKIOMEN AVE.,READING,19606,5811572,TUAN TRINH,OWNER,5498 PERKIOMEN AVE. READING PA 19606 BERKS,1722 CENTER AVE. READING PA 19601
"PREFERRED NAME ADVANTAGE RECOVERY HEALTH SERVICES, LLC",LLC,PA,,,,,,,,5812159,,,"%INCORP SERVICES, INC. DAUPHIN",
ELDOR MANAGEMENT LLC,LLC,PA,,,,PA,1218 GREEN STREET,PHILADELPHIA,19123,5812793,,,1218 GREEN STREET PHILADELPHIA PA 19123 PHILADELPHIA,
M.F. PRODUCE DISTRIBUTION LLC,LLC,PA,,,,PA,1731 SOUTH 4TH STREET,PHILADELPHIA,19148,5813879,,,1731 SOUTH 4TH STREET PHILADELPHIA PA 19148 PHILADELPHIA,
