name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
DEBORAH ROCK MINISTRIES,NONPROFIT,PA,,,,PA,2638 SOUTH ROBINSON STREET,PHILADELPHIA,19142,6535751,,,2638 SOUTH ROBINSON STREET PHILADELPHIA PA 19142 PHILADELPHIA,
LYNN CARE LLC,LLC,KS,,,,PA,1959 DELANCEY ST,HELLERTOWN,18055,6535752,,,1959 DELANCEY ST HELLERTOWN PA 18055 NORTHAMPTON,
TRADITIONS OF AMERICA AT SUMMER SEAT HOMEOWNERS ASSOCIATION,CORPORATION,PA,,,,PA,105 GATEWAY DRIVE,PITTSBURGH,15237,6535756,,,105 GATEWAY DRIVE PITTSBURGH PA 15237 OUT OF STATE,
LOTUS CLEANING PROFESSIONALS,CORPORATION,PA,1130 E. MARKET STREET APT B,YORK,17403,PA,935 E MARKET STREET,YORK,17403,6535758,STEVEN PALMER,OWNER,935 E MARKET STREET YORK PA 17403 YORK,1130 E. MARKET STREET APT B YORK PA 17403
EAST COAST DRYWALL TOOLS,CORPORATION,PA,1122 SIDDONSBURG RD,MECHANICSBURG,17055,PA,1122 SIDDONSBURG ROAD,MECHANICSBURG,17055,6535759,TROUT DRYWALL SERVICE INC,OWNER,1122 SIDDONSBURG ROAD MECHANICSBURG PA 17055 YORK,1122 SIDDONSBURG RD MECHANICSBURG PA 17055
GOOD PINE INC,CORPORATION,PA,,,,PA,2300 EAST LINCOLN HIGHWAY F022,LANGHORNE,19047,6535762,,,2300 EAST LINCOLN HIGHWAY F022 LANGHORNE PA 19047 BUCKS,
PERFEX LLC,LLC,PA,,,,PA,1418 PEMBERTON STREET,PHILADELPHIA,19146,6535763,,,1418 PEMBERTON STREET PHILADELPHIA PA 19146 PHILADELPHIA,
ORORA FRESH,CORPORATION,PA,6600 VALLEY VIEW ST,BUENA PARK,90620,CA,6600 VALLEY VIEW ST,BUENA PARK,90620,6535764,LANDSBERG ORORA,OWNER,6600 VALLEY VIEW ST BUENA PARK CA 90620 OUT OF STATE,6600 VALLEY VIEW ST BUENA PARK CA 90620
CLEAN RUN AUTOMOTIVE LLC,LLC,PA,,,,PA,163 BLUE VALLEY DR,BANGOR,18013,6535765,,,163 BLUE VALLEY DR BANGOR PA 18013 NORTHAMPTON,
LECKY MANAGEMENT CONSULTING LIMITED LIABILITY COMPANY,LLC,PA,,,,PA,221 WARSAW AVE,EAST NORRITON,19401,6535767,,,221 WARSAW AVE EAST NORRITON PA 19401 MONTGOMERY,
STYLED BY RAE,CORPORATION,PA,258 S BAYBERRY LANE,UPPER DARBY,19082,PA,258 S BAYBERRY LN,UPPER DARBY,19082,6535768,ASHLEIGH RAE JOHN,OWNER,258 S BAYBERRY LN UPPER DARBY PA 19082 DELAWARE,258 S BAYBERRY LANE UPPER DARBY PA 19082
CREATIVE ACCORD AND DESIGN,CORPORATION,NAN,,,,PA,,,,6535782,,,PA,
