name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
"W.W. DEVELOPMENT & MANAGEMENT, INC.",CORPORATION,NAN,7900 OLD YORK ROAD SUITE 118A,ELKINS PARK,,PA 19117-0 PHILADELPHIA,259 HARRISON AVE,ELKINS PARK,,986528,ABRAHAM WOIDISLAWSKY,TREASURER,259 HARRISON AVE ELKINS PARK PA 19117-0 PHILADELPHIA,7900 OLD YORK ROAD SUITE 118A ELKINS PARK PA 19027
MIDNIGHT SESSIONS LTD.,CORPORATION,NAN,C/O DONALD R WELCH 201 PULLEN STATION RD,QUAKERTOWN,,PA 19111-0 PHILADELPHIA,7116 RISINGSON AVE,PHILA,,986529,LEROY CONNERS,TREASURER,7116 RISINGSON AVE PHILA PA 19111-0 PHILADELPHIA,C/O DONALD R WELCH 201 PULLEN STATION RD QUAKERTOWN PA 18951-09
EVENING IN PARADISE LTD.,CORPORATION,NAN,32 S MAIN ST APT 405 C/O PAOLA M DINATALE,QUAKERTOWN,,PA 19111-0 PHILADELPHIA,7116 RISINGSON AVE,PHILA,,986530,LEROY CONNERS,TREASURER,7116 RISINGSON AVE PHILA PA 19111-0 PHILADELPHIA,32 S MAIN ST APT 405 C/O PAOLA M DINATALE QUAKERTOWN PA 18951-09
SYMER INDUSTRIES INC.,CORPORATION,PA,C/O VALLEY BOAT CO 1018-22 N. IRVING ST,ALLENTOWN,,PA 18015-0 NORTHAMPTON,1207 WYANDOTTE ST,BETHLEHEM,,986531,TED SYMER,TREASURER,1207 WYANDOTTE ST BETHLEHEM PA 18015-0 NORTHAMPTON,C/O VALLEY BOAT CO 1018-22 N. IRVING ST ALLENTOWN PA 18103-39
"BEHRINGER AND GROSS ASSOCIATES, INC.",CORPORATION,NAN,1120 BRYANT ST,ALLENTOWN,18104-0,PA,1120 BRYANT ST,ALLENTOWN,18104-0,986532,LEWIS K BEHRINGER,TREASURER,1120 BRYANT ST ALLENTOWN PA 18104-0 LEHIGH,1120 BRYANT ST ALLENTOWN PA 18104-39
"OLD RANGER'S INN, INC.",CORPORATION,NAN,,,,,,,,986533,WILLIAM OBERT,PRESIDENT,STAR RTE 2 BOX 24 HAWLEY PA 18428-0,R D 1 BOX 162 GREENTOWN PA 18426-52
"MILLER'S EDGEWOOD MOBILE HOME PARK, INC.",CORPORATION,NAN,6149 SNYDERS CHURCH RD,BATH,,PA 18014-0 NORTHAMPTON,6149 SNYDERS CHURCH RD,BATH,,986534,THOMAS D MILLER,VICEPRESIDENT,6149 SNYDERS CHURCH RD BATH PA 18014-0 NORTHAMPTON,6149 SNYDERS CHURCH RD BATH PA 18014-9098
"ONAWA HILLS DEVELOPMENT, INC.",CORPORATION,NAN,643 POTTSHILL RD,LEWISBURG,18342-0,PA,RTE 191 AT MONOMONOCK RD,MOUNTAINHOME,18342-0,986535,LEO P BOND,PRESIDENT,RTE 191 AT MONOMONOCK RD MOUNTAINHOME PA 18342-0 MONROE,643 POTTSHILL RD LEWISBURG PA 17837-60
NORTHERN APPALACHIAN LOG & FORESTRY CO.,CORPORATION,PA,,,,PA,PO BOX 251,COUDERSPORT,16915-0,986536,,,PO BOX 251 COUDERSPORT PA 16915-0 POTTER,
"LAM KEE FOOD, INC.",CORPORATION,NAN,C/O PHUOC SON LAM 12803 MCCARTHY CIR,PHILADELPHIA,,PA 19122-0 PHILADELPHIA,1413-27 GERMANTOWN AVE,PHILA,,986537,SON PHUOC LAM,TREASURER,1413-27 GERMANTOWN AVE PHILA PA 19122-0 PHILADELPHIA,C/O PHUOC SON LAM 12803 MCCARTHY CIR PHILADELPHIA PA 19154-51
"HILL CREST INN, INC.",CORPORATION,NAN,693 695 HEMLOCK ST,FREELAND,,PA 18224-0 LUZERNE,693-695 HEMLOCK ST,FREELAND,,986538,WILLIAM M KINIUK,TREASURER,693-695 HEMLOCK ST FREELAND PA 18224-0 LUZERNE,693 695 HEMLOCK ST FREELAND PA 18224-40
WOLF HILL TIMBER COMPANY,CORPORATION,NAN,,,,PA,49 CLAPSADDLE RD,GETTYSBURG,,986539,DAVID SHAW ETAL,OWNER,49 CLAPSADDLE RD GETTYSBURG PA 17325-0 ADAMS,
SPECIAL FEATURES,CORPORATION,NAN,,,,PA,3428 W LAKE RD,ERIE,,986540,SALLY A WILCOX ETAL,OWNER,3428 W LAKE RD ERIE PA 16505-0 ERIE,
PATTON'S COUNTRY STORE,CORPORATION,NAN,,,,PA 18810-0 BRADFORD,"FRONT ST, RD 2",ATHENS,,986541,MICHAEL B PATTON,OWNER,"FRONT ST, RD 2 ATHENS PA 18810-0 BRADFORD",
GARDEN SQUARE LANDSCAPING,CORPORATION,NAN,,,,PA 19348-0 CHESTER,102 SCHOOLHOUSE LANE,KENNETT SQUARE,,986542,ROSS T CAUSEY II,OWNER,102 SCHOOLHOUSE LANE KENNETT SQUARE PA 19348-0 CHESTER,
LONGVIEW PERSONAL CARE HOME,CORPORATION,NAN,,,,,,,,986543,MARY HILLAND ET,OWNER,"RD 2, BOX 223-A MT PLEASANT PA 15666-0 FAYETTE",
AMPERSAND DESIGN,CORPORATION,NAN,,,,PA 17602-0 LANCASTER,717 E ROSS ST,LANCASTER,,986544,LINDA GIVIN FISHER,OWNER,717 E ROSS ST LANCASTER PA 17602-0 LANCASTER,
KANE CONSTRUCTION CO. II,CORPORATION,NAN,,,,PA,41 STONEY FORD RD,HOLLAND,,986545,THOMAS J KANE II,OWNER,41 STONEY FORD RD HOLLAND PA 18966-0 BUCKS,
PRECISION TANK SERVICES,CORPORATION,NAN,,,,PA,248 WOODBOURNE RD,LANGHORNE,,986546,MILE BARTA & SONS INC,OWNER,248 WOODBOURNE RD LANGHORNE PA 19047-0 BUCKS,
WOODY'S CLEANING SERVICE,CORPORATION,NAN,,,,PA 18017-0 NORTHAMPTON,2544 5TH ST,BETHLEHEM,,986547,ELWOOD BENNICOFF,OWNER,2544 5TH ST BETHLEHEM PA 18017-0 NORTHAMPTON,
ADVANCE PUBLICATIONS,CORPORATION,NAN,,,,PA,1ST ST PITT GAS PO BOX 75,CLARKSVILLE,,986548,ROBERTA J QUALLICH,OWNER,1ST ST PITT GAS PO BOX 75 CLARKSVILLE PA 0 -0 GREENE,
"""D"" CLEANING AGENCY",CORPORATION,NAN,,,,PA,927 CENTER ST,JIM THORPE,18229-0,986549,BERNADETTA J DONATI,OWNER,927 CENTER ST JIM THORPE PA 18229-0 CARBON,
"INITIAL GIFTS,",CORPORATION,NAN,,,,PA 17055-0 CUMBERLAND,25 W MAIN ST,MECHANICSBURG,,986550,JACK H WINCHELL ETAL,OWNER,25 W MAIN ST MECHANICSBURG PA 17055-0 CUMBERLAND,
JACK CROSSIN REAL ESTATE AND INSURANCE AGENCY,CORPORATION,NAN,,,,PA 18704-0 LUZERNE,208 UNION ST,PRINGLE,,986551,JAY A CROSSIN,OWNER,208 UNION ST PRINGLE PA 18704-0 LUZERNE,
41 ENTERPRISES CO.,CORPORATION,NAN,,,,PA 19008-0 DELAWARE,3005 DOGWOOD LANE,BROOMALL,,986552,HENRY A COCCO ETAL,OWNER,3005 DOGWOOD LANE BROOMALL PA 19008-0 DELAWARE,
BIO-WEIGHT MANAGEMENT ASSOCIATES,CORPORATION,NAN,,,,PA,200 VOLKSWOOD DR,BUTLER,16001-0,986553,MASON B SCOTT ETAL,OWNER,200 VOLKSWOOD DR BUTLER PA 16001-0 BUTLER,
BLUE MOUNTAIN SAW & TOOL SERVICE,CORPORATION,NAN,,,,PA 17240-0 CUMBERLAND,"RD 1, BOX 118",NEWBURG,,986554,ARTHUR J STAUB,OWNER,"RD 1, BOX 118 NEWBURG PA 17240-0 CUMBERLAND",
CRESCO MORTGAGE SERVICE - LEHIGH VALLEY,CORPORATION,NAN,,,,PA,3015 COLLEGE HEIGHTS BLVD,ALLENTOWN,18104-0,986555,WAYNE B SCHAFFNER ETAL,OWNER,3015 COLLEGE HEIGHTS BLVD ALLENTOWN PA 18104-0 LEHIGH,
WILLIS IDE & SON,CORPORATION,NAN,,,,PA 18621-0 LUZERNE,"RD 2, BOX 270",HUNLOCK CREEK,,986556,DOUGLAS W IDE,OWNER,"RD 2, BOX 270 HUNLOCK CREEK PA 18621-0 LUZERNE",
BMC MECHANICAL CONTRACTING COMPANY,CORPORATION,NAN,,,,PA,"RD 2, CANNELTON RD",DARLINGTON,16115-0,986557,BRIAN MCCARL,OWNER,"RD 2, CANNELTON RD DARLINGTON PA 16115-0 BEAVER",
GEIST SNACK FOODS,CORPORATION,NAN,,,,PA,2528 GLENN TERRACE MT,PENN,,986558,HERBERT K GEIST,OWNER,2528 GLENN TERRACE MT PENN PA 19606-0 BERKS,
GEIST ENTERPRISES,CORPORATION,NAN,,,,PA,2528 GLENN TERRACE MT,PENN,,986559,HERBERT K GEIST,OWNER,2528 GLENN TERRACE MT PENN PA 19606-0 BERKS,
"HOTEL HEREDA, INC.",CORPORATION,NAN,120 BROADWAY AVE,LOWER BURRELL,,,,,,986560,RUTH HEREDA,PRESIDENT,BROADWAY AVE LOWER BURRELL PA 15068-0 WESTMORELAND,120 BROADWAY AVE LOWER BURRELL PA 15068-65
"SARINA & ANTHONY, INC.",CORPORATION,PA,530 PENN ST,HUNTINGDON,16652,PA,7348 CROOKED CREEK ROAD,HUNTINGDON,16652,986561,SAL SCAVONE,TREASURER,7348 CROOKED CREEK ROAD HUNTINGDON PA 16652 HUNTINGDON,530 PENN ST HUNTINGDON PA 16652-31
"APPLIED PHYSICS, INC.",CORPORATION,NAN,C/O MICHAEL C HUTNICK 450 RIVERVIEW AVE,BLOOMSBURG,,PA 17815-0 COLUMBIA,470 RIVERVIEW AVE,BLOOMSBURG,,986562,MICHAEL HUTNICK,PRESIDENT,470 RIVERVIEW AVE BLOOMSBURG PA 17815-0 COLUMBIA,C/O MICHAEL C HUTNICK 450 RIVERVIEW AVE BLOOMSBURG PA 17815-19
"S & B PROMOTIONS, INC.",CORPORATION,NAN,C/O BARBARA L SNYDER 23 EVERGREEN ST,NAZARETH,,PA 18064-0 NORTHAMPTON,23 EVERGREEN ST,NAZARETH,,986563,SANDRA M BRAY,TREASURER,23 EVERGREEN ST NAZARETH PA 18064-0 NORTHAMPTON,C/O BARBARA L SNYDER 23 EVERGREEN ST NAZARETH PA 18064-48
"ROOF GARDEN SERVICE GROUP, INC.",CORPORATION,NAN,409 MAIN ST,BOSWELL,,PA 16652-0 HUNTINGDON,504 PENN STREET PO BOX 361,HUNTINGDON,,986564,WILLIAM R PRICE II,SECRETARY,504 PENN STREET PO BOX 361 HUNTINGDON PA 16652-0 HUNTINGDON,409 MAIN ST BOSWELL PA 15531-56
"PARTY PALACE, INC.",CORPORATION,NAN,850 VALLEY FORGE RD,LANSDALE,,PA 19401-0 MONTGOMERY,522 SWEDE ST,NORRISTOWN,,986565,WILLIAM P CONNELLY,PRESIDENT,522 SWEDE ST NORRISTOWN PA 19401-0 MONTGOMERY,850 VALLEY FORGE RD LANSDALE PA 19446-46
IMPACT RECORDS INCORPORATED,CORPORATION,NAN,353 2ND ST,PITCAIRN,,PA 15146-0 ALLEGHENY,1180 COLGATE DR,MONROEVILLE,,986566,MARK ALLISON MENOLD,PRESIDENT,1180 COLGATE DR MONROEVILLE PA 15146-0 ALLEGHENY,353 2ND ST PITCAIRN PA 15140-02
"GENERAL DISTRIBUTION SERVICES, INC.",CORPORATION,NAN,318 PENN ST,NEW BETHLEHEM,,PA 15285-0 JEFFERSON,PA ROUTE 36,BROOKVILLE,,986567,LARRY D MCCAULEY,PRESIDENT,PA ROUTE 36 BROOKVILLE PA 15285-0 JEFFERSON,318 PENN ST NEW BETHLEHEM PA 16242-16
BOONE MOUNTAIN UNITED CHURCH OF CHRIST,NONPROFIT,NAN,,,,,,,,986568,,,RR 2 BOX 105A DUBOIS PA 15801-0 CLEARFIELD,
DE-HART-ROSSMAN-WENNER UNIT 997 AMERICAN LEGION AUXILIARY,NONPROFIT,PA,,,,PA 16375-0 CLARION,15 COMMUNITY RD,LAMARTINE,,986569,,,15 COMMUNITY RD LAMARTINE PA 16375-0 CLARION,
"BALLINAHINCH COMMUNITY ASSOCIATION, INC.",NONPROFIT,NAN,BALTIMORE PKE PO BOX 91,CHADDS FORD,,PA 19317-0 DELAWARE,BALTIMORE PIKE PO BOX 91,CHADDS FORD,,986571,JOSEPH A GRACE JR,PRESIDENT,BALTIMORE PIKE PO BOX 91 CHADDS FORD PA 19317-0 DELAWARE,BALTIMORE PKE PO BOX 91 CHADDS FORD PA 19317-23
FREEDOM WOODS HOMEOWNERS ASSOCIATION,NONPROFIT,NAN,,,,PA 15101-0 ALLEGHENY,4163 MARGAUX COURT,ALLISON PARK,,986572,,,4163 MARGAUX COURT ALLISON PARK PA 15101-0 ALLEGHENY,
