name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
GY PROPERTIES,CORPORATION,PA,901 N. PENN ST UNIT FC-1,PHILADELPHIA,19123,PA,"901 N PENN STREET, UNIT FC-1",PHILADELPHIA,19123,4316060,"GELFAND YARDENI RE DEV. & MNGT., LP",OWNER,"901 N PENN STREET, UNIT FC-1 PHILADELPHIA PA 19123 PHILADELPHIA",901 N. PENN ST UNIT FC-1 PHILADELPHIA PA 19123
"312 E. RIDLEY AVENUE, LLC",LLC,PA,,,,PA,116 TALL TRESS DR,BALA CYNWYD,19004,4316061,,,116 TALL TRESS DR BALA CYNWYD PA 19004 MONTGOMERY,
HUNAN CITY HES RESTAURANT INC,CORPORATION,PA,,,,PA,1539 WEST STREET ROAD,WARMINSTER,18974,4316062,,,1539 WEST STREET ROAD WARMINSTER PA 18974 BUCKS,
SBS EXPRESS INC.,CORPORATION,PA,,,,PA,301 HEIGHTS LN APT 2D,FEASTERVILLE,19053,4316063,,,301 HEIGHTS LN APT 2D FEASTERVILLE PA 19053 BUCKS,
"KRUPP-WHITNEY PLUMBING, INC.",CORPORATION,PA,,,,PA,24 INGRAM STREET,CRAFTON,15205,4316065,,,24 INGRAM STREET CRAFTON PA 15205 ALLEGHENY,
LUCKY STAR MANSFIELD INC.,CORPORATION,PA,,,,PA,9 N MAIN STREET,MANSFIELD,16933,4316066,,,9 N MAIN STREET MANSFIELD PA 16933 TIOGA,
ESTRATEGY ENTERPRISES INC,CORPORATION,PA,,,,PA,112 SOLWAY CIRCLE,CHALFONT,18914,4316067,,,112 SOLWAY CIRCLE CHALFONT PA 18914 BUCKS,
CAPITAL HOMES LLC,LLC,MI,,,,PA,800 N 2ND ST NO 178,PHILADELPHIA,19123,4316068,,,800 N 2ND ST NO 178 PHILADELPHIA PA 19123 PHILADELPHIA,
DKJOO INC,CORPORATION,PA,,,,PA,823 VETERANS HWY,BRISTOL,19007,4316069,,,823 VETERANS HWY BRISTOL PA 19007 BUCKS,
"CHARLES RUETER INSURANCE AGENCY, INC.",CORPORATION,PA,,,,PA,9811 ACADEMY ROAD,PHILADELPHIA,19114,4316070,,,9811 ACADEMY ROAD PHILADELPHIA PA 19114 PHILADELPHIA,
FIRST NAILS INC.,CORPORATION,PA,,,,PA,128 POINT PLAZA,BUTLER,16001,4316071,,,128 POINT PLAZA BUTLER PA 16001 BUTLER,
"JUMP 'N BOUNCE, INC.",CORPORATION,PA,,,,PA,4079 WILLIAM PENN HIGHWAY,MONROEVILLE,15146,4316072,,,4079 WILLIAM PENN HIGHWAY MONROEVILLE PA 15146 ALLEGHENY,
INDEPENDENCE ELECTRIC INC.,CORPORATION,PA,,,,PA,"4747 SOUTH BROAD STREET, BUILDING 101, SUITE 232",PHILADELPHIA,19112,4316073,,,"4747 SOUTH BROAD STREET, BUILDING 101, SUITE 232 PHILADELPHIA PA 19112 PHILADELPHIA",
URBAN SOLUTION PEST CONTROL,CORPORATION,PA,6816 WYNCOTE AVE,PHILADELPHIA,19138,PA,6816 WYNCOTE AVE,PHILADELPHIA,19138,4316074,ANDREW ROCK,OWNER,6816 WYNCOTE AVE PHILADELPHIA PA 19138 PHILADELPHIA,6816 WYNCOTE AVE PHILADELPHIA PA 19138
"BIG GUY BARS, INC.",CORPORATION,PA,,,,PA,101 SHINNECOCK HL,AVONDALE,19311,4316075,,,101 SHINNECOCK HL AVONDALE PA 19311 CHESTER,
"BRAND NUTRITION, INC.",CORPORATION,PA,94 MILBOB DR,IVYLAND,19020,PA,350 CAMER DRIVE,BENSALEM,19020,4316076,EVERETT L FARR III,PRESIDENT,350 CAMER DRIVE BENSALEM PA 19020 BUCKS,94 MILBOB DR IVYLAND PA 18974-1646
