name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
PLEASANT VALLEY GRAPHICS,CORPORATION,PA,,,,PA,1986 OLD RT 22,DUNCANSVILLE,,2959584,KEVIN A HARVATH,OWNER,1986 OLD RT 22 DUNCANSVILLE PA 16635-0 BLAIR,
SHADDAI GENERAL CONTRACTOR,CORPORATION,PA,,,,PA,2 W 10TH ST (PO BOX 1071,LINWOOD,19061),2959585,LYDIA VARGAS,OWNER,2 W 10TH ST (PO BOX 1071 LINWOOD PA 19061) MARCUS HOOK PA 19061-0 DELAWARE,
KIZENGA'S FINE THINGS,CORPORATION,PA,,,,PA 19138-0 PHILADELPHIA,7317 N 21ST ST,PHILADELPHIA,,2959586,HERMINA KIZENGA,OWNER,7317 N 21ST ST PHILADELPHIA PA 19138-0 PHILADELPHIA,
MRS. ROBERTS' CANDLES & INGREDIENTS,CORPORATION,PA,,,,PA 19006-0 MONTGOMERY,3441 BUCK RD,HUNTINGDON VALLEY,,2959587,MARGARET ROBERTS,OWNER,3441 BUCK RD HUNTINGDON VALLEY PA 19006-0 MONTGOMERY,
PERSONAL AFFAIRS CO-ORDINATOR FOR SENIORS,CORPORATION,PA,,,,PA 19312-0 CHESTER,199 DAYLESFORD BLVD,BERWYN,,2959588,JILLIAN BURRUS,OWNER,199 DAYLESFORD BLVD BERWYN PA 19312-0 CHESTER,
EXECUTIVE WATERSCAPES,CORPORATION,PA,,,,PA,1664 FRANKLIN DR,FURLONG,,2959589,JONATHAN BOYER,OWNER,1664 FRANKLIN DR FURLONG PA 18925-0 BUCKS,
CAROTA WEALTH MANAGEMENT GROUP,CORPORATION,PA,,,,PA 19317-0 CHESTER,6 PONDS EDGE DR,CHADDSFORD,,2959590,RAYMOND CASOTA,OWNER,6 PONDS EDGE DR CHADDSFORD PA 19317-0 CHESTER,
3 BIG SKY,CORPORATION,PA,,,,PA 19468-0 MONTGOMERY,404 SECOND AVE,ROYERSFORD,,2959591,THOMAS C TRAMONTANA,OWNER,404 SECOND AVE ROYERSFORD PA 19468-0 MONTGOMERY,
SOUTH PARK ROLLER HOCKEY LEAGUE,CORPORATION,PA,,,,PA 15236-0 ALLEGHENY,399 BROADWAY DR,PITTSBURGH,,2959592,SANDRA PIKULA,OWNER,399 BROADWAY DR PITTSBURGH PA 15236-0 ALLEGHENY,
ENVIRO-CLEAN SEPTIC SERVICE,CORPORATION,PA,,,,PA 17309-0 YORK,12557 COLLINSVILLE RD,BROGUE,,2959593,GLENN KAUFFMAN,OWNER,12557 COLLINSVILLE RD BROGUE PA 17309-0 YORK,
HAPPY FACES,CORPORATION,PA,,,,,,,,2959594,MONICA VELAZQUEZ,OWNER,JAY PARK PLAZA #3 MARSHALLS CREEK PA 18335-0 MONROE,
PROFESSIONAL SALES ASSOCIATES,CORPORATION,PA,,,,PA 17339-0 YORK,106 SARAH COURT,LEWISBERRY,,2959595,JOHN L HENSON,OWNER,106 SARAH COURT LEWISBERRY PA 17339-0 YORK,
MAIN STREET WINE RACKS,CORPORATION,PA,,,,PA 17098-0 DAUPHIN,105 E MARKET ST,WILLIAMSTOWN,,2959596,HAROLD J BUDD,OWNER,105 E MARKET ST WILLIAMSTOWN PA 17098-0 DAUPHIN,
"WE SHOP, WE DELIVER",CORPORATION,PA,,,,PA 18014-0 NORTHAMPTON,701 POINT PHILLIPS RD,BATH,,2959597,TIMOTHY M TOMEK,OWNER,701 POINT PHILLIPS RD BATH PA 18014-0 NORTHAMPTON,
SQUEEKY KLEEN MAINTENANCE,CORPORATION,PA,,,,PA,339 ASHWOOD RD,DARLINGTON,16115-0,2959600,ELIZABETH A BOOZE,OWNER,339 ASHWOOD RD DARLINGTON PA 16115-0 BEAVER,
G & Z GENERAL CONTRACTOR,CORPORATION,PA,,,,PA 19013-0 DELAWARE,522 W 9TH ST,CHESTER,,2959602,CURTIS MACK,OWNER,522 W 9TH ST CHESTER PA 19013-0 DELAWARE,
