name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
JEFFERSON CEMETERY ASSOCIATION,NONPROFIT,PA,,,,,,,,5553039,,,NAN,
"CONCORDIA MAENNERCHOR OF THE CITY OF EASTON, PENNSYLVANIA",NONPROFIT,PA,,,,,,,,5557500,,,NAN,
"REINSURANCE MARKETPLACE, INC.",CORPORATION,DE,,,,,,,,5559782,,,%CORPORATION SERVICE COMPANY DAUPHIN,
EMORY UNITED METHODIST CHURCH OF NEW OXFORD,NONPROFIT,PA,35 CENTER SQUARE,NEW OXFORD,17350,PA,35 CENTER SQUARE,NEW OXFORD,17350,5568753,RUTH ANN ROLLINS,OTHER,35 CENTER SQUARE NEW OXFORD PA 17350,35 CENTER SQUARE NEW OXFORD PA 17301
S. BELL AGENCY INC,CORPORATION,PA,,,,PA,"105 UPLAND DRIVE,",CHURCHVILLE,18966,5569800,,,"105 UPLAND DRIVE, CHURCHVILLE PA 18966 BUCKS",
HIDDEN CREEK TREE FARM,CORPORATION,PA,191 RITTENHOUSE MILL ROAD,BERWICK,18603,PA,191 RITTENHOUSE MILL ROAD,BERWICK,18603,5573459,FRANK BELLO,OWNER,191 RITTENHOUSE MILL ROAD BERWICK PA 18603 COLUMBIA,191 RITTENHOUSE MILL ROAD BERWICK PA 18603
JACK JAMISON D.C. INC.,CORPORATION,PA,,,,PA,1005 PENINSULA DRIVE,ERIE,16505,5575372,,,1005 PENINSULA DRIVE ERIE PA 16505 ERIE,
UNION CHURCH AND CEMETERY ASSOCIATION,NONPROFIT,PA,,,,,,,,5579113,,,NAN,
"VETERINARY INFORMATION NETWORK, INC.",CORPORATION,CA,,,,,,,,5580330,,,%CT CORPORATION SYSTEM DAUPHIN,
GERMANIA HOSE COMPANY,NONPROFIT,PA,,,,,,,,5585629,,,NAN,
"CHURCH OF THE GOOD SAMARITAN, PAOLI, PA.",NONPROFIT,NAN,,,,,,,,5592289,,,NAN,
KEYSTONE SOCIAL CLUB,NONPROFIT,NAN,,,,PA,58 S. 4TH STREET,HAMBURG,19526,5601801,,,58 S. 4TH STREET HAMBURG PA 19526 BERKS,
"E - REALTY SERVICES, INC.",CORPORATION,PA,,,,PA,154 SUMMIT AVENUE,POCONO SUMMIT,18346,5606075,,,154 SUMMIT AVENUE POCONO SUMMIT PA 18346 MONROE,
CONGREGATION SHAARE TORAH,NONPROFIT,NAN,,,,,,,,5611610,,,NAN,
ASSOCIATED CREDIT,CORPORATION,PA,,,,PA,85 S MAIN ST,WILKES BARRE,18701,nan,,,85 S MAIN ST WILKES BARRE PA 18701 LUZERNE,
