Facility,Chargecode,Description,Rev,CPT,1/1/22 Fee
BAYCARE,10000001,"ROOM CHARGE MED SURG, REHAB",128,,"2,240.00"
BAYCARE,10000002,ROOM CHARGE MED SURG,121,,"2,240.00"
BAYCARE,10000003,ROOM CHARGE WOMEN'S HEALTH,122,,"2,240.00"
BAYCARE,10000004,ROOM CHARGE PEDIATRICS,123,,"2,240.00"
BAYCARE,10000008,ROOM CHARGE ICU OR CCU,200,,"7,590.00"
BAYCARE,10000009,LACTATION CONSULT EXTENDED,230,,200.00
BAYCARE,10000010,LACTATION CONSULT LIMITED,230,,135.00
BAYCARE,10000013,"PHOTOTHERAPY, PER DAY",231,,335.00
BAYCARE,10000019,BREAST ASPIRATE CYST EA ADDL,360,19001,370.00
BAYCARE,10000033,ARTHROGRAM SHOULDER INJECT,320,23350,795.00
BAYCARE,10000034,ARTHROGRAM ELBOW INJECT,320,24220,795.00
BAYCARE,10000035,ARTHROGRAM WRIST INJECT,320,25246,795.00
BAYCARE,10000036,ARTHROGRAM HIP INJECT,320,27093,795.00
BAYCARE,10000037,ARTHROGRAM KNEE INJECT,320,27369,920.00
BAYCARE,10000038,ARTHROGRAM ANKLE INJECT,320,27648,795.00
BAYCARE,10000058,ENDO REPAIR TAA WO SUBCLAVIAN,360,33881,"6,840.00"
BAYCARE,10000080,SELECTIVE  CATH 1ST ORDER THORACIC,360,36215,"1,710.00"
BAYCARE,10000081,SELECTIVE CATH 2ND ORDER THORACIC,360,36216,"1,710.00"
BAYCARE,10000082,SELECTIVE  CATH 3RD ORDER THORACIC,360,36217,"1,710.00"
BAYCARE,10000084,SELECTIVE  CATH 2&3 THORARIC ADDL,360,36218,855.00
BAYCARE,10000085,SELECTIVE CATH 1ST ORDER ABD/PELVIC,360,36245,"1,500.00"
BAYCARE,10000086,SELECTIVE  CATH 2ND ABD/PELVIC/EXTREM,360,36246,"1,500.00"
BAYCARE,10000087,SELECTIVE  CATH 3RD ABD/PELVIC/EXTREM,360,36247,"1,500.00"
BAYCARE,10000088,SELECTIVE  CATH 2&3 ABD/PELVIC/EXTREM/ADDL,360,36248,750.00
BAYCARE,10000089,SCLEROTHERAPY SINGLE VEIN,360,36470,270.00
BAYCARE,10000090,SCLEROTHERAPY MULTIPLE VEINS,360,36471,405.00
BAYCARE,10000091,ABLATION VARICOSE VEIN LASER 1ST,360,36478,"7,020.00"
BAYCARE,10000092,CATH VENOUS BLOOD  SAMPLING,360,36500,"1,310.00"
BAYCARE,10000093,CATH UMBILICAL VEIN,360,36510,600.00
BAYCARE,10000094,INSERT CVL NON TUNNELED <5 YRS,360,36555,"1,880.00"
BAYCARE,10000095,INSERT CVL TUNNELED <5 YRS,360,36557,"6,110.00"
BAYCARE,10000096,INSERT CVL TUNNELED 5 YRS >/=,360,36558,"6,110.00"
BAYCARE,10000098,INSERT CVL TUNNELED W/PORT 5 YRS >/=,360,36561,"7,220.00"
BAYCARE,10000100,INSERT CVL DUAL TUNNELED WO PORT,360,36565,"5,170.00"
BAYCARE,10000102,PICC LINE INSERTION <5 YRS,360,36568,"1,590.00"
BAYCARE,10000103,PICC INSERTION,360,36569,"1,880.00"
BAYCARE,10000105,INSERT PICC W/PORT 5 YRS >/=,360,36571,"3,720.00"
BAYCARE,10000106,REPAIR CVL CATH,360,36575,"1,050.00"
BAYCARE,10000107,REPAIR CVL CATH W PORT/PUMP,360,36576,"1,940.00"
BAYCARE,10000108,REPLACE CVL CATH ONLY,360,36578,"4,420.00"
BAYCARE,10000109,REPLACE CVL NON TUNNELED COMPLETE,360,36580,"1,940.00"
BAYCARE,10000110,REPLACE CVL TUNNELED COMPLETE,360,36581,"3,880.00"
BAYCARE,10000111,REPLACE CVL TUNNELED W/PORT COMPLETE,360,36582,"5,020.00"
BAYCARE,10000113,REPLACE PICC COMPLETE,360,36584,"1,570.00"
BAYCARE,10000115,REMOVE CVL TUNNELED W/O PORT,360,36589,"1,150.00"
BAYCARE,10000116,REMOVE CVL TUNNELED W/PORT,360,36590,"1,880.00"
BAYCARE,10000117,BLOOD SPEC IMPLANTED DEVICE,300,36591,145.00
BAYCARE,10000118,REMOVE PERICATH OBSTRUCTIVE MATERIAL,360,36595,"3,760.00"
BAYCARE,10000120,INJECT W FLUORO EVAL CENTRAL LINE,360,36598,650.00
BAYCARE,10000121,THROMBECTOMY VEIN(S),360,37187,"9,650.00"
BAYCARE,10000122,THROMBECTOMY VEIN(S) REPEAT,360,37188,"9,650.00"
BAYCARE,10000128,STENT CAROTID W/PROTECTION,360,37215,"11,340.00"
BAYCARE,10000134,BONE MARROW BIOPSY,360,38221,"1,020.00"
