Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna_W,Aetna_PPO,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna_GPPO,Cigna_PPO,Exchange_-Common_Ground,Exchange_-Molina,Health_EOS_Plus,Health_EOS_PPO,HPS,Humana_WVN,Humana_HMO,Humana_HPN_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA_State_and_Trust,WEA_Broad,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"BAYCARE","CHARGE","10000001","ROOM CHARGE MED SURG, REHAB","","2,150.00","1,095.81","1,827.50","1,137.93","1,463.87","1,827.50","1,132.14","1,486.54","1,827.50","1,267.77","1,210.68","1,311.50","1,720.00","1,242.38","1,335.24","1,390.60","1,827.50","1,182.50","1,438.78","1,827.50","967.95","1,200.45","1,142.69","1,293.66","1,182.50","967.95","1,827.50"
"BAYCARE","CHARGE","10000002","ROOM CHARGE MED SURG","","2,150.00","1,156.68","1,827.50","1,210.46","1,502.55","1,827.50","1,152.69","1,470.53","1,827.50","1,280.75","1,257.48","1,311.50","1,720.00","1,219.30","1,407.24","1,456.18","1,827.50","1,182.50","1,474.26","1,827.50","1,049.14","1,298.02","1,238.60","1,385.06","1,182.50","1,049.14","1,827.50"
"BAYCARE","CHARGE","10000003","ROOM CHARGE WOMEN'S HEALTH","","2,150.00","1,268.59","1,827.50","1,317.62","1,695.45","1,827.50","1,279.88","1,755.94","1,827.50","1,542.20","1,336.09","1,311.50","1,720.00","1,438.27","1,351.18","1,411.05","1,827.50","1,182.50","1,656.64","1,827.50","1,154.68","1,456.88","1,359.87","1,549.69","1,182.50","1,154.68","1,827.50"
"BAYCARE","CHARGE","10000004","ROOM CHARGE PEDIATRICS","","2,150.00","1,693.69","1,827.50","1,734.10","1,939.52","1,827.50","1,723.73","2,006.00","1,827.50","1,793.58","1,778.70","1,311.50","1,720.00","1,788.69","1,861.74","1,893.96","1,827.50","1,182.50","1,893.88","1,827.50","1,552.71","1,705.54","1,727.14","1,832.90","1,182.50","1,182.50","2,006.00"
"BAYCARE","CHARGE","10000008","ROOM CHARGE ICU OR CCU","","7,280.00","3,663.70","6,188.00","3,757.09","4,707.51","6,188.00","3,641.14","4,626.87","6,188.00","4,204.28","3,971.09","4,440.80","5,824.00","3,991.81","4,523.82","4,700.18","6,188.00","4,004.00","4,505.53","6,188.00","3,581.00","4,375.77","3,534.74","3,872.51","4,004.00","3,534.74","6,188.00"
"BAYCARE","CHARGE","10000009","LACTATION CONSULT EXTENDED","","190.00","122.77","161.50","125.25","152.52","161.50","123.43","147.43","161.50","129.52","127.88","115.90","152.00","132.57","126.92","130.85","161.50","104.50","141.06","161.50","99.34","123.95","120.30","132.02","104.50","99.34","161.50"
"BAYCARE","CHARGE","10000010","LACTATION CONSULT LIMITED","","130.00","75.41","110.50","77.37","99.11","110.50","76.31","106.34","110.50","82.04","79.98","79.30","104.00","84.03","79.55","82.65","110.50","71.50","91.20","110.50","63.14","79.92","74.08","84.06","71.50","63.14","110.50"
"BAYCARE","CHARGE","10000013","PHOTOTHERAPY, PER DAY","","320.00","144.27","272.00","149.41","197.80","272.00","155.74","209.42","272.00","167.62","164.41","195.20","256.00","173.47","181.45","189.70","272.00","176.00","195.71","272.00","117.62","144.29","149.87","172.33","176.00","117.62","272.00"
"BAYCARE","CHARGE","10000019","BREAST ASPIRATE CYST EA ADDL","19001","335.00","163.42","284.75","160.85","209.79","284.75","167.73","221.79","284.75","164.48","170.26","204.35","268.00","190.87","199.12","207.68","284.75","184.25","195.91","284.75","168.45","210.19","181.40","206.03","184.25","160.85","284.75"
"BAYCARE","CHARGE","10000033","ARTHROGRAM SHOULDER INJECT","23350","760.00","173.69","646.00","182.81","258.06","646.00","114.46","456.00","646.00","162.86","208.29","463.60","608.00","310.33","256.75","269.92","646.00","418.00","192.48","646.00","231.02","300.40","238.33","278.22","418.00","114.46","646.00"
