Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,BCBS_KS_2022,HEALTH_PARTNERS,HUMANA_MEDICARE,UHC_MILITARY___VA,UHC_VA_CCN,WPPA
1019780_1,Rapid Strep POC (87880),Inpatient,0300,87880,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Streptococcus, group A",,0,75.00,75.00,66.00,75.00,N/A,66.00,N/A,N/A,N/A,72.75
1019780_1,Rapid Strep POC (87880),Outpatient,0300,87880,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Streptococcus, group A",,0,75.00,75.00,66.00,75.00,70.59,66.00,75.00,0.00,N/A,72.75
1019780_2,Rapid Strep POC (87880),Outpatient,0300,87880,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Streptococcus, group A",,0,300.00,300.00,70.59,300.00,70.59,264.00,300.00,0.00,N/A,291.00
1019780_2{2},Rapid Strep POC (87880),Outpatient,0300,87880,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Streptococcus, group A",,0,300.00,300.00,70.59,300.00,70.59,264.00,300.00,0.00,N/A,291.00
1027764_2,Office Visit Level 2 Est 99212,ProFee,0989,99212,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using time for code selection, 10-19 minutes of total time is spent on the date of the encounter.",,0,521.00,521.00,24.86,521.00,N/A,458.48,24.86,N/A,N/A,0.00
1027764_3,Office Visit Level 2 Est 99212,ProFee,0989,99212,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using time for code selection, 10-19 minutes of total time is spent on the date of the encounter.",,0,983.00,983.00,24.86,983.00,N/A,865.04,24.86,N/A,N/A,0.00
1042079_1,PT Massage Charge Units 97124,Inpatient,0421,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",,0,51.00,51.00,44.88,54.60,N/A,44.88,N/A,N/A,N/A,49.47
1042079_1,PT Massage Charge Units 97124,Outpatient,0421,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",,0,51.00,51.00,44.88,54.60,54.60,44.88,51.00,0.00,N/A,49.47
1065765_2,Initial Comp Preventive Med 12 to 17 years New 99384,ProFee,0989,99384,"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnostic procedures, new patient; adolescent (age 12 through 17 years)",,0,521.00,521.00,100.56,521.00,N/A,458.48,100.56,N/A,N/A,0.00
1065765_3,Initial Comp Preventive Med 12 to 17 years New 99384,ProFee,0989,99384,"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnostic procedures, new patient; adolescent (age 12 through 17 years)",,0,983.00,983.00,100.56,983.00,N/A,865.04,100.56,N/A,N/A,0.00
1148019_1,Rapid Drug Screen Urine w/ QC,Inpatient,0300,80305,"Drug test(s), presumptive, any number of drug classes, any number of devices or procedures; capable of being read by direct optical observation only (eg, utilizing immunoassay [eg, dipsticks, cups, cards, or cartridges]), includes sample validation when performed, per date of service",,0,61.00,61.00,36.23,61.00,N/A,53.68,N/A,N/A,N/A,59.17
1148019_1,Rapid Drug Screen Urine w/ QC,Outpatient,0300,80305,"Drug test(s), presumptive, any number of drug classes, any number of devices or procedures; capable of being read by direct optical observation only (eg, utilizing immunoassay [eg, dipsticks, cups, cards, or cartridges]), includes sample validation when performed, per date of service",,0,61.00,61.00,36.23,61.00,36.23,53.68,61.00,0.00,N/A,59.17
1148022_1,"Urinalysis with Microscopic, if indicated",Inpatient,0300,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,22.00,22.00,11.84,22.00,N/A,19.36,N/A,N/A,N/A,21.34
1148022_1,"Urinalysis with Microscopic, if indicated",Outpatient,0300,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,22.00,22.00,11.84,22.00,11.84,19.36,22.00,0.00,N/A,21.34
1148023_1,Urinalysis,Inpatient,0300,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,41.00,41.00,12.51,41.00,N/A,36.08,N/A,N/A,N/A,39.77
1148023_1,Urinalysis,Outpatient,0300,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,41.00,41.00,12.51,41.00,12.51,36.08,41.00,0.00,N/A,39.77
1228133_1,XR Chest Decubitus Left,Inpatient,0320,71045,"Radiologic examination, chest; single view",,0,175.00,175.00,154.00,175.00,N/A,154.00,N/A,N/A,N/A,169.75
1228133_1,XR Chest Decubitus Left,Outpatient,0320,71045,"Radiologic examination, chest; single view",,0,175.00,175.00,154.00,175.00,159.07,154.00,175.00,0.00,N/A,169.75
1276484_1,XR Chest 1 View,Inpatient,0320,71045,"Radiologic examination, chest; single view",,0,175.00,175.00,154.00,175.00,N/A,154.00,N/A,N/A,N/A,169.75
1276484_1,XR Chest 1 View,Outpatient,0320,71045,"Radiologic examination, chest; single view",,0,175.00,175.00,154.00,175.00,159.07,154.00,175.00,0.00,N/A,169.75
1374021_1,PT Ultrasound Units,Inpatient,0421,97035,"Application of a modality to 1 or more areas; ultrasound, each 15 minutes",,0,60.00,60.00,37.70,60.00,N/A,52.80,N/A,N/A,N/A,58.20
1374021_1,PT Ultrasound Units,Outpatient,0421,97035,"Application of a modality to 1 or more areas; ultrasound, each 15 minutes",,0,60.00,60.00,37.70,60.00,37.70,52.80,60.00,0.00,N/A,58.20
1383763_1,Hgb A1c,Inpatient,0300,83036,Hemoglobin; glycosylated (A1C),,0,60.00,60.00,46.25,60.00,N/A,52.80,N/A,N/A,N/A,58.20
1383763_1,Hgb A1c,Outpatient,0300,83036,Hemoglobin; glycosylated (A1C),,0,60.00,60.00,46.25,60.00,46.25,52.80,60.00,0.00,N/A,58.20
1383771_1,B-Type Natriuretic Peptide,Inpatient,0300,83880,Natriuretic peptide,,0,115.00,115.00,93.76,115.00,N/A,101.20,N/A,N/A,N/A,111.55
1383771_1,B-Type Natriuretic Peptide,Outpatient,0300,83880,Natriuretic peptide,,0,115.00,115.00,93.76,115.00,93.76,101.20,115.00,0.00,N/A,111.55
1503764_1,Acetaminophen Lvl,Inpatient,0300,80143,Acetaminophen,,0,96.00,96.00,84.48,96.00,N/A,84.48,N/A,N/A,N/A,93.12
1503764_1,Acetaminophen Lvl,Outpatient,0300,80143,Acetaminophen,,0,96.00,96.00,84.48,96.00,N/A,84.48,96.00,0.00,N/A,93.12
1503765_1,Ethanol Level,Inpatient,0300,82077,"Alcohol (ethanol); any specimen except urine and breath, immunoassay (eg, IA, EIA, ELISA, RIA, EMIT, FPIA) and enzymatic methods (eg, alcohol dehydrogenase)",,0,96.00,96.00,84.48,96.00,N/A,84.48,N/A,N/A,N/A,93.12
1503765_1,Ethanol Level,Outpatient,0300,82077,"Alcohol (ethanol); any specimen except urine and breath, immunoassay (eg, IA, EIA, ELISA, RIA, EMIT, FPIA) and enzymatic methods (eg, alcohol dehydrogenase)",,0,96.00,96.00,84.48,96.00,N/A,84.48,96.00,0.00,N/A,93.12
1503766_1,Lactic Acid,Inpatient,0300,83605,Lactate (lactic acid),,0,56.00,56.00,49.28,60.94,N/A,49.28,N/A,N/A,N/A,54.32
1503766_1,Lactic Acid,Outpatient,0300,83605,Lactate (lactic acid),,0,56.00,56.00,49.28,60.94,60.94,49.28,56.00,0.00,N/A,54.32
1503769_1,Pro-BNP,Inpatient,0300,83880,Natriuretic peptide,,0,115.00,115.00,93.76,115.00,N/A,101.20,N/A,N/A,N/A,111.55
1503769_1,Pro-BNP,Outpatient,0300,83880,Natriuretic peptide,,0,115.00,115.00,93.76,115.00,93.76,101.20,115.00,0.00,N/A,111.55
1620877_1,Albumin Level,Inpatient,0300,82040,"Albumin; serum, plasma or whole blood",,0,20.00,20.00,13.68,20.00,N/A,17.60,N/A,N/A,N/A,19.40
1620877_1,Albumin Level,Outpatient,0300,82040,"Albumin; serum, plasma or whole blood",,0,20.00,20.00,13.68,20.00,13.68,17.60,20.00,0.00,N/A,19.40
1620878_1,Alkaline Phosphatase,Inpatient,0300,84075,"Phosphatase, alkaline",,0,36.00,36.00,14.30,36.00,N/A,31.68,N/A,N/A,N/A,34.92
1620878_1,Alkaline Phosphatase,Outpatient,0300,84075,"Phosphatase, alkaline",,0,36.00,36.00,14.30,36.00,14.30,31.68,36.00,0.00,N/A,34.92
1628887_1,Calcium Level Total,Inpatient,0300,82310,Calcium; total,,0,18.00,18.00,14.24,18.00,N/A,15.84,N/A,N/A,N/A,17.46
1628887_1,Calcium Level Total,Outpatient,0300,82310,Calcium; total,,0,18.00,18.00,14.24,18.00,14.24,15.84,18.00,0.00,N/A,17.46
1628888_1,Carbon Dioxide Level,Inpatient,0300,82374,Carbon dioxide (bicarbonate),,0,18.00,18.00,13.52,18.00,N/A,15.84,N/A,N/A,N/A,17.46
1628888_1,Carbon Dioxide Level,Outpatient,0300,82374,Carbon dioxide (bicarbonate),,0,18.00,18.00,13.52,18.00,13.52,15.84,18.00,0.00,N/A,17.46
1628889_1,HDL,Inpatient,0300,83718,"Lipoprotein, direct measurement; high density cholesterol (HDL cholesterol)",,0,36.00,36.00,22.62,36.00,N/A,31.68,N/A,N/A,N/A,34.92
