ccn,name,state,city,homepage,cdm_indirect_url,cdm_url
050054,SAN GORGONIO MEMORIAL HOSPITAL,CA,BANNING,https://sgmh.org/,https://sgmh.org/,https://www.cdmpricing.com/8488f242c158e777c19a25c23da04087/standard-charges
140062,PALOS COMMUNITY HOSPITAL,IL,PALOS HEIGHTS,https://www.nm.org/,https://www.nm.org/patients-and-visitors/billing-and-insurance/chargemaster,https://www.nm.org/-/media/northwestern/resources/patients-and-visitors/billing-and-insurance/northwestern-medicine-palos-hospital-comprehensive-list-of-standard-charges.csv
050055,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,CA,SAN FRANCISCO,https://www.sutterhealth.org/,https://www.sutterhealth.org/for-patients/healthcare-cost-transparency,https://www.sutterhealth.org/pdf/chargemaster/940562680-1730238007_CALIFORNIA-PACIFIC-MEDICAL-CENTER-MISSION-BERNAL-CAMPUS_standardcharges.csv
140063,RUSH OAK PARK HOSPITAL,IL,OAK PARK,https://www.rush.edu/,https://www.rush.edu/patients-visitors/billing/transparency-coverage,https://www.allegiancecosttransparency.com/2022-07-01_RUSH_OAK_PARK_HOSPITAL_index.json
050056,ANTELOPE VALLEY HOSPITAL,CA,LANCASTER,https://www.avmc.org/,https://www.avmc.org/patients/billing-insurance-pricing/,https://www.cdmpricing.com/f961a5b495c6b41f2fca90c83cc92dcf/standard-charges
050057,KAWEAH HEALTH MEDICAL CENTER,CA,VISALIA,https://www.kaweahhealth.org/,https://www.kaweahhealth.org/patients-visitors/for-patients/costs-and-charges-billing-rates-/,https://www.kaweahhealth.org/images/94-1534475_Kaweah-Health_Standard-Charges.xlsx
140064,ST MARY MEDICAL CENTER,IL,GALESBURG,https://www.osfhealthcare.org/,https://www.osfhealthcare.org/osf/forms/price-estimate-request/standard-charges/,https://www.osfhealthcare.org/media/filer_public/cc/da/ccda04a7-f4b2-4c54-bb36-4a846ea9470a/370662581_st-mary-medical-center_standardcharges.xlsx
140065,ADVENTHEALTH LA GRANGE,IL,LA GRANGE,https://www.amitahealth.org/,https://www.adventhealth.com/pricelist,https://www.adventhealth.com/sites/default/files/CDM/2022/364257550_AdventHealthLaGrange_standardcharges.json
140067,SAINT FRANCIS MEDICAL CENTER,IL,PEORIA,https://www2.osfhealthcare.org/,https://www.osfhealthcare.org/osf/forms/price-estimate-request/standard-charges/,https://www.osfhealthcare.org/media/filer_public/85/84/85841b2e-8e39-4f29-adb6-13aa9d904cad/370662569_saint-francis-medical-center_standardcharges.xlsx
140068,ROSELAND COMMUNITY HOSPITAL,IL,CHICAGO,https://www.roselandhospitaltalks.org/,https://www.roselandhospitaltalks.org/cost-of-care-estimate,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbRCHCHICAGOIL&type=CDMWithoutLabel
050058,GLENDALE MEM HOSPITAL & HLTH CENTER,CA,GLENDALE,https://www.dignityhealth.org/,https://www.dignityhealth.org/socal/locations/glendalememorial/patients-and-visitors/for-patients/billing-and-payment/hospital-pricing-transparency,https://www.dignityhealth.org/content/dam/dignity-health/socal/documents/815009488_Glendale-Memorial-Hospital_standardcharges.csv
230216,MCLAREN PORT HURON,MI,PORT HURON,https://www.mclaren.org/,https://www.mclaren.org/main/mclaren-charge-master-files,https://www.mclaren.org/Uploads/Public/Documents/corporate/ChargeMasterFile/2022/38-1369611_McLarenPortHuron_standardcharges.csv
050060,COMMUNITY REGIONAL MEDICAL CENTER,CA,FRESNO,https://www.communitymedical.org/home,https://www.communitymedical.org/for-patients-families/paymybill/hospital-standard-charges-(1),https://search.hospitalpriceindex.com/hpi2/hospital/CommunityRegionalMedicalCenter/8178or
050063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,CA,LOS ANGELES,https://www.hollywoodpresbyterian.com/,https://www.hollywoodpresbyterian.com/billing-and-financial-services/,https://www.hollywoodpresbyterian.com/wp-content/uploads/2022/01/Hollywood-Presbyterian-Charge-Master.xlsx
230217,OAKLAWN HOSPITAL,MI,MARSHALL,https://oaklawnhospital.org/,https://oaklawnhospital.org/patient-tools/price-transparency/,https://oaklawnhospital.org/wp-content/uploads/2021/12/381368347_oaklawn-hospital_standardcharges-1.csv
140080,PRESENCE SAINT FRANCIS HOSPITAL,IL,EVANSTON,https://healthcare.ascension.org/,https://healthcare.ascension.org/price-transparency/price-transparency-files,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/il/362235165_amita-health-saint-francis-hospital-evanston_standardcharges.xlsx
050067,OAK VALLEY HOSPITAL DISTRICT,CA,OAKDALE,https://oakvalleyhospital.com/,https://apps.para-hcfs.com/PTT/FinalLinks/OakValley_V2.aspx,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbOVHOAKDALECA&type=CDMWithoutLabel
230222,MYMICHIGAN MEDICAL CENTER MIDLAND,MI,MIDLAND,https://www.mymichigan.org/,https://www.mymichigan.org/patients-visitors/billing-insurance/cost-estimates/,https://www.mymichigan.org/app/files/public/d0da34a3-e899-48e2-8028-7713e4382cbb/380833014_midmichigan-medical-center-midland_standardcharges.csv
230227,MCLAREN MACOMB,MI,MOUNT CLEMENS,https://www.mclaren.org/,https://www.mclaren.org/main/mclaren-charge-master-files,https://www.mclaren.org/Uploads/Public/Documents/corporate/ChargeMasterFile/2022/38-1218516_McLarenMacomb_standardcharges.csv
050069,PROVIDENCE ST. JOSEPH HOSPITAL,CA,ORANGE,https://www.providence.org/,https://www.providence.org/obp/pricing-transparency,https://www.providence.org/external/95-1643359_Providence-St.-Joseph-Hospital-Orange_StandardCharges_NC.json
230230,EDWARD W SPARROW HOSPITAL,MI,LANSING,https://www.sparrow.org/,https://www.sparrow.org/patient-resources/financial-resources/standard-charges,https://www.sparrow.org/sites/default/files/2021-12/sparrow-specialty-hospital-machine-readable-file-2022_0.xlsx
050070,KAISER FOUNDATION HOSPITAL SOUTH SAN FRANCISCO,CA,SOUTH SAN FRANCISCO,https://thrive.kaiserpermanente.org/,https://healthy.kaiserpermanente.org/northern-california/doctors-locations/standard-charges,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/941105628-south-san-francisco-medical-center-standard-charges-ncal-en.xlsx
140083,LORETTO HOSPITAL,IL,CHICAGO,https://www.lorettohospital.org/,https://www.lorettohospital.org/patients-visitors/financial-assistance/the-loretto-hospital-charges/,https://www.lorettohospital.org/documents/362200248_LorettoHospital_StandardCharges.xlsx
230236,UNIVERSITY OF MICHIGAN HEALTH - WEST,MI,WYOMING,https://uofmhealthwest.org/,https://uofmhealthwest.org/patients-visitors/pricing-estimates/metro-health-university-of-michigan-standard-charges/,https://media.uofmhealthwest.org/380593405_UM%20Health-WestHealthHospital_StandardCharges.xml
050071,KAISER FOUNDATION HOSPITAL SANTA CLARA,CA,SANTA CLARA,https://thrive.kaiserpermanente.org/,https://healthy.kaiserpermanente.org/northern-california/doctors-locations/standard-charges,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/941105628-santa-clara-medical-center-standard-charges-ncal-en.xlsx
140084,VISTA MEDICAL CENTER EAST,IL,WAUKEGAN,https://vistahealth.com/,https://vistahealth.com/pricing-transparency/,https://vistahealth.com/wp-content/uploads/2022/01/Vista_CMList_01_10_2022.csv
230241,ASCENSION RIVER DISTRICT HOSPITAL,MI,EAST CHINA,https://healthcare.ascension.org/,https://healthcare.ascension.org/price-transparency/price-transparency-files,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/mi/383160564_ascension-river-district-hospital_standardcharges.xlsx
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,IL,CHICAGO,https://www.uchicagomedicine.org/,https://www.uchicagomedicine.org/patients-visitors/patient-information/billing/price-transparency,https://www.uchicagomedicine.org/-/media/files/pricing-transparency/file-option-3_the-university-of-chicago-medical-center_standardcharges.json
230244,GARDEN CITY HOSPITAL,MI,GARDEN CITY,https://www.gch.org/,https://www.gch.org/patients-visitors/financial-services/,https://www.gch.org/464719451_GardenCityHospital_standardcharges.json
140089,MC DONOUGH DISTRICT HOSPITAL,IL,MACOMB,https://www.mdh.org/,https://www.mdh.org/patients-visitors/financial-services/,https://www.mdh.org/images/content/McDonough-District-Hospital.NPI-1669420766)-CDM-Pricing-Transparency-070122-update.xlsx
230254,ASCENSION PROVIDENCE ROCHESTER HOSPITAL,MI,ROCHESTER,https://healthcare.ascension.org/,https://healthcare.ascension.org/price-transparency/price-transparency-files,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/mi/381359247_asccension-providence-rochester-hospital_standardcharges.xlsx
230259,ST JOSEPH MERCY CHELSEA,MI,CHELSEA,https://www.stjoeshealth.org/,https://www.stjoeshealth.org/for-patients/billing-and-insurance/our-prices,https://www.cdmpricing.com/13b0081070102ea2dc1b9cf325588c80
140091,THE CARLE FOUNDATION HOSPITAL,IL,URBANA,https://carle.org/,https://carle.org/Patients-Visitors/Transparent-Pricing-and-Estimates,https://carle.org/getmedia/68e707e5-2ac5-490d-8483-d1fefb86a46e/371119538_Carle-Foundation-Hospital_standardcharges.csv
230264,INSIGHT SURGICAL HOSPITAL,MI,WARREN,https://www.insightsurgicalhospital.com/,https://www.insightsurgicalhospital.com/patient-resources/hospital-pricing/,https://www.insightsurgicalhospital.com/wp-content/uploads/2022/06/13-4257646_Insight-Surgical-Hospital_standardcharges.csv
140093,OSF SACRED HEART MEDICAL CENTER,IL,DANVILLE,https://www.osfhealthcare.org/,https://www.osfhealthcare.org/osf/forms/price-estimate-request/standard-charges/,https://www.osfhealthcare.org/media/filer_public/80/9e/809ef366-0dce-45af-af19-9a041e119405/370813229_osf-sacred-heart-medical-center_standardcharges.xlsx
230269,"BEAUMONT HOSPITAL, TROY",MI,TROY,https://www.beaumont.org/,https://www.beaumont.org/patients-families/billing/pricing/beaumont-health-price-transparency-information,https://www.beaumont.org/docs/default-source/default-document-library/cdm-documents/2022/hospital-charges/381459362_beaumont-hospital-troy_hospital-standardcharges.csv
050072,KAISER FOUNDATION HOSPITAL WALNUT CREEK,CA,WALNUT CREEK,https://thrive.kaiserpermanente.org/,https://healthy.kaiserpermanente.org/northern-california/doctors-locations/standard-charges,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/941105628-walnut-creek-medical-center-standard-charges-ncal-en.xlsx
140095,SAINT ANTHONY HOSPITAL,IL,CHICAGO,https://www.mercy.net/,https://www.mercy.net/forms/items-and-services-files/,https://search.hospitalpriceindex.com/hpi2/hospital/Saint%20Anthony%20Hospital/7851
230270,BEAUMONT HOSPITAL - TAYLOR,MI,TAYLOR,https://www.beaumont.org/,https://www.beaumont.org/patients-families/billing/pricing/beaumont-health-price-transparency-information,https://www.beaumont.org/docs/default-source/default-document-library/cdm-documents/2022/hospital-charges/381405141_beaumont-hospital-taylor_hospital-standardcharges.csv
050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,CA,VALLEJO,https://thrive.kaiserpermanente.org/,https://healthy.kaiserpermanente.org/northern-california/doctors-locations/standard-charges,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/941105628-vallejo-medical-center-standard-charges-ncal-en.xlsx
230273,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,MI,DETROIT,https://www.dmc.org/,https://www.dmc.org/patients/pricing-info-estimates/hospital-pricing-information,https://www.dmc.org/docs/global/standard-charges/272844942_detroitreceivinghospital-dmc_standardcharges.json
140100,MIDWESTERN REGION MED CENTER,IL,ZION,https://www.cancercenter.com/,https://www.cancercenter.com/locations/chicago/pricing-transparency,https://cdn.cancercenter.com/-/media/ctca/files/chargemaster/chi_cdm-01_01_2021.zip
050075,KAISER FOUNDATION HOSPITAL OAKLAND RICHMOND,CA,OAKLAND,https://thrive.kaiserpermanente.org/,https://healthy.kaiserpermanente.org/northern-california/doctors-locations/standard-charges,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/941105628-oakland-medical-center-standard-charges-ncal-en.xlsx
230275,HEALTHSOURCE SAGINAW,MI,SAGINAW,https://www.healthsourcesaginaw.org/,https://www.healthsourcesaginaw.org/,https://www.healthsourcesaginaw.org/wp-content/uploads/2022/01/386004889_HealthSource-Saginaw_standardcharges.csv
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,IL,MORRIS,https://www.morrishospital.org/,https://www.morrishospital.org/patients-visitors/patients/billing-insurance/#my-cost-out-of-pocket-estimator,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbMorris&type=CDMWithoutLabel
050076,KAISER FOUNDATION HOSPITAL SAN FRANCISCO,CA,SAN FRANCISCO,https://thrive.kaiserpermanente.org/,https://healthy.kaiserpermanente.org/northern-california/doctors-locations/standard-charges,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/941105628-san-francisco-medical-center-standard-charges-ncal-en.xlsx
140103,ST BERNARD HOSPITAL,IL,CHICAGO,https://www.stbh.org/,https://www.stbh.org/patients/financial-services/price-transparency/,https://stbh.wpenginepowered.com/wp-content/uploads/Pricing-transp.xlsx
