Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,Aetna_,Aetna_Better_Health,BCBS_BLUE_CHOICE,BCBS_CAP,HEALTH_PARTNERS_OF_KS__HPK_,Providrs_Care__WPPA_,United_Healthcare
1019780_1,Rapid Strep POC (87880),Inpatient,0300,87880,"Infectious agent antigen detection by immunoassay with direct optical observation; Streptococcus, group A",,0,68.0000,68.0000,39.4400,68.0000,61.2000,N/A,57.8000,N/A,64.6000,N/A,64.6000
1019780_1,Rapid Strep POC (87880),Outpatient,0300,87880,"Infectious agent antigen detection by immunoassay with direct optical observation; Streptococcus, group A",,0,68.0000,68.0000,39.4400,68.0000,61.2000,39.4400,51.5850,54.3000,64.6000,40.8000,64.6000
1041799_1,OT Massage Charge Units 97124,Inpatient,0431,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",,0,55.0000,55.0000,31.9000,55.0000,49.5000,N/A,46.7500,N/A,52.2500,N/A,52.2500
1041799_1,OT Massage Charge Units 97124,Outpatient,0431,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",,0,55.0000,55.0000,31.9000,55.0000,49.5000,31.9000,39.9000,42.0000,52.2500,33.0000,52.2500
1041810_1,OT Wheelchair Training Charges 97542,Inpatient,0431,97542,"Wheelchair management (eg, assessment, fitting, training), each 15 minutes",,0,28.0000,28.0000,16.2400,28.0000,25.2000,N/A,23.8000,N/A,26.6000,N/A,26.6000
1041810_1,OT Wheelchair Training Charges 97542,Outpatient,0431,97542,"Wheelchair management (eg, assessment, fitting, training), each 15 minutes",,0,28.0000,28.0000,16.2400,28.0000,25.2000,16.2400,23.8000,25.2000,26.6000,16.8000,26.6000
1042079_1,PT Massage Charge Units 97124,Inpatient,0421,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",,0,55.0000,55.0000,31.9000,55.0000,49.5000,N/A,46.7500,N/A,52.2500,N/A,52.2500
1042079_1,PT Massage Charge Units 97124,Outpatient,0421,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",,0,55.0000,55.0000,31.9000,55.0000,49.5000,31.9000,39.9000,42.0000,52.2500,33.0000,52.2500
1042081_1,PT Prosthetic Training Charges 97761,Inpatient,0421,,,,0,56.0000,56.0000,32.4800,56.0000,50.4000,N/A,47.6000,N/A,53.2000,N/A,53.2000
1042081_1,PT Prosthetic Training Charges 97761,Outpatient,0421,,,,0,56.0000,56.0000,32.4800,56.0000,50.4000,32.4800,47.6000,50.4000,53.2000,33.6000,53.2000
1148023_1,Urinalysis,Inpatient,0300,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,25.0000,25.0000,8.6545,25.0000,22.5000,N/A,21.2500,N/A,23.7500,N/A,23.7500
1148023_1,Urinalysis,Outpatient,0300,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,25.0000,25.0000,8.6545,25.0000,22.5000,14.5000,8.6545,9.1100,23.7500,15.0000,23.7500
1148308_1,Thryoid Stimulating Hormone,Inpatient,0300,84443,Thyroid stimulating hormone (TSH),,0,54.5000,54.5000,31.6100,54.5000,49.0500,N/A,46.3250,N/A,51.7750,N/A,51.7750
1148308_1,Thryoid Stimulating Hormone,Outpatient,0300,84443,Thyroid stimulating hormone (TSH),,0,54.5000,54.5000,31.6100,54.5000,49.0500,31.6100,41.3535,43.5300,51.7750,32.7000,51.7750
1167839_1,BD Bone Density DEXA Axial Skeleton,Inpatient,0320,77080,"Dual-energy X-ray absorptiometry (DXA), bone density study, 1 or more sites; axial skeleton (eg, hips, pelvis, spine)",,0,245.5000,245.5000,142.3900,245.5000,220.9500,N/A,208.6750,N/A,233.2250,N/A,233.2250
1167839_1,BD Bone Density DEXA Axial Skeleton,Outpatient,0320,77080,"Dual-energy X-ray absorptiometry (DXA), bone density study, 1 or more sites; axial skeleton (eg, hips, pelvis, spine)",,0,245.5000,245.5000,142.3900,245.5000,220.9500,142.3900,186.2000,196.0000,233.2250,163.4550,233.2250
1167845_1,CT Abdomen w/ + w/o Contrast,Inpatient,0350,74170,"Computed tomography, abdomen; without contrast material, followed by contrast material(s) and further sections",,0,985.0000,985.0000,267.8250,985.0000,886.5000,N/A,837.2500,N/A,935.7500,N/A,935.7500
