ccn,name,state,city,homepage,cdm_indirect_url,cdm_url,possible_indirect,found_string
114032,SO CRESCENT BEH HLTH SYS - ANCHOR HOSPITAL CAMPUS,GA,COLLEGE PARK,https://anchorhospital.com/,https://anchorhospital.com/standard-services-2/,https://uhsfilecdn.eskycity.net/bh/233044975-anchor-standard_charges.csv,https://anchorhospital.com/standard-services-2/,['standard services']
224013,"ARBOUR HOSPITAL, THE",MA,BOSTON,https://arbourhospital.com/,https://arbourhospital.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/232238962-arbour-standard_charges.csv,https://arbourhospital.com/standard-services/,['standard services']
364036,ARROWHEAD BEHAVIORAL HEALTH,OH,MAUMEE,https://arrowheadbehavioral.com/,https://arrowheadbehavioral.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/270608044-arrowhead-standard_charges.csv,https://arrowheadbehavioral.com/standard-services/,['standard services']
454121,AUSTIN OAKS HOSPITAL,TX,AUSTIN,https://austinoakshospital.com/,https://austinoakshospital.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/841618661-austin-oaks-standard_charges.csv,https://austinoakshospital.com/standard-services/,['standard services']
454107,BEHAVIORAL HOSPITAL OF BELLAIRE,TX,HOUSTON,https://bhbhospital.com/,https://bhbhospital.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/272849780-bellaire-standard_charges.csv,https://bhbhospital.com/standard-services/,['standard services']
374023,CEDAR RIDGE BEHAVIORAL HOSPITAL,OK,OKLAHOMA CITY,https://cedarridgebhs.com/,https://cedarridgebhs.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/202901605-cedar-ridge-standard_charges.csv,https://cedarridgebhs.com/standard-services/,['standard services']
064007,CENTENNIAL PEAKS HOSPITAL,CO,LOUISVILLE,https://centennialpeaks.com/,https://centennialpeaks.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/263973154-centennial-peaks-standard_charges.csv,https://centennialpeaks.com/standard-services/,['standard services']
114008,COASTAL HARBOR TREATMENT CENTER,GA,SAVANNAH,https://coastalharbor.com/,https://coastalharbor.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/200931196-coastal-bh-harbor-standard_charges.csv,https://coastalharbor.com/standard-services/,['standard services']
493300,CUMBERLAND HOSPITAL LLC,VA,NEW KENT,https://cumberlandhospital.com/,https://cumberlandhospital.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/020567575-cumberland-hospital-standard_charges.csv,https://cumberlandhospital.com/standard-services/,"['transparency', 'standard services']"
054053,DEL AMO HOSPITAL,CA,TORRANCE,https://delamobehavioralhealth.com/,https://delamobehavioralhealth.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/232646424-del-amo-standard_charges.csv,https://delamobehavioralhealth.com/standard-services/,['standard services']
394038,FOUNDATIONS BEHAVIORAL HEALTH,PA,DOYLESTOWN,https://fbh.com/,https://fbh.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/208179692-foundations-standard_charges.csv,/standard-services/,['standard services']
234030,FOREST VIEW PSYCHIATRIC HOSPITAL,MI,GRAND RAPIDS,https://forestviewhospital.com/,https://forestviewhospital.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/232285657-forest-view-standard_charges.csv,https://forestviewhospital.com/standard-services/,['standard services']
394008,FRIENDS HOSPITAL,PA,PHILADELPHIA,https://friendshospital.com/,https://friendshospital.com/standard-services,https://uhsfilecdn.eskycity.net/bh/202523648-friends-standard_charges.csv,https://friendshospital.com/standard-services,['standard services']
144039,GARFIELD PARK HOSPITAL,IL,CHICAGO,https://garfieldparkhospital.com/,https://garfieldparkhospital.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/460775763-garfield-park-standard_charges.csv,https://garfieldparkhospital.com/standard-services/,"['transparency', 'standard services']"
454050,GLEN OAKS HOSPITAL,TX,GREENVILLE,https://glenoakshospital.com/,https://glenoakshospital.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/232357811-glen-oaks-standard_charges.csv,https://glenoakshospital.com/standard-services/,['standard services']
234023,HAVENWYCK HOSPITAL,MI,AUBURN HILLS,https://havenwyckhospital.com/,https://havenwyckhospital.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/382409580-havenwyck-standard_charges.csv,https://havenwyckhospital.com/standard-services/,['standard services']
224018,ARBOUR HUMAN RESOURCE INSTITUTE,MA,BROOKLINE,https://hrihospital.com/,https://hrihospital.com/standard-services-2/,https://uhsfilecdn.eskycity.net/bh/232238958-hri-standard_charges.csv,https://hrihospital.com/standard-services-2/,['standard services']
454103,KINGWOOD PINES HOSPITAL,TX,KINGWOOD,https://kingwoodpines.com/,https://kingwoodpines.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/731726290-kingwood-pines-standard_charges.csv,https://kingwoodpines.com/standard-services/,"['transparency', 'standard services']"
454060,LAUREL RIDGE TREATMENT CENTER,TX,SAN ANTONIO,https://laurelridgetc.com/,https://laurelridgetc.com/standard-services/,https://laurelridgetc.com/wp-content/uploads/2022/07/432002326-laurel-ridge-standard_charges.csv,/standard-services/,['standard services']
670010,MAYHILL HOSPITAL,TX,DENTON,https://mayhillhospital.com/,https://mayhillhospital.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/274126263-mayhill-standard_charges.csv,https://mayhillhospital.com/standard-services/,['standard services']
344007,OLD VINEYARD YOUTH SERVICES,NC,WINSTON SALEM,https://oldvineyardbhs.com/,https://oldvineyardbhs.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/201943356-old-vineyard-standard_charges.csv,/standard-services,['standard services']
424006,PALMETTO LOWCOUNTRY BEHAVIORAL HEALTH,SC,CHARLESTON,https://palmettobehavioralhealth.com/,https://palmettobehavioralhealth.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/571101380-palmetto-low-country-standard_charges.csv,https://palmettobehavioralhealth.com/standard-services/,['standard services']
144029,"PAVILION FOUNDATION, THE",IL,CHAMPAIGN,https://pavilionhospital.com/,https://pavilionhospital.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/232800410-pavilion-standard_charges.csv,https://pavilionhospital.com/standard-services/,['standard services']
464014,PROVO CANYON BEHAVIORAL HOSPITAL,UT,OREM,https://pcbh.com/,https://pcbh.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/233044423-provo-canyon-standard_charges.csv,https://pcbh.com/standard-services/,['standard services']
044013,PINNACLE POINTE BEHAVIORAL HEALTH SYSTEM,AR,LITTLE ROCK,https://pinnaclepointehospital.com/,https://pinnaclepointehospital.com/standard-services,https://uhsfilecdn.eskycity.net/bh/621658502-pinnacle-point-standard_charges.csv,https://pinnaclepointehospital.com/standard-services,['standard services']
144009,RIVEREDGE HOSPITAL,IL,FOREST PARK,https://riveredgehospital.com/,https://riveredgehospital.com/standard-services-2/,https://uhsfilecdn.eskycity.net/bh/223682760-riveredge-standard_charges.csv,https://riveredgehospital.com/standard-services-2/,"['transparency', 'standard services']"
084002,ROCKFORD CENTER,DE,NEWARK,https://rockfordcenter.com/,https://rockfordcenter.com/standard-services/,https://uhsfilecdn.eskycity.net/bh/233044421-rockford-standard_charges.csv,https://rockfordcenter.com/standard-services/,['standard services']
444007,ROLLING HILLS PSYCHIATRIC HOSPITAL,TN,FRANKLIN,https://rollinghillshospital.org/,https://rollinghillshospital.org/standard-services/,https://uhsfilecdn.eskycity.net/bh/205566098-rolling-hills-standard_charges.csv,"https://rollinghillshospital.org/standard-services/ , /standard-services",['standard services']
464013,SALT LAKE BEHAVIORAL HEALTH,UT,SALT LAKE CITY,https://saltlakebehavioralhealth.com/,https://saltlakebehavioralhealth.com/standard-services-2/,https://uhsfilecdn.eskycity.net/bh/271365684-salt-lake-standard_charges.csv,https://saltlakebehavioralhealth.com/standard-services-2/,"['transparency', 'standard services']"
054087,"SIERRA VISTA HOSPITAL, INC",CA,SACRAMENTO,https://sierravistahospital.com/,https://sierravistahospital.com/standard-services-2/,https://uhsfilecdn.eskycity.net/bh/621658512-sierra-vista-standard_charges.csv,https://sierravistahospital.com/standard-services-2/,['standard services']
