Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,Aetna,Cigna,First_Health,Meritain,Midlands_Choice,RURAL_CARRIERS,UHC
1019780_1,Rapid Strep POC (87880),Inpatient,0300,87880,"Infectious agent antigen detection by immunoassay with direct optical observation; Streptococcus, group A",,0,36.0000,27.0000,27.0000,34.2000,32.4000,34.2000,34.2000,32.4000,34.2000,30.6000,34.2000
1019780_1,Rapid Strep POC (87880),Outpatient,0300,87880,"Infectious agent antigen detection by immunoassay with direct optical observation; Streptococcus, group A",,0,36.0000,27.0000,27.0000,34.2000,32.4000,34.2000,34.2000,32.4000,34.2000,30.6000,34.2000
1041799_1,OT Massage Charge Units 97124,Inpatient,0431,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",,0,56.0000,42.0000,42.0000,53.2000,50.4000,53.2000,53.2000,50.4000,53.2000,47.6000,53.2000
1041799_1,OT Massage Charge Units 97124,Outpatient,0431,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",,0,56.0000,42.0000,42.0000,53.2000,50.4000,53.2000,53.2000,50.4000,53.2000,47.6000,53.2000
1041810_1,OT Wheelchair Training Charges 97542,Inpatient,0431,97542,"Wheelchair management (eg, assessment, fitting, training), each 15 minutes",,0,60.0000,45.0000,45.0000,57.0000,54.0000,57.0000,57.0000,54.0000,57.0000,51.0000,57.0000
1041810_1,OT Wheelchair Training Charges 97542,Outpatient,0431,97542,"Wheelchair management (eg, assessment, fitting, training), each 15 minutes",,0,60.0000,45.0000,45.0000,57.0000,54.0000,57.0000,57.0000,54.0000,57.0000,51.0000,57.0000
1042079_1,PT Massage Charge Units 97124,Inpatient,0421,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",,0,55.1500,41.3625,41.3625,52.3925,49.6350,52.3925,52.3925,49.6350,52.3925,46.8775,52.3925
1042079_1,PT Massage Charge Units 97124,Outpatient,0421,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",,0,55.1500,41.3625,41.3625,52.3925,49.6350,52.3925,52.3925,49.6350,52.3925,46.8775,52.3925
1276484_1,XR Chest 1 View,Inpatient,0320,71045,"Radiologic examination, chest; single view",,0,190.0000,142.5000,142.5000,180.5000,171.0000,180.5000,180.5000,171.0000,180.5000,161.5000,180.5000
1276484_1,XR Chest 1 View,Outpatient,0320,71045,"Radiologic examination, chest; single view",,0,190.0000,142.5000,142.5000,180.5000,171.0000,180.5000,180.5000,171.0000,180.5000,161.5000,180.5000
1373453_1,"OT Community, Work Reintegration Units 97537",Inpatient,0431,97537,"Community/work reintegration training (eg, shopping, transportation, money management, avocational activities and/or work environment/modification analysis, work task analysis, use of assistive technology device/adaptive equipment), direct one-on-one contact, each 15 minutes",,0,55.0000,41.2500,41.2500,52.2500,49.5000,52.2500,52.2500,49.5000,52.2500,46.7500,52.2500
1373453_1,"OT Community, Work Reintegration Units 97537",Outpatient,0431,97537,"Community/work reintegration training (eg, shopping, transportation, money management, avocational activities and/or work environment/modification analysis, work task analysis, use of assistive technology device/adaptive equipment), direct one-on-one contact, each 15 minutes",,0,55.0000,41.2500,41.2500,52.2500,49.5000,52.2500,52.2500,49.5000,52.2500,46.7500,52.2500
1373552_1,OT Unattended E-Stim Units,Inpatient,0431,G0283,Elec stim other than wound,,0,56.0000,42.0000,42.0000,53.2000,50.4000,53.2000,53.2000,50.4000,53.2000,47.6000,53.2000
1373552_1,OT Unattended E-Stim Units,Outpatient,0431,G0283,Elec stim other than wound,,0,56.0000,42.0000,42.0000,53.2000,50.4000,53.2000,53.2000,50.4000,53.2000,47.6000,53.2000
1373567_1,OT Contrast Bath Units 97034,Inpatient,0431,97034,"Application of a modality to 1 or more areas; contrast baths, each 15 minutes",,0,56.0000,42.0000,42.0000,53.2000,50.4000,53.2000,53.2000,50.4000,53.2000,47.6000,53.2000
1373567_1,OT Contrast Bath Units 97034,Outpatient,0431,97034,"Application of a modality to 1 or more areas; contrast baths, each 15 minutes",,0,56.0000,42.0000,42.0000,53.2000,50.4000,53.2000,53.2000,50.4000,53.2000,47.6000,53.2000
1373569_1,"OT Self Care, Home Management Units 97535",Inpatient,0431,97535,"Self-care/home management training (eg, activities of daily living (ADL) and compensatory training, meal preparation, safety procedures, and instructions in use of assistive technology devices/adaptive equipment) direct one-on-one contact, each 15 minutes",,0,55.1500,41.3625,41.3625,52.3925,49.6350,52.3925,52.3925,49.6350,52.3925,46.8775,52.3925
1373569_1,"OT Self Care, Home Management Units 97535",Outpatient,0431,97535,"Self-care/home management training (eg, activities of daily living (ADL) and compensatory training, meal preparation, safety procedures, and instructions in use of assistive technology devices/adaptive equipment) direct one-on-one contact, each 15 minutes",,0,55.1500,41.3625,41.3625,52.3925,49.6350,52.3925,52.3925,49.6350,52.3925,46.8775,52.3925
1373918_1,PT Aquatic Units 97113,Inpatient,0421,97113,"Therapeutic procedure, 1 or more areas, each 15 minutes; aquatic therapy with therapeutic exercises",,0,66.7800,50.0850,50.0850,63.4410,60.1020,63.4410,63.4410,60.1020,63.4410,56.7630,63.4410
1373918_1,PT Aquatic Units 97113,Outpatient,0421,97113,"Therapeutic procedure, 1 or more areas, each 15 minutes; aquatic therapy with therapeutic exercises",,0,66.7800,50.0850,50.0850,63.4410,60.1020,63.4410,63.4410,60.1020,63.4410,56.7630,63.4410
1383763_1,Hgb A1c,Inpatient,0300,83036,Hemoglobin; glycosylated (A1C),,0,67.0000,50.2500,50.2500,63.6500,60.3000,63.6500,63.6500,60.3000,63.6500,56.9500,63.6500
1383763_1,Hgb A1c,Outpatient,0300,83036,Hemoglobin; glycosylated (A1C),,0,67.0000,50.2500,50.2500,63.6500,60.3000,63.6500,63.6500,60.3000,63.6500,56.9500,63.6500
1383771_1,B-Type Natriuretic Peptide,Inpatient,0300,83880,Natriuretic peptide,,0,55.0000,41.2500,41.2500,52.2500,49.5000,52.2500,52.2500,49.5000,52.2500,46.7500,52.2500
1383771_1,B-Type Natriuretic Peptide,Outpatient,0300,83880,Natriuretic peptide,,0,55.0000,41.2500,41.2500,52.2500,49.5000,52.2500,52.2500,49.5000,52.2500,46.7500,52.2500
1503764_1,Acetaminophen Lvl,Inpatient,0300,G0480,Drug test def 1-7 classes,,1,56.0000,42.0000,42.0000,53.2000,50.4000,53.2000,53.2000,50.4000,53.2000,47.6000,53.2000
1503764_1,Acetaminophen Lvl,Outpatient,0300,G0480,Drug test def 1-7 classes,,1,56.0000,42.0000,42.0000,53.2000,50.4000,53.2000,53.2000,50.4000,53.2000,47.6000,53.2000
1503765_1,Ethanol Level,Inpatient,0300,G0480,Drug test def 1-7 classes,,1,89.0000,66.7500,66.7500,84.5500,80.1000,84.5500,84.5500,80.1000,84.5500,75.6500,84.5500
