DRG Code,DRG Description,DRG Type,Average Total Charges,De-Identified Minimum Inpatient Allowable Rate Per Day or Total,De-Identified Maximum Inpatient Allowable Rate Per Day or Total,Medicare Inpatient Allowable Rate Per Day,Blue Cross Inpatient Allowable Rate,United Healthcare Inpatient Allowable Rate,Cigna Inpatient Allowable Rate,Aetna Inpatient Allowable Rate,WPPA Inc Inpatient Allowable Rate Per Day
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,MEDICAL,"$28,324.71","$2,059.00","$26,908.48","$2,351.00","$10,736.98","$21,526.78","$26,908.48","$22,659.77","$2,059.00"
175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,MEDICAL,"$23,204.08","$2,059.00","$22,043.88","$2,351.00","$10,648.44","$17,635.10","$22,043.88","$18,563.26","$2,059.00"
177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,MEDICAL,"$18,502.40","$2,059.00","$18,265.80","$2,351.00","$18,265.80","$14,061.83","$17,577.28","$14,801.92","$2,059.00"
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",MEDICAL,"$21,319.19","$2,059.00","$20,253.23","$2,351.00","$10,588.00","$16,202.58","$20,253.23","$17,055.35","$2,059.00"
291,HEART FAILURE AND SHOCK WITH MCC,MEDICAL,"$9,187.03","$2,059.00","$12,804.03","$2,351.00","$12,804.03","$6,982.14","$8,727.68","$7,349.62","$2,059.00"
292,HEART FAILURE AND SHOCK WITH CC,MEDICAL,"$11,812.09","$2,059.00","$11,221.49","$2,351.00","$6,207.30","$8,977.19","$11,221.49","$9,449.67","$2,059.00"
293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,MEDICAL,"$10,069.22","$2,059.00","$9,565.76","$2,351.00","$4,890.09","$7,652.61","$9,565.76","$8,055.38","$2,059.00"
372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,MEDICAL,"$10,149.86","$2,059.00","$9,642.37","$2,351.00","$9,174.86","$7,713.89","$9,642.37","$8,119.89","$2,059.00"
377,GASTROINTESTINAL HEMORRHAGE WITH MCC,MEDICAL,"$15,926.57","$2,059.00","$15,130.24","$2,351.00","$10,369.45","$12,104.19","$15,130.24","$12,741.26","$2,059.00"
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,MEDICAL,"$15,678.54","$2,059.00","$14,894.61","$2,351.00","$6,156.48","$11,915.69","$14,894.61","$12,542.83","$2,059.00"
442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",MEDICAL,"$15,153.38","$2,059.00","$14,395.71","$2,351.00","$7,463.40","$11,516.57","$14,395.71","$12,122.71","$2,059.00"
603,CELLULITIS WITHOUT MCC,MEDICAL,"$15,048.15","$2,059.00","$14,295.75","$2,351.00","$7,409.14","$11,436.60","$14,295.75","$12,038.52","$2,059.00"
