cms_certification_num,payer,code,description,price,inpatient_outpatient
171313,Average Total Charges,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,28324.71,INPATIENT
171313,MIN,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,2059.00,INPATIENT
171313,MAX,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,26908.48,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,10736.98,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,21526.78,INPATIENT
171313,Cigna Inpatient Allowable Rate,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,26908.48,INPATIENT
171313,Aetna Inpatient Allowable Rate,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,22659.77,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,2059.00,INPATIENT
171313,Average Total Charges,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,23204.08,INPATIENT
171313,MIN,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,2059.00,INPATIENT
171313,MAX,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,22043.88,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,10648.44,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,17635.10,INPATIENT
171313,Cigna Inpatient Allowable Rate,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,22043.88,INPATIENT
171313,Aetna Inpatient Allowable Rate,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,18563.26,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,2059.00,INPATIENT
171313,Average Total Charges,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,18502.40,INPATIENT
171313,MIN,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,2059.00,INPATIENT
171313,MAX,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,18265.80,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,18265.80,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,14061.83,INPATIENT
171313,Cigna Inpatient Allowable Rate,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,17577.28,INPATIENT
171313,Aetna Inpatient Allowable Rate,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,14801.92,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,2059.00,INPATIENT
171313,Average Total Charges,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",21319.19,INPATIENT
171313,MIN,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",2059.00,INPATIENT
171313,MAX,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",20253.23,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",10588.00,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",16202.58,INPATIENT
171313,Cigna Inpatient Allowable Rate,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",20253.23,INPATIENT
171313,Aetna Inpatient Allowable Rate,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",17055.35,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",2059.00,INPATIENT
171313,Average Total Charges,291,HEART FAILURE AND SHOCK WITH MCC,9187.03,INPATIENT
