Department Description,ChargeID,ChargeDesc,RevCode,UnitofMeasure,Price,CPT_CODE,MODIFIER_1,MODIFIER_2,De-Identified Minimum Outpatient Allowable Rate,De-Identified Maximum Outpatient Allowable Rate,De-Identified Minimum Inpatient Allowable Rate,De-Identified Maximum Inpatient Allowable Rate,Medicare Outpatient Allowable Rate,Medicare Inpatient Allowable Rate,Blue Cross Outpatient Allowable Rate,Blue Cross Inpatient Allowable Rate,United Healthcare Outpatient Allowable Rate,United Healthcare Inpatient Allowable Rate,Cigna Outpatient Allowable Rate,Cigna Inpatient Allowable Rate,Aetna Outpatient Allowable Rate,Aetna Inpatient Allowable Rate,WPPA Inc Outpatient Allowable Rate,WPPA Inc Inpatient Allowable Rate Per Day
PHARMACY,2,NF-BECONASE AQ NASAL SPRAY 0.042MG/ACT,636,SPRAY,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,3,NF-TERAZOSIN HCL CAPSULE 1MG,636,CAPSULE,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,5,NF-ENSURE LIQUID,636,LIQUID,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,6,NF-ENSURE LIQUID,636,LIQUID,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,7,NF-MENTHOLATUM OINTMENT,250,OINTMENT,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,8,NF- FELODIPINE TABLET ER 5MG,636,"TABLET, EXTENDE",$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,9,NF-MSM TABLET,636,TABLET,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,10,NF-GLUCOSAMINE CHONDROITIN TABLET,636,TABLET,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,11,NF-SEROQUEL XR TAB ER 300MG,636,"TABLET, EXTENDE",$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,12,NF-BENZTROPINE MESYLATE ORAL TABLET 0.5M,636,TABLET,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,13,NF-ENSURE LIQUID,636,LIQUID,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,14,NF- FELODIPINE TABLET ER 5MG,636,"TABLET, EXTENDE",$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,15,NF-ENSURE LIQUID,636,LIQUID,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,16,NF-ENSURE LIQUID,636,LIQUID,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,17,NF-ENSURE ENLIVE LIQUID,636,LIQUID,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,18,NF-ENSURE LIQUID,636,LIQUID,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,19,NF-RESTASIS OPHTH EMULSION 0.05%,636,EMULSION,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,20,NF-MUGARD MM SOLN NO STRENGTH,636,SOLUTION,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,21,NF-ACID REDUCER ORAL TABLET 10MG,636,TABLET,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,22,NF-VOLTAREN GEL 1%,636,GEL/JELLY,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,23,NF-VOLTAREN GEL 1%,636,GEL/JELLY,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,24,NF-ENSURE FIBER W/FOS LIQUID,636,LIQUID,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,26,NF-DESITIN OINTMENT 40%,250,OINTMENT,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,27,NF-DESITIN OINTMENT 40%,250,OINTMENT,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,28,NF-DULERA INH AER PWD 5MCG-200MCG/ACT,636,AEROSOL POWDER,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,30,NF-GENTEAL OPHTHALMIC GEL 0.3%,636,GEL/JELLY,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,31,NF-ARTIFICIAL TEARS OPHTH OINTMENT,636,OINTMENT,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,32,NF-RESTASIS OPHTH EMULSION 0.05%,636,EMULSION,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,33,NF-EYE DROPS OPHTH SOLUTION,636,SOLUTION,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,36,NF-NITROFURANTOIN ORAL SUSPENSION 25MG/5,636,SUSPENSION,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,38,NF-ZYPREXA ORAL TABLET 7.5MG,636,TABLET,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
PHARMACY,39,NF-HYDROCORTISONE TAB 20MG,636,TABLET,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00
