Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna_W,Aetna_PPO,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna_GPPO,Cigna_PPO,Exchange_-Common_Ground,Exchange_-Molina,Health_EOS_Plus,Health_EOS_PPO,HPS,Humana_WVN,Humana_HPN_HMO,Humana_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA_State_and_Trust,WEA_Broad,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"SINAI","CHARGE","10000001","ROOM CHARGE MED SURG, REHAB","","3,070.00","1,233.85","2,609.50","1,294.53","1,774.21","2,609.50","1,252.15","1,395.81","2,609.50","1,444.79","1,175.10","1,872.70","2,456.00","1,516.55","1,173.65","1,231.93","2,609.50","1,688.50","1,444.79","2,609.50","1,209.29","1,501.62","1,326.80","1,548.82","1,688.50","1,173.65","2,609.50"
"SINAI","CHARGE","10000002","ROOM CHARGE MED SURG","","3,070.00","1,472.90","2,609.50","1,481.22","1,856.55","2,609.50","1,624.58","2,047.29","2,609.50","1,572.33","1,462.51","1,872.70","2,456.00","1,652.31","1,507.98","1,571.50","2,609.50","1,688.50","1,730.65","2,609.50","1,473.91","1,705.16","1,589.13","1,789.08","1,688.50","1,462.51","2,609.50"
"SINAI","CHARGE","10000003","ROOM CHARGE WOMEN'S HEALTH","","3,070.00","1,082.78","2,609.50","1,122.93","1,484.75","2,609.50","1,102.99","2,339.05","2,609.50","1,351.64","1,133.73","1,872.70","2,456.00","1,233.96","1,134.97","1,185.53","2,609.50","1,688.50","1,329.49","2,609.50","987.60","1,238.19","1,162.60","1,335.59","1,688.50","987.60","2,609.50"
"SINAI","CHARGE","10000004","ROOM CHARGE PEDIATRICS","","3,070.00","1,464.49","2,609.50","1,514.07","1,986.70","2,609.50","1,589.77","1,970.67","2,609.50","1,719.83","1,593.54","1,872.70","2,456.00","1,751.10","1,731.71","1,810.02","2,609.50","1,688.50","1,965.37","2,609.50","1,315.48","1,598.46","1,559.79","1,779.91","1,688.50","1,315.48","2,609.50"
"SINAI","CHARGE","10000008","ROOM CHARGE ICU OR CCU","","6,130.00","2,071.59","5,210.50","2,290.87","2,586.54","5,210.50","2,210.41","2,747.29","5,210.50","2,574.96","1,947.82","3,739.30","4,904.00","2,616.75","2,255.04","2,350.94","5,210.50","3,371.50","2,777.13","5,210.50","2,534.91","2,860.70","2,402.37","2,493.37","3,371.50","1,947.82","5,210.50"
"SINAI","CHARGE","10000009","LACTATION CONSULT EXTENDED","","190.00","108.78","161.50","111.63","137.77","161.50","111.86","163.52","161.50","121.59","115.92","115.90","152.00","121.51","118.57","122.45","161.50","104.50","130.82","161.50","95.00","114.26","110.71","123.06","104.50","95.00","163.52"
"SINAI","CHARGE","10000010","LACTATION CONSULT LIMITED","","130.00","61.62","110.50","63.57","82.62","110.50","63.70","102.64","110.50","71.03","66.36","79.30","104.00","70.52","68.44","71.14","110.50","71.50","77.06","110.50","52.68","65.95","63.31","72.32","71.50","52.68","110.50"
"SINAI","CHARGE","10000013","PHOTOTHERAPY, PER DAY","","320.00","169.05","272.00","175.36","231.85","272.00","184.65","178.91","272.00","199.31","192.93","195.20","256.00","206.38","215.60","225.24","272.00","176.00","239.68","272.00","139.78","172.15","176.47","202.10","176.00","139.78","272.00"
"SINAI","CHARGE","10000016","NURSING L&D PER HOUR","","425.00","122.76","361.25","127.43","165.88","361.25","125.58","263.48","361.25","146.61","126.81","259.25","340.00","137.92","128.76","134.19","361.25","233.75","146.24","361.25","113.86","139.45","131.53","149.93","233.75","113.86","361.25"
"SINAI","CHARGE","10000019","BREAST ASPIRATE CYST EA ADDL","19001","335.00","127.90","284.75","127.72","168.11","284.75","136.00","207.17","284.75","132.54","139.48","204.35","268.00","161.27","149.35","156.59","284.75","184.25","160.72","284.75","153.72","182.89","147.83","169.85","184.25","127.72","284.75"
"SINAI","CHARGE","10000033","ARTHROGRAM SHOULDER INJECT","23350","760.00","145.82","646.00","152.82","215.08","646.00","96.33","456.00","646.00","136.43","175.59","463.60","608.00","257.26","212.93","223.82","646.00","418.00","157.99","646.00","193.61","250.97","217.83","252.82","418.00","96.33","646.00"
"SINAI","CHARGE","10000034","ARTHROGRAM ELBOW INJECT","24220","760.00","327.18","646.00","330.21","439.07","646.00","336.50","460.00","646.00","349.64","356.43","463.60","608.00","415.22","424.31","440.24","646.00","418.00","440.24","646.00","339.18","405.02","372.12","429.13","418.00","327.18","646.00"
"SINAI","CHARGE","10000035","ARTHROGRAM WRIST INJECT","25246","760.00","327.18","646.00","330.21","439.07","646.00","336.50","460.00","646.00","349.64","356.43","463.60","608.00","415.22","424.31","440.24","646.00","418.00","440.24","646.00","339.18","405.02","372.12","429.13","418.00","327.18","646.00"
"SINAI","CHARGE","10000036","ARTHROGRAM HIP INJECT","27093","760.00","136.33","646.00","142.85","200.78","646.00","90.27","456.00","646.00","127.62","164.05","463.60","608.00","239.93","197.96","208.08","646.00","418.00","146.83","646.00","180.73","234.12","229.28","264.48","418.00","90.27","646.00"
"SINAI","CHARGE","10000037","ARTHROGRAM KNEE INJECT","27369","880.00","245.94","748.00","256.66","354.16","748.00","164.87","528.00","748.00","233.22","252.23","536.80","704.00","446.33","315.44","331.22","748.00","484.00","269.81","748.00","302.30","391.81","333.99","389.16","484.00","164.87","748.00"
"SINAI","CHARGE","10000038","ARTHROGRAM ANKLE INJECT","27648","760.00","327.18","646.00","330.21","439.07","646.00","336.50","460.00","646.00","349.64","356.43","463.60","608.00","415.22","424.31","440.24","646.00","418.00","440.24","646.00","339.18","405.02","372.12","429.13","418.00","327.18","646.00"
"SINAI","CHARGE","10000075","HANDLING FEE","99001","20.00","8.94","17.00","9.03","11.60","17.00","9.32","11.92","17.00","9.61","9.34","12.20","16.00","10.67","10.06","10.46","17.00","11.00","10.75","17.00","8.72","10.25","10.01","11.37","11.00","8.72","17.00"
"SINAI","CHARGE","10000080","SELECTIVE  CATH 1ST ORDER THORACIC","36215","1,820.00","694.86","1,547.00","693.88","913.29","1,547.00","738.84","1,125.50","1,547.00","720.06","757.80","1,110.20","1,456.00","876.15","811.42","850.72","1,547.00","1,001.00","873.19","1,547.00","835.14","993.61","803.15","922.78","1,001.00","693.88","1,547.00"
"SINAI","CHARGE","10000081","SELECTIVE CATH 2ND ORDER THORACIC","36216","1,820.00","694.86","1,547.00","693.88","913.29","1,547.00","738.84","1,125.50","1,547.00","720.06","757.80","1,110.20","1,456.00","876.15","811.42","850.72","1,547.00","1,001.00","873.19","1,547.00","835.14","993.61","803.15","922.78","1,001.00","693.88","1,547.00"
"SINAI","CHARGE","10000082","SELECTIVE  CATH 3RD ORDER THORACIC","36217","1,820.00","694.86","1,547.00","693.88","913.29","1,547.00","738.84","1,125.50","1,547.00","720.06","757.80","1,110.20","1,456.00","876.15","811.42","850.72","1,547.00","1,001.00","873.19","1,547.00","835.14","993.61","803.15","922.78","1,001.00","693.88","1,547.00"
"SINAI","CHARGE","10000084","SELECTIVE  CATH 2&3 THORARIC ADDL","36218","910.00","347.43","773.50","346.94","456.65","773.50","369.42","562.75","773.50","360.03","378.90","555.10","728.00","438.07","405.71","425.36","773.50","500.50","436.60","773.50","417.57","496.80","401.58","461.39","500.50","346.94","773.50"
"SINAI","CHARGE","10000085","SELECTIVE CATH 1ST ORDER ABD/PELVIC","36245","2,030.00","775.03","1,725.50","773.95","1,018.67","1,725.50","824.09","1,255.37","1,725.50","803.14","845.24","1,238.30","1,624.00","977.24","905.04","948.88","1,725.50","1,116.50","973.94","1,725.50","931.50","1,108.25","895.83","1,029.26","1,116.50","773.95","1,725.50"
"SINAI","CHARGE","10000086","SELECTIVE  CATH 2ND ABD/PELVIC/EXTREM","36246","2,030.00","597.16","1,725.50","715.38","934.72","1,725.50","809.07","668.23","1,725.50","693.41","712.89","1,238.30","1,624.00","837.56","753.63","790.37","1,725.50","1,116.50","800.97","1,725.50","795.58","933.74","809.13","927.98","1,116.50","597.16","1,725.50"
"SINAI","CHARGE","10000087","SELECTIVE  CATH 3RD ABD/PELVIC/EXTREM","36247","2,030.00","413.03","1,725.50","581.49","754.77","1,725.50","663.41","354.82","1,725.50","545.99","607.18","1,238.30","1,624.00","698.32","632.26","662.88","1,725.50","1,116.50","665.68","1,725.50","698.18","820.23","691.44","788.78","1,116.50","354.82","1,725.50"
"SINAI","CHARGE","10000088","SELECTIVE  CATH 2&3 ABD/PELVIC/EXTREM/ADDL","36248","1,010.00","385.61","858.50","385.07","506.83","858.50","410.02","624.59","858.50","399.59","420.54","616.10","808.00","486.21","450.29","472.10","858.50","555.50","484.57","858.50","463.46","551.40","445.71","512.09","555.50","385.07","858.50"
"SINAI","CHARGE","10000090","SCLEROTHERAPY MULTIPLE VEINS","36471","405.00","154.62","344.25","154.41","203.23","344.25","164.41","250.46","344.25","160.23","168.63","247.05","324.00","194.97","180.56","189.31","344.25","222.75","194.31","344.25","185.84","221.10","178.72","205.34","222.75","154.41","344.25"
"SINAI","CHARGE","10000091","ABLATION VARICOSE VEIN LASER 1ST","36478","6,340.00","2,420.54","5,389.00","2,417.16","3,181.47","5,389.00","2,573.77","3,920.71","5,389.00","2,508.34","2,639.80","3,867.40","5,072.00","3,052.07","2,826.59","2,963.50","5,389.00","3,487.00","3,041.77","5,389.00","2,909.23","3,461.24","2,797.80","3,214.54","3,487.00","2,417.16","5,389.00"
"SINAI","CHARGE","10000092","CATH VENOUS BLOOD  SAMPLING","36500","1,250.00","477.24","1,062.50","476.57","627.26","1,062.50","507.45","773.01","1,062.50","494.55","520.47","762.50","1,000.00","601.75","557.29","584.29","1,062.50","687.50","599.72","1,062.50","573.59","682.42","551.62","633.78","687.50","476.57","1,062.50"
"SINAI","CHARGE","10000093","CATH UMBILICAL VEIN","36510","570.00","217.08","484.50","225.75","308.49","484.50","241.95","327.64","484.50","262.11","256.67","347.70","456.00","272.20","294.78","309.43","484.50","313.50","315.89","484.50","175.21","217.96","231.94","270.18","313.50","175.21","484.50"
"SINAI","CHARGE","10000094","INSERT CVL NON TUNNELED <5 YRS","36555","1,800.00","983.59","1,530.00","1,022.88","1,397.74","1,530.00","1,096.27","968.23","1,530.00","1,187.62","1,162.96","1,098.00","1,440.00","1,233.30","1,335.62","1,402.00","1,530.00","990.00","1,431.22","1,530.00","793.88","987.55","1,050.89","1,224.16","990.00","793.88","1,530.00"
"SINAI","CHARGE","10000096","INSERT CVL TUNNELED 5 YRS >/=","36558","4,040.00","1,375.62","3,434.00","2,026.85","2,772.67","3,434.00","2,453.06","2,257.51","3,434.00","2,546.69","2,635.28","2,464.40","3,232.00","2,814.07","2,634.53","2,665.04","3,434.00","2,222.00","2,776.49","3,434.00","2,653.19","2,806.25","2,714.72","2,830.97","2,222.00","1,375.62","3,434.00"
"SINAI","CHARGE","10000098","INSERT CVL TUNNELED W/PORT 5 YRS >/=","36561","6,090.00","3,994.84","5,176.50","4,631.24","5,994.27","5,176.50","4,522.58","5,227.69","5,176.50","4,484.69","5,372.98","3,714.90","4,872.00","5,976.88","5,771.79","5,980.79","5,176.50","3,349.50","6,056.12","5,176.50","6,021.52","6,090.00","5,563.74","6,054.29","3,349.50","3,349.50","6,090.00"
"SINAI","CHARGE","10000102","PICC LINE INSERTION <5 YRS","36568","1,520.00","616.13","1,292.00","640.73","875.55","1,292.00","686.71","592.21","1,292.00","743.93","728.48","927.20","1,216.00","772.54","836.64","878.22","1,292.00","836.00","896.57","1,292.00","497.29","618.61","658.28","766.82","836.00","497.29","1,292.00"
"SINAI","CHARGE","10000103","PICC INSERTION","36569","3,980.00","982.08","3,383.00","1,070.51","1,244.10","3,383.00","1,086.25","1,298.44","3,383.00","1,235.53","942.57","2,427.80","3,184.00","1,263.84","1,056.86","1,104.65","3,383.00","2,189.00","2,034.97","3,383.00","1,307.36","1,482.70","1,098.38","1,171.24","2,189.00","942.57","3,383.00"
"SINAI","CHARGE","10000105","INSERT PICC W/PORT 5 YRS >/=","36571","3,560.00","1,359.17","3,026.00","1,357.27","1,786.44","3,026.00","1,445.21","2,201.53","3,026.00","1,408.47","1,482.28","2,171.60","2,848.00","1,713.78","1,587.17","1,664.05","3,026.00","1,958.00","1,708.00","3,026.00","1,633.58","1,943.54","1,571.00","1,805.01","1,958.00","1,357.27","3,026.00"
"SINAI","CHARGE","10000106","REPAIR CVL CATH","36575","1,000.00","381.79","850.00","381.26","501.81","850.00","405.96","618.41","850.00","395.64","416.37","610.00","800.00","481.40","445.83","467.43","850.00","550.00","479.77","850.00","458.87","545.94","441.29","507.02","550.00","381.26","850.00"
"SINAI","CHARGE","10000107","REPAIR CVL CATH W PORT/PUMP","36576","1,860.00","710.13","1,581.00","709.13","933.37","1,581.00","755.08","1,150.24","1,581.00","735.89","774.45","1,134.60","1,488.00","895.40","829.25","869.42","1,581.00","1,023.00","892.38","1,581.00","853.50","1,015.44","820.81","943.07","1,023.00","709.13","1,581.00"
"SINAI","CHARGE","10000108","REPLACE CVL CATH ONLY","36578","4,230.00","1,614.97","3,595.50","1,612.71","2,122.65","3,595.50","1,717.20","2,615.87","3,595.50","1,673.55","1,761.25","2,580.30","3,384.00","2,036.32","1,885.88","1,977.22","3,595.50","2,326.50","2,029.45","3,595.50","1,941.02","2,309.31","1,866.67","2,144.71","2,326.50","1,612.71","3,595.50"
"SINAI","CHARGE","10000109","REPLACE CVL NON TUNNELED COMPLETE","36580","1,860.00","710.13","1,581.00","709.13","933.37","1,581.00","755.08","1,150.24","1,581.00","735.89","774.45","1,134.60","1,488.00","895.40","829.25","869.42","1,581.00","1,023.00","892.38","1,581.00","853.50","1,015.44","820.81","943.07","1,023.00","709.13","1,581.00"
