id,accession_number,title,maker,ulan,department,classification,culture,period,creation_date,creation_date_earliest,creation_date_latest,accession_date,source_name,object_name,medium,Description,credit_line,paper_support,catalogue_raisonne,portfolio,signed,marks,inscriptions,filename,dimensions,element_type,width_cm,height_cm,depth_cm,width_in,height_in,depth_in,area_in,size_s_m_l,is_3d,orientation_p_l_s,copyright_holder,publicCaption,artistNationality,artistLifeSpan,description,terms,data_date
1,39.1.400,GRANDE MATINÉE DE BIENFAISANCE EN L'HONNEUR DES POILUS DES RÉGIONS ENVAHIES,Adrien Barrère, 500103823,WCMA,WCMA-PRINTS,,,1917,1917,1917,1939,Williams College Museum of Art,poster,poster,,Anonymous gift,,,,,,,,,,,,,,,,,,,,,,French, 1877-1931,,erm not found,2022-06-14
2,79.22,Men of Europe,Ronald B. Kitaj, 500007852,WCMA,WCMA-PRINTS,,,1972,1972,1972,1979,Williams College Museum of Art,screenprint,color screenprint on paper,,"Museum purchase, Karl E. Weston Memorial Fund",,,,,,l.r. in pencil: Kitaj 2/70,79_22.jpg,"sheet: 29 5/8 x 21 3/4 in. (75.2 x 55.2 cm)
image: 25 3/16 x 20 in. (64 x 50.8 cm)",image,50.8,64.0,0.0,20.0,25.2,0.0,504.0,large,false,P,Artist or artist's estate,,American, 1932-2007,,Term not found,2022-06-14
3,76.37.5.K,Single-coil Bracelet,Macedonia,not found,WCMA,WCMA-ANCIENT,,,750-250 BC,-750,-250,1976,Williams College Museum of Art,bracelet,bronze,,"Gift of the son and daughters of Charles Bolles Bolles-Rogers, Class of 1907: Frederick Van D. Rogers, Mary Rogers Savage, and Nancy Rogers Pierson",,,,,,no inscription,76_37_5_K.jpg,Overall: 3 5/16 x 3/8 in. (8.4 x 1 cm),Overall,1.0,0.0,0.0,0.39,0.0,0.0,0.0,small,false,L,,,not found,not found,,Term not found,2022-06-14
4,64.29.2,"The First Cornet, Streshnev",Grigory Borisov and Nikolaj Prusakov, 500084307,WCMA,WCMA-PRINTS,,,1928 (year film premiered),1928,1928,1964,Williams College Museum of Art,poster,poster,"This is a poster for a war film set in the Caucasus Mountains during World War I. Most Soviet war films from this time were designed to show how the hero\\s class consciousness as a proletarian was developed. The poster itself draws on elements of avant-garde art movements by fusing images of the film\\s characters with machines, utilizing photomontage, and how it is drawn in strong angular lines.","Gift of Telford Taylor, Class of 1928",,,,,,,IMG_64.29.2.JPG,Overall: 55 1/16 x 38 11/16 in. (139.8 x 98.2 cm),Overall,98.2,139.8,0.0,38.66,55.04,0.0,2127.85,large,false,P,,,not found,not found,"This is a poster for a war film set in the Caucasus Mountains during World War I. Most Soviet war films from this time were designed to show how the hero's class consciousness as a proletarian was developed. The poster itself draws on elements of avant-garde art movements by fusing images of the film's characters with machines, utilizing photomontage, and how it is drawn in strong angular lines.",Term not found,2022-06-14
5,81.12.1.E,"Untitled (from ""Dogs"")",Dieter Roth, 500023079,WCMA,WCMA-PRINTS,,,1979,1979,1979,1981,Williams College Museum of Art,print,color print,,"Gift of Robert Steinberg, through the Martin S. Ackerman Foundation",,,,,,u.c. in pencil: 91/100 Dieter Roth 79,IMG_81.12.1.E.jpg,sheet: 19 7/8 x 13 11/16 in. (50.5 x 34.7 cm),sheet,34.7,50.5,0.0,13.66,19.88,0.0,271.56,medium,false,P,Artist or artist's estate,,Swiss, 1930-1998,,Term not found,2022-06-14
6,69.44,Urban Renewal,Lois Novacek,not found,WCMA,WCMA-DRAWING,,,c. 1969,1964,1974,1969,Williams College Museum of Art,pastel,pastel on paper,,Museum purchase,,,,,,l.r. in red: lois,69_44.jpg,frame: 35 7/16 x 40 3/8 in. (90 x 102.5 cm),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,false,,,,not found,not found,,Term not found,2022-06-14
10,84.26.118,Page from sketchpad,Rube Goldberg, 500053744,WCMA,WCMA-DRAWING,,,no date,1883,1970,1984,Williams College Museum of Art,drawing,pencil on paper,,Gift of George W. George,,,,,,no inscription,IMG_84.26.118.jpg,Overall: 16 3/4 x 13 11/16 in. (42.5 x 34.7 cm),Overall,34.7,42.5,0.0,13.66,16.73,0.0,228.53,medium,false,P,"Rube Goldberg, Inc.",,American, 1883-1970,,Term not found,2022-06-14
11,77.52.3,"Midnight + Noon III (from the portfolio ""Midnight and Noon"")",Josef Albers, 500033049,WCMA,WCMA-PRINTS,,,1964,1964,1964,1977,Williams College Museum of Art,lithograph,lithograph on paper,,Gift of Jim Dine,,,Midnight and Noon,,,l.l. in pencil: Midnight + Noon III 8/20; l.r. in pencil: Albers 1964; verso l.r. in pencil: 1104,77_52_3.jpg,"sheet: 19 x 20 9/16 in. (48.2 x 52.3 cm)
image: 15 3/4 x 15 13/16 in. (40 x 40.2 cm)",image,40.2,40.0,0.0,15.83,15.75,0.0,249.32,medium,false,L,Artists Rights Society (ARS),,"American, born Germa", 1888-1976,,Term not found,2022-06-14
12,77.52.6,"Midnight + Noon VI (from the portfolio ""Midnight and Noon"")",Josef Albers, 500033049,WCMA,WCMA-PRINTS,,,1964,1964,1964,1977,Williams College Museum of Art,lithograph,color lithograph on paper,,Gift of Jim Dine,,,Midnight and Noon,,,l.l. in pencil: Midnight + Noon VI 8/20; l.r. in pencil: Albers 1964; verso l.r. in pencil: 1103,77_52_6.jpg,"sheet: 18 7/8 x 20 11/16 in. (48 x 52.5 cm)
image: 15 13/16 x 15 7/8 in. (40.1 x 40.4 cm)",image,40.4,40.1,0.0,15.91,15.79,0.0,251.22,medium,false,L,Artists Rights Society (ARS),,"American, born Germa", 1888-1976,,Term not found,2022-06-14
14,39.1.370,Un Pueblo Una Patria!,Toni,not found,WCMA,WCMA-PRINTS,,,c. 1930-1940,1925,1940,1939,Williams College Museum of Art,poster,poster,,Anonymous gift,,,,,,,IMG_39.1.370.JPG,Overall: 33 5/8 x 23 5/8 in. (85.4 x 60 cm),Overall,60.0,85.4,0.0,23.62,33.62,0.0,794.1,large,false,P,,,not found,not found,,Term not found,2022-06-14
