object_number,accession_number,title,maker_full_name,culture,period,date_description,year_start,year_end,accession_year,category,materials,credit_line,inscriptions,dimensions,image_url,source_1,maker_birth_year,maker_death_year,institution_name,institution_city,institution_state,institution_country,institution_latitude,institution_longitude
1,39.1.400,GRANDE MATINÉE DE BIENFAISANCE EN L'HONNEUR DES POILUS DES RÉGIONS ENVAHIES,Adrien Barrère,,,1917,1917,1917,1939,poster,poster,Anonymous gift,,,https://get-thumb.herokuapp.com/getThumb.php?objectid=1,https://github.com/wcmaart/collection, 1877,1931,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
2,79.22,Men of Europe,Ronald B. Kitaj,,,1972,1972,1972,1979,screenprint,color screenprint on paper,"Museum purchase, Karl E. Weston Memorial Fund",l.r. in pencil: Kitaj 2/70,"sheet: 29 5/8 x 21 3/4 in. (75.2 x 55.2 cm)
image: 25 3/16 x 20 in. (64 x 50.8 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=2,https://github.com/wcmaart/collection, 1932,2007,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
3,76.37.5.K,Single-coil Bracelet,Macedonia,,,750-250 BC,-750,-250,1976,bracelet,bronze,"Gift of the son and daughters of Charles Bolles Bolles-Rogers, Class of 1907: Frederick Van D. Rogers, Mary Rogers Savage, and Nancy Rogers Pierson",,Overall: 3 5/16 x 3/8 in. (8.4 x 1 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=3,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
4,64.29.2,"The First Cornet, Streshnev",Grigory Borisov and Nikolaj Prusakov,,,1928 (year film premiered),1928,1928,1964,poster,poster,"Gift of Telford Taylor, Class of 1928",,Overall: 55 1/16 x 38 11/16 in. (139.8 x 98.2 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=4,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
5,81.12.1.E,"Untitled (from ""Dogs"")",Dieter Roth,,,1979,1979,1979,1981,print,color print,"Gift of Robert Steinberg, through the Martin S. Ackerman Foundation",u.c. in pencil: 91/100 Dieter Roth 79,sheet: 19 7/8 x 13 11/16 in. (50.5 x 34.7 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=5,https://github.com/wcmaart/collection, 1930,1998,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
6,69.44,Urban Renewal,Lois Novacek,,,c. 1969,1964,1974,1969,pastel,pastel on paper,Museum purchase,l.r. in red: lois,frame: 35 7/16 x 40 3/8 in. (90 x 102.5 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=6,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
10,84.26.118,Page from sketchpad,Rube Goldberg,,,,1883,1970,1984,drawing,pencil on paper,Gift of George W. George,,Overall: 16 3/4 x 13 11/16 in. (42.5 x 34.7 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=10,https://github.com/wcmaart/collection, 1883,1970,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
11,77.52.3,"Midnight + Noon III (from the portfolio ""Midnight and Noon"")",Josef Albers,,,1964,1964,1964,1977,lithograph,lithograph on paper,Gift of Jim Dine,l.l. in pencil: Midnight + Noon III 8/20; l.r. in pencil: Albers 1964; verso l.r. in pencil: 1104,"sheet: 19 x 20 9/16 in. (48.2 x 52.3 cm)
image: 15 3/4 x 15 13/16 in. (40 x 40.2 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=11,https://github.com/wcmaart/collection, 1888,1976,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
12,77.52.6,"Midnight + Noon VI (from the portfolio ""Midnight and Noon"")",Josef Albers,,,1964,1964,1964,1977,lithograph,color lithograph on paper,Gift of Jim Dine,l.l. in pencil: Midnight + Noon VI 8/20; l.r. in pencil: Albers 1964; verso l.r. in pencil: 1103,"sheet: 18 7/8 x 20 11/16 in. (48 x 52.5 cm)
image: 15 13/16 x 15 7/8 in. (40.1 x 40.4 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=12,https://github.com/wcmaart/collection, 1888,1976,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
14,39.1.370,Un Pueblo Una Patria!,Toni,,,c. 1930-1940,1925,1940,1939,poster,poster,Anonymous gift,,Overall: 33 5/8 x 23 5/8 in. (85.4 x 60 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=14,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
15,75.4,Portrait of Pink Horwitt,Edna Reindel,,,1932,1932,1932,1975,painting,oil on canvas,Gift of Pink Horwitt,l.r. in oil: Edna Reindel/ 1932,Overall: 20 1/16 x 18 1/16 in. (51 x 45.8 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=15,https://github.com/wcmaart/collection, 1900,1990,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
18,60.13,"Madonna of Humility, with Angels",Giovanni di Nicola da Pisa,,,14th century,1300,1399,1960,panel,tempera on panel,Gift of the Samuel H. Kress Foundation,,frame: 38 9/16 x 23 1/4 in. (98 x 59 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=18,https://github.com/wcmaart/collection, act. 1326,58,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
19,92.17.42.F,"Old Pier and Fish houses, Magnolia, Mass",George Wainwright Harvey,,,1928,1928,1928,1992,etching,etching on paper,Anonymous gift,"l.r. in pencil: GeowHarvey; l.c. in pencil: Old Pier and Fish-Houses-Magnolia Mass-(about 1890)/ Imp.1928- Geo.Wainwright Harvey-Annisquam,Mass-","sheet: 6 x 7 7/16 in. (15.3 x 18.9 cm)
plate: 3 1/16 x 4 3/16 in. (7.7 x 10.6 cm)
image: 3 3/8 x 4 3/16 in. (8.6 x 10.6 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=19,https://github.com/wcmaart/collection, 1855,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
