cms_certification_num,name,address,city,state,zip5,beds,phone_number,homepage_url,chargemaster_url,last_edited_by_username
193031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ALEXAN,104 NORTH THIRD STREET,ALEXANDRIA,LA,71301,47,3184491370,https://encompasshealth.com/locations/alexandriarehab/transparency-healthcare,https://encompasshealth.com/-/media/healthsouth/project/healthsouth/files/2022-price-transparency/25-1659391_encompass-health-rehabilitation-hospital-of-alexandria_standardcharges.csv,mysequel
203025,"HEALTHSOUTH/MAINE MEDICAL CENTER, LLC","335 BRIGHTON AVENUE, UNIT 201",PORTLAND,ME,4102,100,2077754000,https://encompasshealth.com/locations/nerhp/transparency-healthcare,https://encompasshealth.com/-/media/healthsouth/project/healthsouth/files/2022-price-transparency/721371920new-england-rehabilitation-hospital-of-portland-a-joint-venture-of-maine-medical-standard.csv,mysequel
213028,ENCOMPASS HEALTH REHAB HOSPITAL OF SALISBURY,220 TILGHMAN ROAD,SALISBURY,MD,21804,64,4105464600,https://encompasshealth.com/locations/salisburyrehab/transparency-healthcare,https://encompasshealth.com/-/media/healthsouth/project/healthsouth/files/2022-price-transparency/23-2655290_encompass-health-rehabilitation-hospital-of-salisbury_standardcharges.csv,mysequel
223026,ENCOMPASS HEALTH REHABILITATION HOSP OF NEW ENGLAN,2 REHABILITATION WAY,WOBURN,MA,1801,210,7819355050,https://encompasshealth.com/locations/newenglandrehab/transparency-healthcare,https://encompasshealth.com/-/media/healthsouth/project/healthsouth/files/2022-price-transparency/90-1015581_encompass-health-rehabilitation-hospital-of-new-england_standardcharges.csv,mysequel
223027,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,250 POND STREET,BRAINTREE,MA,2184,187,7818485353,https://encompasshealth.com/locations/braintreerehab/transparency-healthcare,https://encompasshealth.com/-/media/healthsouth/project/healthsouth/files/2022-price-transparency/90-1015323_encompass-health-rehabilitation-hospital-of-braintree_standardcharges.csv,mysequel
223029,"FAIRLAWN REHAB HOSP, AN AFFILIATE OF ENCOMPASS HLT",189 MAY STREET,WORCESTER,MA,1602,110,5087916351,https://encompasshealth.com/locations/fairlawnrehab/transparency-healthcare,https://encompasshealth.com/-/media/healthsouth/project/healthsouth/files/2022-price-transparency/04-2948290_fairlawn-rehabilitation-hospital-an-affiliate-of-encompass-health-_standardcharges.csv,mysequel
223030,ENCOMPASS HEALTH REHAB HOSPITAL OF WESTERN MASS,222 STATE STREET,LUDLOW,MA,1056,53,4135897581,https://encompasshealth.com/locations/westernmassrehab/transparency-healthcare,https://encompasshealth.com/-/media/healthsouth/project/healthsouth/files/2022-price-transparency/04-2987822_encompass-health-rehabilitation-hospital-of-western-massachusetts_standardcharges.csv,mysequel
063030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CO SPG,325 PARKSIDE DR,COLORADO SPRINGS,CO,80910,64,7196308000,https://encompasshealth.com/locations/coloradospringsrehab/transparency-healthcare,https://encompasshealth.com/-/media/healthsouth/project/healthsouth/files/2022-price-transparency/25-1612420_encompass-health-rehabilitation-hospital-of-colorado-springs_standardcharges.csv,mysequel
063034,ENCOMPASS HEALTH REHAB HOSPITAL OF LITTLETON,1001 W MINERAL AVE,LITTLETON,CO,80120,40,3033341100,https://encompasshealth.com/locations/littletonrehab/transparency-healthcare,https://encompasshealth.com/-/media/healthsouth/project/healthsouth/files/2022-price-transparency/83-1877464_encompass-health-rehabilitation-hospital-of-littleton_standardcharges.csv,mysequel
013025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,100,2058682000,https://encompasshealth.com/locations/lakeshorerehab/transparency-healthcare,https://encompasshealth.com/-/media/healthsouth/project/healthsouth/files/2022-price-transparency/62-1178229_encompass-health-lakeshore-rehabilitation-hospital_standardcharges.csv,mysequel
