Payer,Nulls,Non-null
Gross Charge,386,2043
cash price,386,2043
MIN,4,2425
MAx,4,2425
Aetna AET,2427,2
Aetna Medicare,2427,2
Alamed,2427,2
BC Fep,2428,1
BCBS of Al Exchange,2428,1
BCBS of AL Medicare Adv,2049,380
BCBS of AL,2428,1
Careworks,386,2043
careworks work comp,386,2043
cigna,2428,1
corvel,386,2043
first health work comp,2428,1
global excel management,2428,1
health choice of alabmama,386,2043
healthspring medicare,2049,380
humana mcr peehip only,2049,380
kempton group,2049,380
multiplan,386,2043
tricare,2049,380
UHC va ccn,2049,380
united healthcare ,2428,1
united healthcare medicare,2049,380
united mine workers,2049,380
viva health,2427,2
viva medicare,2428,1
