Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna_W,Aetna_PPO,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna_GPPO,Cigna_PPO,Exchange_-Common_Ground,Exchange_-Molina,Health_EOS_Plus,Health_EOS_PPO,HPS,Humana_WVN,Humana_HPN_HMO,Humana_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA_State_and_Trust,WEA_Broad,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"BURLINGTON","CHARGE","10000002","ROOM CHARGE MED SURG","","2,220.00","1,182.01","1,887.00","1,123.80","1,430.76","1,887.00","1,172.09","1,527.58","1,887.00","1,239.81","1,286.44","1,354.20","1,776.00","1,239.92","1,079.86","1,128.56","1,887.00","1,221.00","1,377.58","1,887.00","1,055.66","1,318.68","1,253.30","1,412.83","1,221.00","1,055.66","1,887.00"
"BURLINGTON","CHARGE","10000003","ROOM CHARGE WOMEN'S HEALTH","","2,220.00","1,172.05","1,887.00","1,134.64","1,442.06","1,887.00","1,168.26","1,534.43","1,887.00","1,238.74","1,281.30","1,354.20","1,776.00","1,236.71","1,091.63","1,140.68","1,887.00","1,221.00","1,398.49","1,887.00","1,053.04","1,314.45","1,248.01","1,404.88","1,221.00","1,053.04","1,887.00"
"BURLINGTON","CHARGE","10000005","ROOM CHARGE NURSERY LEVEL 1","","1,500.00","791.93","1,275.00","766.65","974.36","1,275.00","789.36","1,036.78","1,275.00","836.99","865.74","915.00","1,200.00","835.62","737.59","770.73","1,275.00","825.00","944.93","1,275.00","711.51","888.14","843.25","949.24","825.00","711.51","1,275.00"
"BURLINGTON","CHARGE","10000006","ROOM CHARGE NURSERY LEVEL 2","","1,820.00","960.87","1,547.00","930.20","1,182.23","1,547.00","957.76","1,257.96","1,547.00","1,015.55","1,050.44","1,110.20","1,456.00","1,013.88","894.94","935.15","1,547.00","1,001.00","1,146.51","1,547.00","863.30","1,077.61","1,023.15","1,151.75","1,001.00","863.30","1,547.00"
"BURLINGTON","CHARGE","10000007","ROOM CHARGE NURSERY LEVEL 3","","2,430.00","1,282.92","2,065.50","1,241.97","1,578.47","2,065.50","1,278.77","1,679.58","2,065.50","1,355.92","1,402.50","1,482.30","1,944.00","1,353.70","1,194.89","1,248.58","2,065.50","1,336.50","1,530.78","2,065.50","1,152.65","1,438.79","1,366.07","1,537.77","1,336.50","1,152.65","2,065.50"
"BURLINGTON","CHARGE","10000008","ROOM CHARGE ICU OR CCU","","3,800.00","2,023.20","3,230.00","2,077.42","2,572.33","3,230.00","2,051.18","2,699.19","3,230.00","2,188.02","2,230.39","2,318.00","3,040.00","2,172.12","2,019.51","2,102.61","3,230.00","2,090.00","2,583.77","3,230.00","1,878.41","2,299.57","2,181.57","2,411.46","2,090.00","1,878.41","3,230.00"
"BURLINGTON","CHARGE","10000009","LACTATION CONSULT EXTENDED","","190.00","116.07","161.50","110.32","137.10","161.50","115.91","144.94","161.50","122.59","125.02","115.90","152.00","121.95","107.14","111.91","161.50","104.50","136.82","161.50","105.16","129.73","124.13","136.07","104.50","104.50","161.50"
"BURLINGTON","CHARGE","10000010","LACTATION CONSULT LIMITED","","130.00","79.42","110.50","75.48","93.80","110.50","79.31","99.17","110.50","83.87","85.54","79.30","104.00","83.44","73.31","76.57","110.50","71.50","93.61","110.50","71.95","88.76","84.93","93.10","71.50","71.50","110.50"
"BURLINGTON","CHARGE","10000013","PHOTOTHERAPY, PER DAY","","320.00","195.49","272.00","185.80","230.90","272.00","195.22","244.11","272.00","206.46","210.56","195.20","256.00","205.38","180.45","188.48","272.00","176.00","230.43","272.00","177.11","218.50","209.06","229.17","176.00","176.00","272.00"
"BURLINGTON","CHARGE","10000016","NURSING L&D PER HOUR","","230.00","140.51","195.50","133.54","165.96","195.50","140.31","175.45","195.50","148.39","151.34","140.30","184.00","147.62","129.70","135.47","195.50","126.50","165.62","195.50","127.30","157.04","150.26","164.71","126.50","126.50","195.50"
