name,url,added_rows,deleted_rows,modified_rows,modified_cells
Another 20 files,https://www.dolthub.com/repositories/dolthub/quest/pulls/53,9264.0,0.0,0.0,0.0
One file,https://www.dolthub.com/repositories/dolthub/quest/pulls/52,2.0,0.0,0.0,0.0
Redo of previous PR from me that was unmerged. (Anthem data),https://www.dolthub.com/repositories/dolthub/quest/pulls/51,10137.0,0.0,7.0,7.0
Add Anthem file URLs for further processing,https://www.dolthub.com/repositories/dolthub/quest/pulls/50,3378.0,0.0,0.0,0.0
forth batch: ~310,https://www.dolthub.com/repositories/dolthub/quest/pulls/49,6804.0,0.0,244.0,244.0
Additional 20 files,https://www.dolthub.com/repositories/dolthub/quest/pulls/48,7750.0,0.0,0.0,0.0
Trial,https://www.dolthub.com/repositories/dolthub/quest/pulls/46,18.0,0.0,252.0,252.0
third batch: ~500 urls,https://www.dolthub.com/repositories/dolthub/quest/pulls/43,24407.0,0.0,212.0,212.0
"Fourth batch, around 80 files",https://www.dolthub.com/repositories/dolthub/quest/pulls/42,72000.0,0.0,26.0,26.0
Third batch of data from Anthem URLs.,https://www.dolthub.com/repositories/dolthub/quest/pulls/41,10137.0,0.0,20.0,20.0
second batch: ~230 URLS,https://www.dolthub.com/repositories/dolthub/quest/pulls/40,67297.0,0.0,234.0,234.0
Additional 80 files processed,https://www.dolthub.com/repositories/dolthub/quest/pulls/39,44346.0,0.0,25.0,25.0
Second batch of about 300 files,https://www.dolthub.com/repositories/dolthub/quest/pulls/38,511637.0,0.0,0.0,0.0
Second batch of data from Anthem URLs,https://www.dolthub.com/repositories/dolthub/quest/pulls/37,586884.0,0.0,1.0,1.0
Redo of first batch of Anthem files,https://www.dolthub.com/repositories/dolthub/quest/pulls/36,297442.0,0.0,0.0,0.0
batch of ~360 urls,https://www.dolthub.com/repositories/dolthub/quest/pulls/35,291074.0,0.0,0.0,0.0
First batch of 439 files from Anthem,https://www.dolthub.com/repositories/dolthub/quest/pulls/34,153895.0,0.0,0.0,0.0
Validate good data from single Anthem URL,https://www.dolthub.com/repositories/dolthub/quest/pulls/33,473.0,0.0,0.0,0.0
First batch of Anthem data!,https://www.dolthub.com/repositories/dolthub/quest/pulls/32,620482.0,0.0,1.0,1.0
test new format,https://www.dolthub.com/repositories/dolthub/quest/pulls/31,11.0,0.0,0.0,0.0
2023 Blue Shield (CA) (+ hash collision),https://www.dolthub.com/repositories/dolthub/quest/pulls/30,27326.0,0.0,0.0,0.0
All the data from Anthem (Elevance Health) that fits the constraints. Again.,https://www.dolthub.com/repositories/dolthub/quest/pulls/28,24027.0,0.0,1.0,4.0
Most everything.,https://www.dolthub.com/repositories/dolthub/quest/pulls/27,24027.0,0.0,1.0,4.0
[title removed],https://www.dolthub.com/repositories/dolthub/quest/pulls/26,44875.0,0.0,0.0,0.0
All (I think) of BCBS Colorado,https://www.dolthub.com/repositories/dolthub/quest/pulls/25,1021.0,0.0,0.0,0.0
Elevance Health,https://www.dolthub.com/repositories/dolthub/quest/pulls/23,24100.0,0.0,2.0,6.0
BCBS Nevada,https://www.dolthub.com/repositories/dolthub/quest/pulls/22,30309.0,0.0,0.0,0.0
Third attempt,https://www.dolthub.com/repositories/dolthub/quest/pulls/21,257.0,0.0,0.0,0.0
Testing,https://www.dolthub.com/repositories/dolthub/quest/pulls/4,117457.0,0.0,0.0,0.0
Update Readme,https://www.dolthub.com/repositories/dolthub/quest/pulls/3,0.0,0.0,1.0,1.0
Update Readme,https://www.dolthub.com/repositories/dolthub/quest/pulls/2,1.0,0.0,0.0,0.0
Add Readme,https://www.dolthub.com/repositories/dolthub/quest/pulls/1,,,,
