name,business_type,state_registered,street_registered,city_registered,zip5_registered,corp_id
SALLISAW TELEPHONE COMPANY,CORPORATION,OK,,,,1900000025
THE INDIAN TERRITORY BUILDING AND LOAN ASSOCIATION,CORPORATION,OK,,,,1900000030
SOUTH MCALESTER EUFAULA TELEPHONE COMPANY,CORPORATION,OK,,,,1900000041
MOORE'S WHOLESALE GROCERY COMPANY,CORPORATION,OK,,,,1900000106
POTEAU TELEPHONE COMPANY,CORPORATION,OK,,,,1900000117
FARMERS AND MERCHANTS RAILROAD COMPANY,CORPORATION,OK,,,,1900000128
OKLAHOMA SOUTHERN RAILROAD COMPANY,CORPORATION,OK,,,,1900000129
THE MORRIS J. SANGO BAPTIST COLLEGE,CORPORATION,OK,,,,1900000166
PILGRIMS REST CONGREGATION CHURCH,CORPORATION,OK,,,,1900000203
THE WINNIPEG AND GALVESTON RAILROAD COMPANY,CORPORATION,OK,,,,1900000205
THE UNION IRON WORKS,CORPORATION,OK,,,,1900000230
"THE FT. SMITH, CHECOTAH AND SHAWNEE INTERURBAN RAILWAY",CORPORATION,OK,,,,1900000232
"COALGATE, SULPHUR AND WESTERN RAILWAY' COMPANY",CORPORATION,OK,,,,1900000237
"KANSAS CITY, TULSA, TEXAS & GULF RAILWAY COMPANY",CORPORATION,OK,,,,1900000264
CANADIAN MIDLAND RAILROAD COMPANY,CORPORATION,OK,,,,1900000278
THE CHICKASAW ELECTRIC RAILWAY COMPANY,CORPORATION,OK,,,,1900000279
MOUNTAIN VIEW LODGE 95 IOOF,CORPORATION,OK,,,,1900000289
WAKITA LODGE 49 IOOF,CORPORATION,OK,,,,1900000292
THE COLORED HOME PROTECTION ASSOCIATION,CORPORATION,OK,,,,1900000312
THE ST. LOUIS AND OKLAHOMA SOUTHERN RAILWAY COMPANY,CORPORATION,OK,,,,1900000348
PERKINS LODGE NO. 23 A. F. AND A. M.,CORPORATION,OK,,,,1900000364
