Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna_W,Aetna_PPO,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna_GPPO,Cigna_PPO,Exchange_-Common_Ground,Exchange_-Molina,Health_EOS_Plus,Health_EOS_PPO,HPS,Humana_WVN,Humana_HPN_HMO,Humana_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA_State_and_Trust,WEA_Broad,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"GRAFTON","CHARGE","10000002","ROOM CHARGE MED SURG","","2,450.00","1,143.39","2,082.50","1,085.63","1,376.86","2,082.50","1,130.32","1,474.32","2,082.50","1,195.62","1,237.82","1,494.50","1,960.00","1,198.89","1,046.94","1,092.65","2,082.50","1,347.50","1,376.40","2,082.50","1,030.77","1,280.59","1,205.49","1,361.61","1,347.50","1,030.77","2,082.50"
"GRAFTON","CHARGE","10000003","ROOM CHARGE WOMEN'S HEALTH","","2,450.00","1,122.58","2,082.50","1,162.10","1,556.29","2,082.50","1,139.47","1,976.00","2,082.50","1,424.77","1,184.86","1,494.50","1,960.00","1,289.27","1,174.15","1,230.26","2,082.50","1,347.50","1,401.17","2,082.50","1,011.78","1,293.65","1,211.62","1,400.29","1,347.50","1,011.78","2,082.50"
"GRAFTON","CHARGE","10000004","ROOM CHARGE PEDIATRICS","","2,450.00","1,251.78","2,082.50","1,236.38","1,566.85","2,082.50","1,258.96","1,717.53","2,082.50","1,384.66","1,344.96","1,494.50","1,960.00","1,362.53","1,235.41","1,283.38","2,082.50","1,347.50","1,501.63","2,082.50","1,101.47","1,377.38","1,307.62","1,477.86","1,347.50","1,101.47","2,082.50"
"GRAFTON","CHARGE","10000005","ROOM CHARGE NURSERY LEVEL 1","","1,500.00","966.05","1,275.00","986.46","1,245.92","1,275.00","966.66","1,278.54","1,275.00","1,028.28","1,012.28","915.00","1,200.00","1,057.70","992.40","1,027.81","1,275.00","825.00","1,139.89","1,275.00","814.33","1,028.53","935.73","1,052.43","825.00","814.33","1,278.54"
"GRAFTON","CHARGE","10000006","ROOM CHARGE NURSERY LEVEL 2","","1,820.00","929.89","1,547.00","918.45","1,163.95","1,547.00","935.23","1,275.88","1,547.00","1,028.61","999.11","1,110.20","1,456.00","1,012.16","917.74","953.37","1,547.00","1,001.00","1,115.50","1,547.00","818.24","1,023.20","971.37","1,097.84","1,001.00","818.24","1,547.00"
"GRAFTON","CHARGE","10000007","ROOM CHARGE NURSERY LEVEL 3","","2,430.00","1,991.43","2,065.50","2,070.79","2,356.47","2,065.50","2,133.00","2,202.66","2,065.50","2,233.63","2,207.54","1,482.30","1,944.00","2,279.54","2,318.12","2,338.33","2,065.50","1,336.50","2,340.51","2,065.50","1,514.97","1,852.35","2,068.17","2,270.85","1,336.50","1,336.50","2,356.47"
"GRAFTON","CHARGE","10000008","ROOM CHARGE ICU OR CCU","","3,250.00","1,608.86","2,762.50","1,534.23","1,944.36","2,762.50","1,603.43","2,090.70","2,762.50","1,741.40","1,723.94","1,982.50","2,600.00","1,728.34","1,485.94","1,552.98","2,762.50","1,787.50","1,775.82","2,762.50","1,507.67","1,865.92","1,660.35","1,856.54","1,787.50","1,485.94","2,762.50"
"GRAFTON","CHARGE","10000009","LACTATION CONSULT EXTENDED","","190.00","126.44","161.50","129.84","157.39","161.50","128.70","161.92","161.50","136.20","134.12","115.90","152.00","139.33","134.08","137.59","161.50","104.50","147.36","161.50","99.50","126.00","124.97","138.94","104.50","99.50","161.92"
"GRAFTON","CHARGE","10000010","LACTATION CONSULT LIMITED","","130.00","84.23","110.50","86.29","106.58","110.50","85.16","110.85","110.50","90.86","88.87","79.30","104.00","92.74","88.50","91.22","110.50","71.50","98.99","110.50","69.03","86.71","82.87","92.62","71.50","69.03","110.85"
"GRAFTON","CHARGE","10000013","PHOTOTHERAPY, PER DAY","","320.00","204.31","272.00","213.29","264.17","272.00","216.24","256.76","272.00","231.46","227.67","195.20","256.00","238.46","237.41","243.70","272.00","176.00","253.12","272.00","152.09","193.56","207.39","237.14","176.00","152.09","272.00"
"GRAFTON","CHARGE","10000016","NURSING L&D PER HOUR","","325.00","129.54","276.25","134.40","182.15","276.25","130.88","253.82","276.25","174.00","137.74","198.25","260.00","151.61","136.20","142.91","276.25","178.75","167.03","276.25","116.26","149.87","142.97","166.15","178.75","116.26","276.25"
"GRAFTON","CHARGE","10000019","BREAST ASPIRATE CYST EA ADDL","19001","335.00","126.20","284.75","114.05","151.20","284.75","119.99","156.63","284.75","116.57","123.23","204.35","268.00","139.55","127.25","133.37","284.75","184.25","137.59","284.75","120.99","153.55","130.02","149.61","184.25","114.05","284.75"
"GRAFTON","CHARGE","10000033","ARTHROGRAM SHOULDER INJECT","23350","760.00","168.06","646.00","176.92","250.18","646.00","110.48","456.00","646.00","157.40","203.15","463.60","608.00","300.26","250.83","263.71","646.00","418.00","186.79","646.00","224.61","292.17","233.85","272.86","418.00","110.48","646.00"
"GRAFTON","CHARGE","10000034","ARTHROGRAM ELBOW INJECT","24220","760.00","308.56","646.00","309.88","404.41","646.00","317.62","419.47","646.00","331.65","342.93","463.60","608.00","382.78","362.10","375.88","646.00","418.00","387.44","646.00","307.05","386.13","344.41","392.88","418.00","307.05","646.00"
"GRAFTON","CHARGE","10000035","ARTHROGRAM WRIST INJECT","25246","760.00","166.44","646.00","175.10","247.65","646.00","109.33","456.00","646.00","155.80","201.13","463.60","608.00","297.27","248.48","261.25","646.00","418.00","184.98","646.00","222.41","289.33","233.62","272.42","418.00","109.33","646.00"
"GRAFTON","CHARGE","10000036","ARTHROGRAM HIP INJECT","27093","760.00","147.14","646.00","154.78","218.35","646.00","96.63","456.00","646.00","137.74","176.44","463.60","608.00","262.52","217.06","228.19","646.00","418.00","161.82","646.00","195.83","254.55","204.64","238.63","418.00","96.63","646.00"
"GRAFTON","CHARGE","10000037","ARTHROGRAM KNEE INJECT","27369","880.00","193.03","748.00","202.97","287.06","748.00","126.76","528.00","748.00","180.62","233.24","536.80","704.00","344.56","287.98","302.72","748.00","484.00","214.32","748.00","257.88","335.37","270.42","315.39","484.00","126.76","748.00"
"GRAFTON","CHARGE","10000038","ARTHROGRAM ANKLE INJECT","27648","760.00","308.56","646.00","309.88","404.41","646.00","317.62","419.47","646.00","331.65","342.93","463.60","608.00","382.78","362.10","375.88","646.00","418.00","387.44","646.00","307.05","386.13","344.41","392.88","418.00","307.05","646.00"
"GRAFTON","CHARGE","10000058","ENDO REPAIR TAA WO SUBCLAVIAN","33881","6,550.00","2,467.58","5,567.50","2,229.97","2,956.26","5,567.50","2,346.13","3,062.56","5,567.50","2,279.21","2,409.39","3,995.50","5,240.00","2,728.45","2,488.10","2,607.65","5,567.50","3,602.50","2,690.28","5,567.50","2,365.54","3,002.29","2,542.12","2,925.17","3,602.50","2,229.97","5,567.50"
"GRAFTON","CHARGE","10000075","HANDLING FEE","99001","20.00","9.24","17.00","8.96","11.49","17.00","9.22","11.49","17.00","9.81","9.71","12.20","16.00","10.31","9.27","9.65","17.00","11.00","10.41","17.00","8.39","10.48","9.82","11.13","11.00","8.39","17.00"
"GRAFTON","CHARGE","10000080","SELECTIVE  CATH 1ST ORDER THORACIC","36215","2,300.00","866.48","1,955.00","783.04","1,038.08","1,955.00","823.83","1,075.40","1,955.00","800.33","846.05","1,403.00","1,840.00","958.08","873.69","915.66","1,955.00","1,265.00","944.68","1,955.00","830.65","1,054.24","892.65","1,027.16","1,265.00","783.04","1,955.00"
"GRAFTON","CHARGE","10000081","SELECTIVE CATH 2ND ORDER THORACIC","36216","2,300.00","866.48","1,955.00","783.04","1,038.08","1,955.00","823.83","1,075.40","1,955.00","800.33","846.05","1,403.00","1,840.00","958.08","873.69","915.66","1,955.00","1,265.00","944.68","1,955.00","830.65","1,054.24","892.65","1,027.16","1,265.00","783.04","1,955.00"
