"Banner - University Medical Center Phoenix","https://www.cdmpricing.com/f3e6b4138e9802fa49983b8b277b62f9"
"Banner - University Medical Center South","https://www.cdmpricing.com/42bbb6f87933e7c2a6231027605a8566"
"Banner - University Medical Center Tucson","https://www.cdmpricing.com/be222bd54fd847aed65ee681547f6476"
"Banner Baywood Medical Center","https://www.cdmpricing.com/585924912a2cd5e02db64c2aebdd44b5"
"Banner Behavioral Health Hospital","https://www.cdmpricing.com/3d341025cdd3be852c03575365bd3382"
"Banner Boswell Medical Center","https://www.cdmpricing.com/eb7dc9d05fb2a1a8907907f931c410c2"
"Banner Casa Grande Medical Center","https://www.cdmpricing.com/3cfb3cf906698fc70da08c5ac2b6692b"
"Banner Del E. Webb Medical Center","https://www.cdmpricing.com/1bac539ab924151e457b3e9d47e805e6"
"Banner Desert Medical Center/Cardon Children's Medical Center","https://www.cdmpricing.com/09b90da1083f2414ce45e5834909e66a"
"Banner Estrella Medical Center","https://www.cdmpricing.com/88f9218893a7ed69a61a28c4d4ad57ae"
"Banner Gateway Medical Center/Banner MD Anderson Cancer Center","https://www.cdmpricing.com/d04809cfbe49a3e36c86a89963b11e9e"
"Banner Goldfield Medical Center","https://www.cdmpricing.com/d152e911f950470bc45e6e9d3bf6c190"
"Banner Heart Hospital","https://www.cdmpricing.com/acc1ddbb6da6484a54c68fb1a6e7b373"
"Banner Ironwood Medical Center","https://www.cdmpricing.com/5411243ade91ad4636c25a1a7893dff6"
"Banner Ocotillo Medical Center","https://www.cdmpricing.com/ae012ff8ccbd5cb389c2cf8d21a61d19"
"Banner Payson Medical Center","https://www.cdmpricing.com/35a5674bdfc0ca1fbda7a02ee32e62c0"
"Banner Rehabilitation Hospitals","https://www.bannerhealth.com/patients/billing/pricing-resources/hospital-price-transparency/banner-rehab-hospital-inpatient"
"Banner Thunderbird Medical Center","https://www.cdmpricing.com/0559f2257dbba2fa82528ab3a6b07d69"
"Page Hospital","https://www.cdmpricing.com/d95d13128d2fdfa76c86ee952e439d95"
"Banner Lassen Medical Center","https://www.cdmpricing.com/58b9711892823fdfbe9216587e7b2d09"
"Banner Fort Collins Medical Center","https://www.cdmpricing.com/37cdb181c73f9a24e83a4b98eaac3589"
"McKee Medical Center","https://www.cdmpricing.com/7199f0699b8122c254efe763c6091d00"
"North Colorado Medical Center","https://www.cdmpricing.com/b7843bd1aed8398665277f1dd1f74be4"
"Sterling Regional Medical Center","https://www.cdmpricing.com/fa47ddb150af8e935c7b21e78547f531"
"East Morgan County Hospital","https://www.cdmpricing.com/b6da3d185092cf080ca03f47d845d33c"
"Ogallala Community Hospital","https://www.cdmpricing.com/a6bb005af0e387343425bab5557a078f"
"Banner Churchill Community Hospital","https://www.cdmpricing.com/d310a4fd4e69ba0d31f4c10d95f7d7e7"
"Banner Wyoming Medical Center Central Campus","https://www.cdmpricing.com/44cfd428729a1d6ff451462c0c696037/standard-charges"
"Banner Wyoming Medical Center East Campus","https://www.cdmpricing.com/af4369c01c9f4ed50a279839e12e32eb/standard-charges"
"Community Hospital","https://www.cdmpricing.com/4b03a29374010f22d3d1e0cf8d2e26ea"
"Washakie Medical Center","https://www.cdmpricing.com/4f223e503a44d435c96685a9a38a9864"
"Platte County Memorial Hospital","https://www.cdmpricing.com/8ad6766fce7c182be1c85848ce4b21c9"
