name,city,state,address,zip,website,category,public_private,district,lat,lon
STATE LINE ELEMENTARY,NEW PINE CREEK,CA,245 CO RD. 45,97635,http://sles.modoc.k12.ca.us/,ELEMENTARY,PUBLIC,SPLENDORA INDEPENDENT SCHOOL DISTRICT,41.988636,-120.295006
STATE ROAD ELEMENTARY,LA CROSSE,WI,3900 PAMMEL CREEK RD,54601,https://www.lacrosseschools.org,ELEMENTARY,PUBLIC,LA CROSSE SCHOOL DISTRICT,43.786907,-91.19988
STATE ROAD ELEMENTARY SCHOOL,FENTON,MI,1161 STATE RD,48430,https://www.fentonschools.org,ELEMENTARY,PUBLIC,FENTON AREA PUBLIC SCHOOLS,42.784283,-83.71314
STATE ROAD ELEMENTARY SCHOOL,WEBSTER,NY,1401 STATE RD,14580,https://www.websterschools.org,ELEMENTARY,PUBLIC,WEBSTER CENTRAL SCHOOL DISTRICT,43.20071,-77.419975
STATE SCHOOL FOR THE BLIND,COLUMBUS,OH,5220 N HIGH ST,43214,https://ohio.gov/wps/portal/gov/site/government/state-agencies/school-for-the-blind,HIGH,PUBLIC,OHIO SCHOOL FOR THE BLIND,40.06917,-83.0122
STATE STREET ACADEMY,BAY CITY,MI,1110 STATE ST,48706,https://www.statestreetacademy.org,ELEMENTARY,PUBLIC,STATE STREET ACADEMY,43.618015,-83.89401
STATE STREET EL SCH,BADEN,PA,600 HARMONY ROAD,15005,,ELEMENTARY,PUBLIC,AMBRIDGE AREA SCHOOL DISTRICT,40.630142,-80.22466
STATE STREET ELEM,TOPEKA,KS,500 NE SUMNER ST,66616,https://www.topekapublicschools.net/,ELEMENTARY,PUBLIC,TOPEKA PUBLIC SCHOOLS,39.061863,-95.64343
STATE STREET ELEMENTARY,SOUTH GATE,CA,3211 SANTA ANA ST.,90280,http://www.statees-lausd-ca.schoolloop.com/,ELEMENTARY,PUBLIC,LOS ANGELES UNIFIED,33.964077,-118.21169
STATE STREET HIGH SCHOOL,SEDRO-WOOLLEY,WA,800 STATE STREET,98284,https://www.swsd.k12.wa.us,HIGH,PUBLIC,SEDRO-WOOLLEY SCHOOL DISTRICT,48.503677,-122.22786
