"",,,Other Federal,,,Pre-,Pre-,Total
"",TDOC,Local,Conv. &,,Conv.,trial,trial,Jail
FACILITY,Backup Felons Felons*** Others,,,,Misd.,Felony,Misd.,Pop.
Anderson,100,7,21 0,,9,69,52,258
Bedford,18,1,4 2,,33,17,77,152
Bedford Workhouse,4,3,0 0,,50,0,0,57
Benton,21,3,0 4,,6,31,25,90
Bledsoe,38,3,0 0,,11,27,13,92
Blount,118,36,0 105,,83,154,89,585
Bradley,109,37,39 71,,103,157,38,554
Campbell,105,9,22 0,,13,123,18,290
Cannon,2,21,0 0,,16,22,12,73
Carroll,32,18,0 10,,27,23,22,132
Carter,20,14,2 45,,59,104,44,288
Cheatham,35,3,0 0,,28,81,30,177
Chester,23,7,0 0,,4,18,8,60
Claiborne,49,12,0 0,,61,68,52,242
Clay,5,0,0 0,,4,3,7,19
Cocke Jail,11,4,0 1,,3,27,41,87
Cocke Annex,13,8,0 2,,7,39,53,122
Coffee Annex,9,4,1 0,,12,0,0,26
Coffee,52,24,0 0,,75,56,195,402
Crockett,17,2,0 0,,7,31,8,65
Cumberland,24,13,0 1,,99,89,17,243
Davidson CJC,0,0,0 0,,0,0,0,0
Davidson HDC,3,5,18 17,,41,90,31,205
Davidson CDC,33,10,140 41,,53,358,39,674
Davidson MCC,19,1,19 6,,24,262,14,345
Davidson ORC,0,3,2 0,,120,32,30,187
Davidson CCA,1,634,30 2,,59,108,23,857
Decatur,12,0,0 2,,5,15,11,45
DeKalb,2,2,0 0,,18,14,34,70
Dickson,69,2,0 0,,50,153,48,322
Dyer,54,13,4 0,,44,115,15,245
Dyer Annex,26,1,0 0,,2,0,0,29
Fayette,48,1,1 1,,25,7,89,172
Fentress,53,0,0 6,,40,19,37,155
Franklin,8,33,0 0,,57,61,38,197
Gibson,135,15,0 0,,40,90,54,334
Giles,19,44,0 0,,23,49,23,158
Grainger Co. Det. Center,11,11,15 5,,6,35,14,97
Greene Det. Center,34,1,0 13,,29,121,30,228
Greene WH,32,3,0 0,,101,72,27,235
Grundy,19,12,0 0,,8,28,18,85
Hamblen,80,10,0 0,,140,107,104,441
Hamilton Jail,1,0,25 85,,13,286,166,576
Hamilton - Silverdale CCA,24,42,66 91,,402,165,275,1065
Hancock,55,17,0 0,,16,9,27,124
Hardeman,15,6,4 0,,20,54,21,120
Hardin,28,17,9 0,,13,52,38,157
Hawkins,91,0,0 0,,56,69,33,249
Haywood,0,41,0 12,,21,55,10,139
Henderson,92,9,13 3,,56,44,18,235
Henry,26,42,0 1,,37,51,23,180
Hickman,18,0,0 0,,18,59,3,98
Houston,10,0,0,1,5,11,2,29
Humphreys,6,1,5,3,24,33,33,105
Jackson,43,0,16,17,1,14,26,117
Jefferson,42,43,0,1,40,73,40,239
Jefferson WH,26,3,0,0,5,2,0,36
Johnson,29,9,2,1,5,34,25,105
Johnson City (F),0,79,0,0,0,0,0,79
Knox - KCJ,16,11,3,10,9,150,8,207
Knox - RDWDF,48,32,20,52,51,678,319,1200
Knox - KCWRC,2,2,1,8,8,48,27,96
Lake,23,0,0,0,11,9,7,50
Lauderdale,48,12,0,0,5,0,81,146
