"",,,Other,,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons**,Others,Misd.,Felony,Misd.,Pop.
Anderson,24,0,0,0,46,48,47,165
Bedford,55,14,7,4,73,13,57,223
Benton,9,4,4,0,16,12,7,52
Bledsoe,3,0,0,1,5,10,5,24
Blount,49,32,0,131,28,51,44,335
Bradley,29,15,102,51,17,99,72,385
Campbell,8,7,4,0,4,39,18,80
Cannon,27,2,11,2,20,10,5,77
Carroll,4,6,3,0,37,27,14,91
Carter,4,11,0,4,86,79,8,192
Cheatham,24,2,2,0,50,25,11,114
Chester,3,3,11,0,8,0,2,27
Claiborne,0,2,0,0,6,15,6,29
Clay,9,3,2,0,2,2,0,18
Cocke,21,8,0,0,45,9,17,100
Coffee,28,46,8,0,40,36,93,251
Crockett,27,0,0,0,15,17,20,79
Cumberland,15,27,0,3,73,20,32,170
Davidson CJC,1,12,4,69,109,499,46,740
Davidson HD1,4,32,0,9,63,376,15,499
Davidson CWC,0,155,0,40,272,127,23,617
Davidson CCA,0,1012,0,0,46,247,0,1305
Decatur,1,0,1,1,4,9,5,21
DeKalb,17,0,0,0,43,29,15,104
Dickson,31,6,3,0,69,68,36,213
Dyer,51,21,6,0,18,44,7,147
Fayette,8,4,0,1,45,40,6,104
Fentress,10,14,0,0,1,3,7,35
Franklin,10,16,0,7,30,57,0,120
Gibson,18,9,0,0,85,39,50,201
Giles,5,5,6,0,29,24,14,83
Grainger,0,3,0,0,7,7,1,18
Greene,50,18,0,66,94,33,25,286
Grundy,3,7,0,0,7,12,10,39
Hamblen,9,37,3,2,82,47,19,199
Hamilton Jail,0,94,0,87,0,211,78,470
Silverdale CCA,70,2,0,94,409,4,180,759
Hancock,0,51,39,0,11,2,13,116
Hardeman,7,1,0,1,31,31,12,83
Hardin,5,0,8,1,13,33,15,75
Hawkins,15,0,0,0,29,25,8,77
Haywood,8,6,1,15,21,34,23,108
Henderson,3,3,4,2,17,21,14,64
Henry,21,17,4,0,58,23,26,149
Hickman,0,26,0,0,7,12,6,51
Houston,13,0,0,0,8,5,3,29
Humphreys,2,5,0,2,5,29,18,61
Jackson,4,5,3,0,9,11,21,53
Jefferson,33,15,0,0,21,21,25,115
Johnson,12,19,0,0,14,33,11,89
Knox-All Facilities,24,30,0,52,100,374,245,825
Lake,21,0,0,0,8,17,0,46
Lauderdale,2,53,0,0,43,9,7,114
Lawrence,11,4,0,0,7,16,33,71
Lewis,11,0,0,0,14,12,12,49
"",,,Other,,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons**,Others,Misd.,Felony,Misd.,Pop.
Lincoln,24,0,0,0,35,18,15,92
Loudon,3,3,11,7,27,31,5,87
Macon,70,0,0,0,22,16,11,119
Madison,18,16,13,12,88,147,75,369
Madison PF,0,20,0,0,78,3,7,108
Marion,5,0,13,0,43,17,26,104
Marshall,22,0,0,0,22,31,7,82
Maury,0,15,23,0,72,63,34,207
McMinn,66,4,0,0,31,32,34,167
McNairy,22,0,2,9,7,35,18,93
Meigs,7,1,0,0,17,11,12,48
Monroe,20,0,10,14,32,24,3,103
Montgomery,44,15,0,0,24,171,118,372
Moore,10,3,0,0,1,0,0,14
Morgan,9,3,0,1,6,11,4,34
Obion,49,16,11,0,13,13,11,113
Overton,0,83,0,0,3,14,14,114
Perry,3,0,0,0,4,3,3,13
Pickett,2,0,0,0,4,3,0,9
Polk,8,3,0,0,19,17,6,53
Putnam,35,15,0,0,80,54,30,214
Rhea,13,5,0,2,30,18,11,79
Roane,2,3,0,0,22,36,27,90
Robertson,5,10,0,39,34,61,24,173
Rutherford,52,183,42,0,136,155,166,734
Rutherford WH,1,0,0,0,174,1,0,176
Scott,2,7,4,0,3,21,12,49
Sequatchie,1,8,0,0,6,21,6,42
Sevier,48,23,0,0,42,84,72,269
Shelby CJC,10,20,37,59,200,1848,194,2368
Shelby SCCC,169,1763,0,0,735,6,0,2673
Smith,8,1,1,0,4,11,17,42
Stewart,1,0,0,0,2,6,0,9
Sullivan,100,6,11,0,218,130,9,474
Kingsport,0,0,0,0,0,3,4,7
Sumner,54,47,0,0,141,141,57,440
Tipton,40,0,0,1,16,41,17,115
Trousdale,10,11,0,0,5,5,12,43
Unicoi,11,0,1,1,11,27,1,52
Union,0,0,0,18,0,10,10,38
Van Buren,1,2,0,0,10,17,6,36
Warren,11,22,0,0,96,21,45,195
Washington,105,14,9,34,64,145,51,422
Johnson City,102,0,0,0,0,0,0,102
Wayne,0,7,6,0,13,6,15,47
Weakley,24,5,4,0,29,14,12,88
White,16,6,0,0,39,21,38,120
Williamson,62,7,0,5,99,116,87,376
Wilson,39,7,9,0,46,32,50,183
TOTAL,2123,4218,443,847,5203,6807,2863,22504
