"",,,Other,,,Pre-,Pre-,Total,,,
"",TDOC,Local,Conv.,,Conv.,trial,trial,Jail,Total,Vacant,Percent
FACILITY,Backup,Felons,Felons**,Others,Misd.,Felony,Misd.,Pop.,Beds*,Beds,Capacity
Anderson,18,2,0,0,15,25,20,80,208,128,38.5%
Bedford,30,3,12,0,34,11,44,134,88,-46,152.3%
Benton,13,0,0,0,18,12,3,46,92,46,50.0%
Bledsoe,1,5,0,0,2,4,0,12,9,-3,133.3%
Blount,101,19,0,54,35,46,21,276,131,-145,210.7%
Bradley,25,1,46,23,21,27,18,161,123,-38,130.9%
Campbell,23,12,0,0,6,17,24,82,48,-34,170.8%
Cannon,10,3,0,3,25,12,2,55,42,-13,131.0%
Carroll,24,5,0,2,21,18,18,88,112,24,78.6%
Carter,6,12,1,0,44,50,12,125,88,-37,142.0%
Cheatham,5,11,0,0,51,18,10,95,120,25,79.2%
Chester,2,2,1,0,3,7,2,17,24,7,70.8%
Claiborne,11,0,0,0,10,10,11,42,33,-9,127.3%
Clay,2,0,0,0,3,2,4,11,18,7,61.1%
Cocke,34,38,1,0,34,0,34,141,116,-25,121.6%
Coffee,4,13,4,0,42,26,41,130,132,2,98.5%
Crockett,18,14,0,0,0,13,4,49,62,13,79.0%
Cumberland,9,17,12,0,38,15,0,91,122,31,74.6%
Davidson CJC,2,2,4,36,110,443,29,626,734,108,85.3%
Davidson HD1,0,1,0,1,15,168,1,186,179,-7,103.9%
Davidson CWC,0,162,0,12,249,130,15,568,600,32,94.7%
Davidson HD2,0,1,0,0,25,122,4,152,163,11,93.3%
Davidson CCA,0,853,0,0,61,199,0,1113,1113,0,100.0%
Davidson CAS,0,0,0,0,0,0,0,0,68,68,0.0%
Davidson HD3,0,0,0,0,0,0,0,0,50,50,0.0%
Decatur,0,6,0,0,2,3,3,14,24,10,58.3%
DeKalb,9,0,0,0,18,10,10,47,46,-1,102.2%
Dickson,40,5,8,1,53,53,21,181,170,-11,106.5%
Dyer,12,6,7,0,21,29,18,93,88,-5,105.7%
Fayette,16,13,0,1,38,13,5,86,97,11,88.7%
Fentress,6,7,1,0,7,0,0,21,20,-1,105.0%
Franklin,4,4,0,5,25,21,0,59,108,49,54.6%
Gibson,29,10,0,2,56,38,27,162,149,-13,108.7%
Giles,21,2,9,7,24,17,7,87,126,39,69.0%
Grainger,2,3,0,0,6,5,3,19,18,-1,105.6%
Greene,27,25,0,24,71,22,19,188,159,-29,118.2%
Grundy,5,3,0,0,2,9,10,29,34,5,85.3%
Hamblen,10,48,5,0,61,11,22,157,157,0,100.0%
Hamilton Jail,15,4,24,65,64,287,84,543,498,-45,109.0%
Silverdale CCA,17,28,0,47,291,8,86,477,683,206,69.8%
Hancock,0,55,42,0,7,5,3,112,96,-16,116.7%
Hardeman,8,3,0,0,19,18,20,68,74,6,91.9%
Hardin,1,3,1,0,24,26,2,57,38,-19,150.0%
Hawkins,7,0,0,0,28,8,6,49,66,17,74.2%
Haywood,8,5,2,1,23,27,18,84,136,52,61.8%
Henderson,1,1,6,2,12,11,32,65,52,-13,125.0%
Henry,9,14,0,0,70,19,12,124,72,-52,172.2%
Hickman,0,22,0,0,11,5,11,49,48,-1,102.1%
Houston,9,0,0,0,3,3,1,16,17,1,94.1%
Humphreys,1,19,16,1,15,6,0,58,33,-25,175.8%
Jackson,3,0,0,0,3,0,5,11,26,15,42.3%
Jefferson,9,9,0,0,18,16,16,68,52,-16,130.8%
Johnson,3,10,0,0,11,21,6,51,37,-14,137.8%
Knox CJC,9,10,16,18,82,35,27,197,215,18,91.6%
Knox Det Cntr,8,6,12,38,176,74,100,414,676,262,61.2%
Knox WRC/Penal,0,0,3,0,95,0,0,98,188,90,52.1%
Lake,9,1,0,0,3,6,2,21,32,11,65.6%
Lauderdale,11,47,1,0,11,22,7,99,125,26,79.2%
Lawrence,2,3,0,0,18,6,13,42,34,-8,123.5%
Lewis,29,0,0,1,8,7,0,45,45,0,100.0%
"",,,Other,,,Pre-,Pre-,Total,,,
"",TDOC,Local,Conv.,,Conv.,trial,trial,Jail,Total,Vacant,Percent
FACILITY,Backup,Felons,Felons**,Others,Misd.,Felony,Misd.,Pop.,Beds*,Beds,Capacity
Lincoln,37,0,0,0,25,5,7,74,117,43,63.2%
Loudon,6,3,0,9,12,27,11,68,56,-12,121.4%
Macon,4,0,0,0,20,3,7,34,32,-2,106.3%
Madison,19,10,22,20,45,129,29,274,320,46,85.6%
Madison PF,0,26,0,0,0,2,70,98,112,14,87.5%
