"",,,Other,,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons**,Others,Misd.,Felony,Misd.,Pop.
Anderson,26,0,0,0,33,54,53,166
Bedford,9,5,5,2,15,28,41,105
Bedford Workhouse,28,5,1,0,64,1,0,99
Benton,10,4,4,0,14,14,6,52
Bledsoe,5,0,0,0,2,7,3,17
Blount,54,25,0,113,45,73,34,344
Bradley,55,16,95,0,63,118,81,428
Campbell,9,8,2,0,5,49,10,83
Cannon,5,1,11,3,9,13,6,48
Carroll,7,6,2,0,26,9,14,64
Carter,19,12,1,0,95,82,6,215
Cheatham,25,5,3,60,6,20,14,133
Chester,4,6,0,0,4,18,3,35
Claiborne,1,3,0,0,5,27,5,41
Clay,6,3,1,0,0,2,0,12
Cocke,11,15,2,8,33,7,86,162
Coffee,20,45,6,5,56,30,68,230
Crockett,16,4,3,0,10,27,11,71
Cumberland,15,10,0,0,56,18,27,126
Davidson CJC,2,5,0,53,130,464,62,716
Davidson HDC,3,8,3,7,79,341,19,460
Davidson CDC,1,239,1,12,253,330,53,889
Davidson ORC,1,101,0,22,157,0,2,283
Davidson CCA,0,926,0,0,0,0,0,926
Decatur,3,3,1,0,5,7,0,19
DeKalb,19,0,0,0,16,25,26,86
Dickson,39,4,3,0,44,76,40,206
Dyer,47,33,4,0,29,15,3,131
Fayette,20,7,29,0,0,31,12,99
Fentress,9,17,0,0,2,5,8,41
Franklin,9,20,4,1,26,52,0,112
Gibson,25,10,12,0,85,52,64,248
Giles,11,1,3,0,22,17,14,68
Grainger,2,0,0,0,11,3,2,18
Greene,49,16,0,64,120,30,26,305
Grundy,1,4,0,0,10,6,5,26
Hamblen,11,39,2,1,54,76,27,210
Hamilton Jail,0,40,0,130,89,207,110,576
Silverdale CCA,36,2,15,115,372,0,252,792
Hancock,43,49,0,3,15,16,3,129
Hardeman,7,43,2,1,29,0,17,99
Hardin,5,0,0,0,14,36,6,61
Hawkins,30,0,0,0,39,28,16,113
Haywood,9,7,1,0,41,36,11,105
Henderson,3,2,10,4,5,14,18,56
Henry,17,14,3,0,61,37,28,160
Hickman,5,24,2,0,15,17,4,67
Houston,11,0,0,0,2,6,3,22
Humphreys,13,9,1,4,12,25,9,73
Jackson,6,5,0,0,3,12,35,61
Jefferson,50,13,0,0,31,34,26,154
Johnson,15,15,0,0,10,29,14,83
Knox-All Facilities,19,29,0,62,167,430,277,984
Lake,26,0,0,0,9,16,0,51
Lauderdale,3,73,1,0,15,33,7,132
Lawrence,0,7,0,9,14,13,26,69
Lewis,0,0,0,6,14,9,11,40
Lincoln,42,0,0,0,47,15,18,122
Loudon,1,10,0,5,34,26,13,89
Macon,61,0,0,0,11,23,22,117
Madison,25,21,111,10,50,91,0,308
Madison PF,1,14,0,0,69,5,13,102
Marion,9,0,29,0,22,8,50,118
Marshall,46,0,0,0,14,37,9,106
Maury,20,19,40,0,84,66,25,254
McMinn,46,11,5,0,43,32,41,178
McNairy,40,0,2,0,4,10,20,76
Meigs,14,2,0,0,7,13,6,42
Monroe,33,0,9,20,36,30,4,132
Montgomery,38,0,7,0,78,179,91,393
Moore,8,5,0,0,1,1,2,17
Morgan,7,8,0,0,24,6,10,55
Obion,46,8,13,0,15,24,13,119
Overton,55,5,17,0,11,17,6,111
Perry,0,0,0,3,1,11,4,19
Pickett,0,0,0,0,2,3,2,7
Polk,6,7,0,0,9,15,16,53
Putnam,47,11,0,0,80,65,60,263
Rhea,12,6,1,0,32,16,17,84
Roane,3,5,0,0,13,46,29,96
Robertson,12,5,0,34,59,92,40,242
Rutherford,35,225,57,0,157,163,206,843
Rutherford WH,1,2,0,0,183,0,0,186
Scott,0,1,2,0,9,21,16,49
Sequatchie,7,2,0,0,3,28,0,40
Sevier,45,13,0,1,62,79,74,274
Shelby CJC,9,17,39,100,218,2106,192,2681
Shelby SCCC,166,1944,0,0,695,5,0,2810
Smith,4,0,0,0,18,13,20,55
Stewart,1,2,0,0,1,8,2,14
Sullivan,107,12,21,0,172,235,12,559
Kingsport,0,0,0,0,0,0,2,2
Sumner,65,66,0,0,172,172,20,495
Tipton,34,0,0,0,29,35,24,122
Trousdale,9,2,0,0,5,8,8,32
Unicoi,14,0,0,5,9,26,7,61
Union,0,4,2,15,6,8,6,41
Van Buren,4,0,8,0,7,0,10,29
Warren,12,20,0,0,89,32,49,202
Washington,115,9,11,45,66,140,75,461
Johnson City,103,0,0,0,0,0,0,103
Wayne,0,0,0,0,0,0,0,0
Weakley,16,7,5,0,36,13,5,82
White,20,0,0,2,63,22,7,114
Williamson,47,10,0,12,150,86,55,360
Wilson,39,7,6,0,55,27,71,205
TOTAL,2300,4418,618,937,5492,7183,3076,24024
