"",,Other Federal,,Pre-   Pre-,Total
"",TDOC,Local,Conv. &,Conv.,trial trial,Jail
FACILITY,Backup Felons Felons** Others,,Misd. Felony Misd.,,Pop.
Anderson,44,11,9,0,51,149,86,350
Bedford,41,1,12,0,27,22,30,133
Bedford Workhouse,10,4,0,0,56,0,1,71
Benton,20,11,0,0,21,17,4,73
Bledsoe,35,0,21,0,19,5,13,93
Blount,98,65,0,109,83,149,74,578
Bradley,128,16,53,54,35,88,33,407
Campbell,52,22,5,0,15,85,22,201
Cannon,9,5,0,0,20,3,20,57
Carroll,24,4,0,1,40,12,30,111
Carter,21,10,0,0,51,151,55,288
Cheatham,23,0,0,0,23,30,17,93
Chester,18,3,0,0,10,11,7,49
Claiborne,74,26,0,45,14,57,20,236
Clay,4,2,0,0,5,5,7,23
Cocke,35,23,0,0,29,32,35,154
Coffee,42,27,0,0,70,16,126,281
Crockett,12,3,0,0,11,22,16,64
Cumberland,88,10,0,2,53,46,33,232
Davidson CJC,13,6,64,57,95,467,49,751
Davidson HDC,7,5,60,2,61,237,1,373
Davidson CWC (CDC-M),0,38,98,16,297,250,39,738
Davidson CDC (F),7,9,46,13,94,136,21,326
Davidson CCA,0,1184,0,0,0,0,0,1184
Decatur,1,2,12,0,6,4,3,28
DeKalb,9,9,12,2,25,17,30,104
Dickson,95,19,0,4,106,112,26,362
Dyer,63,13,28,0,28,50,14,196
Fayette,35,4,3,14,4,50,14,124
Fentress,4,9,0,0,18,10,24,65
Franklin,24,39,6,0,24,34,14,141
Gibson,79,5,0,0,28,68,20,200
Giles,27,16,0,0,39,37,28,147
Grainger%Co%Det% Center,45,4,0,0,1,13,24,87
Greene,91,13,0,49,118,107,52,430
Grundy,4,0,0,0,11,24,10,49
Hamblen,22,81,0,1,112,80,41,337
Hamilton Jail,1,0,51,82,15,283,80,512
Hamilton - Silverdale CCA,2,0,10,78,292,0,501,883
Hancock,0,40,35,0,8,5,14,102
Hardeman,23,8,7,0,6,63,18,125
Hardin,38,5,0,1,20,44,15,123
Hawkins,124,2,0,0,53,52,30,261
Haywood,0,48,0,2,18,43,22,133
Henderson,54,4,49,0,6,19,14,146
Henry,78,21,0,0,19,31,13,162
Hickman,2,37,5,0,19,40,9,112
Houston,0,8,21,0,7,6,0,42
Humphreys,9,0,0,4,12,20,9,54
Jackson,65,0,8,7,22,19,20,141
Jefferson,83,28,0,0,38,39,107,295
Johnson,73,9,0,1,11,28,11,133
Johnson City (F),0,101,0,0,0,0,0,101
Knox - KCJ,12,5,0,30,17,58,56,178
Knox - KCDF,68,48,8,60,57,488,180,909
Knox - KCWRC,2,6,0,2,12,14,11,47
Lake,4,18,0,1,4,11,1,39
Lauderdale,51,0,10,0,5,0,79,145
Lawrence,55,3,14,0,31,67,35,205
Lewis,11,5,0,0,12,8,21,57
Lincoln,40,14,2,0,33,20,7,116
Loudon,8,3,1,1,52,56,34,155
Macon,59,0,0,0,30,35,20,144
Madison,39,24,0,9,72,116,68,328
Madison PF,10,6,0,0,45,22,13,96
Marion,15,12,0,0,11,31,41,110
Marshall,72,15,1,0,47,26,3,164
Maury,134,19,0,0,76,88,39,356
McMinn,110,10,4,0,44,80,51,299
McNairy,30,0,0,5,3,23,26,87
Meigs,13,0,0,11,7,13,20,64
Monroe,62,10,0,0,36,70,22,200
Montgomery,158,8,0,0,45,233,41,485
Montgomery Workhouse,0,8,0,0,64,0,0,72
Moore,6,2,0,0,2,4,0,14
Morgan,3,0,11,0,9,21,9,53
Obion,37,6,4,52,10,34,16,159
Overton,38,19,0,0,34,22,27,140
Perry,29,0,0,0,5,8,4,46
Pickett,1,0,0,0,5,5,1,12
Polk,76,10,0,0,18,34,13,151
Putnam,58,11,0,0,82,70,44,265
Rhea,8,9,0,3,7,61,59,147
Roane,30,4,2,0,55,36,61,188
Robertson,129,11,0,0,56,158,38,392
Rutherford,292,42,0,0,239,205,151,929
Rutherford Work Center,0,0,0,0,164,0,0,164
Scott,82,6,0,0,8,37,29,162
Sequatchie,29,15,0,0,8,42,16,110
Sevier,117,48,0,0,67,181,104,517
Shelby CJC,13,14,46,68,28,2244,267,2680
Shelby SCCC,163,1997,0,0,311,0,0,2471
Smith,61,7,7,1,10,24,10,120
Stewart,3,1,0,0,1,13,2,20
Sullivan,116,18,9,0,104,308,116,671
Kingsport City,0,0,0,0,0,2,0,2
Sumner,130,109,0,0,191,216,76,722
Tipton,9,7,1,0,13,69,32,131
Trousdale,22,3,0,0,1,8,7,41
Unicoi,26,0,1,2,12,35,7,83
Union,31,1,0,2,8,22,17,81
Van Buren,7,6,0,2,13,0,5,33
Warren,82,24,0,0,95,58,28,287
Washington,100,9,26,65,153,242,71,666
Wayne,46,5,6,0,19,4,9,89
Weakley,29,5,0,0,22,19,18,93
White,44,37,0,10,49,34,17,191
Williamson,95,2,8,0,102,122,44,373
Wilson,86,25,27,0,107,87,70,402
