"",,,Other Federal,,,Pre-   Pre-,,Total
"",TDOC,Local,Conv. &,,Conv.,trial trial,,Jail
FACILITY,Backup Felons Felons** Others,,,,Misd.,Felony Misd.,,Pop.
Anderson,25,0,3 0,,44,132 69,,273
Bedford,24,8,5 3,,22,29 48,,139
Bedford Workhouse,23,4,2 0,,62,0 2,,93
Benton,11,11,1 0,,16,7 4,,50
Bledsoe,0,1,0 0,,2,2 4,,9
Blount,35,34,0 69,,59,106 64,,367
Bradley,92,30,29 84,,35,80 34,,384
Campbell,29,19,0 0,,8,61 39,,156
Cannon,9,0,0 1,,24,3 29,,66
Carroll,15,16,0 2,,24,19 11,,87
Carter,19,5,0 0,,71,77 20,,192
Cheatham,9,0,13 0,,53,15 21,,111
Chester,2,5,0 0,,14,13 0,,34
Claiborne,33,11,0 36,,26,57 19,,182
Clay,16,0,0 0,,3,6 8,,33
Cocke,13,23,5 0,,17,26 6,,90
Coffee,8,53,35 0,,77,14 35,,222
Crockett,4,0,3 0,,12,18 10,,47
Cumberland,18,5,0 0,,36,20 11,,90
Davidson CJC,4,10,72 57,,119,396 103,,761
Davidson HDC,4,3,7 72,,99,298 13,,496
Davidson CWC (CDC-M),0,18,89 14,,312,216 48,,697
Davidson CDC (F),2,102,38 5,,143,139 35,,464
Davidson CCA,0,1084,0 0,,0,2 0,,1086
Decatur,3,1,0 0,,4,5 10,,23
DeKalb,0,13,7 1,,32,28 15,,96
Dickson,25,8,2 2,,81,88 26,,232
Dyer,48,19,27 0,,47,58 12,,211
Fayette,36,2,0 7,,16,43 9,,113
Fentress,6,0,13 0,,9,0 11,,39
Franklin,19,26,8 0,,41,0 48,,142
Gibson,25,16,0 1,,45,46 19,,152
Giles,15,9,0 0,,59,35 19,,137
Grainger Co. Det. Center,21,8,0 0,,2,33 20,,84
Greene,48,14,0 60,,108,62 54,,346
Grundy,7,0,0 0,,17,1 30,,55
Hamblen,24,78,0 2,,103,59 23,,289
Hamilton Jail,0,0,58 47,,8,278 128,,519
Hamilton - Silverdale CCA,0,0,20 148,,398,0 449,,1015
Hancock,0,50,33 0,,19,5 15,,122
Hardeman,4,0,11 0,,10,36 5,,66
Hardin,33,2,9 0,,22,50 14,,130
Hawkins,11,1,0,0,20,15,39,86
Haywood,0,12,0,1,32,43,10,98
Henderson,8,1,19,4,3,32,15,82
Henry,41,18,0,0,81,21,34,195
Hickman,4,34,7,0,31,23,6,105
Houston,0,9,0,0,7,6,1,23
Humphreys,0,1,3,4,12,18,11,49
Jackson,50,3,0,0,6,15,13,87
Jefferson,100,22,0,0,35,55,41,253
Johnson,45,7,6,1,12,24,16,111
Knox - KCJ,3,2,0,24,46,66,49,190
Knox - KCDF,18,15,1,123,127,484,152,920
Knox - KCWRC,1,4,0,0,33,29,11,78
Lake,21,0,0,0,13,0,12,46
Lauderdale,0,32,34,0,18,26,21,131
Lawrence****,7,0,12,13,26,38,29,125
Lewis,8,3,0,0,12,16,8,47
Lincoln,19,8,1,0,45,13,12,98
Loudon,3,4,3,1,31,26,16,84
Macon,65,0,0,0,19,18,19,121
Madison,53,13,0,23,80,126,109,404
Madison PF,0,13,0,0,73,6,6,98
Marion,4,7,0,0,12,15,29,67
Marshall,44,0,0,0,37,18,10,109
Maury,33,31,0,0,99,100,42,305
McMinn,32,20,1,0,56,74,48,231
McNairy,4,16,0,1,6,22,13,62
Meigs,12,0,0,0,9,33,7,61
Monroe,73,75,0,0,39,17,1,205
Montgomery,40,14,0,0,35,266,39,394
Montgomery Workhouse,0,10,0,0,106,0,0,116
Moore,9,0,0,0,6,3,0,18
Morgan,3,0,2,0,32,6,5,48
Obion,17,10,3,66,8,9,6,119
Overton,57,4,0,0,19,26,44,150
Perry,6,6,1,0,6,20,14 `,53
Pickett,0,0,0,0,0,1,0,1
Polk,82,0,6,6,13,11,3,121
Putnam,0,41,0,0,91,51,49,232
Rhea,13,11,0,0,28,34,37,123
Roane,1,8,2,0,35,32,28,106
Robertson,6,13,0,0,66,108,58,251
Rutherford,27,253,37,0,192,182,184,875
Rutherford Work Center,1,0,0,0,238,0,0,239
Scott,36,10,0,0,7,57,27,137
Sequatchie,47,2,0,0,8,35,7,99
Sevier,41,18,0,0,49,152,74,334
Shelby CJS,5,14,42,68,24,2439,246,2838
Shelby SCCC,0,2790,0,0,429,1,0,3220
Smith,6,4,0,0,10,11,10,41
Stewart,1,3,0,0,6,14,7,31
Sullivan,173,21,12,0,150,227,43,626
Kingsport City,0,0,0,0,0,1,5,6
Sumner,28,83,0,0,238,181,61,591
Tipton,9,15,0,0,56,49,35,164
Trousdale,10,2,0,0,4,7,9,32
Unicoi,12,1,0,4,12,23,14,66
Union,8,2,0,16,7,10,13,56
Van Buren,8,1,0,0,3,0,9,21
Warren,21,10,0,0,126,19,42,218
Washington,91,13,11,51,136,176,56,534
Johnson City (F),101,0,0,0,0,0,0,101
Wayne,4,0,2,0,15,4,13,38
Weakley,21,6,0,0,14,14,20,75
White,88,0,0,0,44,25,7,164
Williamson,57,15,0,0,109,78,49,308
Wilson,31,13,5,0,101,53,49,252
