id,ein,file_name,mrf_url,name,alt_name,system_name,addr,city,state,zip,phone,urban_rural,category,control_type,medicare_termination_status,last_updated,permalink,transparency_page,additional_notes
240002,41-0695604,documents_standard-charges_41-0695604_Essentia-Health-St.-Marys-Childrens-Hospital_standardcharges.csv,https://www.essentiahealth.org/app/files/public/documents/standard-charges/41-0695604_Essentia-Health-St.-Marys-Childrens-Hospital_standardcharges.csv,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER,Essentia Health - Saint Mary's Medical Center,Essentia Health,407 EAST THIRD STREET,DULUTH,MN,55805,2187864000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-12-31,,https://www.essentiahealth.org/patients-visitors/billing/price-estimates/,
240075,41-0695602,documents_standard-charges_41-0695602_Essentia-Health-St.-Josephs-Medical-Center_standardcharges.csv,https://www.essentiahealth.org/app/files/public/documents/standard-charges/41-0695602_Essentia-Health-St.-Josephs-Medical-Center_standardcharges.csv,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,Essentia Health - St. Joseph's Medical Center,Essentia Health,523 NORTH 3RD STREET,BRAINERD,MN,56401,2188292861,R,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-12-31,,https://www.essentiahealth.org/patients-visitors/billing/price-estimates/,
240084,46-0909870,documents_standard-charges_46-0909870_Essentia-Health-Virginia_standardcharges.csv,https://www.essentiahealth.org/app/files/public/documents/standard-charges/46-0909870_Essentia-Health-Virginia_standardcharges.csv,ESSENTIA HEALTH VIRGINIA,Essentia Health - Virginia,Essentia Health,901 9TH STREET NORTH,VIRGINIA,MN,55792,2187413340,U,Short Term,GOVERNMENT - STATE,ACTIVE PROVIDER,2022-12-31,,https://www.essentiahealth.org/patients-visitors/billing/price-estimates/,
240101,41-1620386,documents_standard-charges_41-1620386_Essentia-Health-St.Marys-Detroit-Lakes_standardcharges.csv,https://www.essentiahealth.org/app/files/public/documents/standard-charges/41-1620386_Essentia-Health-St.Marys-Detroit-Lakes_standardcharges.csv,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,Essentia Health St. Mary's - Detroit Lakes,Essentia Health,1027 WASHINGTON AVE,DETROIT LAKES,MN,56501,2188470888,R,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2022-12-31,,https://www.essentiahealth.org/patients-visitors/billing/price-estimates/,
241309,47-5153885,documents_standard-charges_47-5153885_Essentia-Health-Sandstone_standardcharges.csv,https://www.essentiahealth.org/app/files/public/documents/standard-charges/47-5153885_Essentia-Health-Sandstone_standardcharges.csv,ESSENTIA HEALTH SANDSTONE,Essentia Health - Sandstone,Essentia Health,705 LUNDORFF DRIVE SOUTH,SANDSTONE,MN,55072,3202455605,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-12-31,,https://www.essentiahealth.org/patients-visitors/billing/price-estimates/,
241340,41-0841441,documents_standard-charges_41-0841441_Essentia-Health-Northern-Pines_standardcharges.csv,https://www.essentiahealth.org/app/files/public/documents/standard-charges/41-0841441_Essentia-Health-Northern-Pines_standardcharges.csv,ESSENTIA HEALTH NORTHERN PINES MEDICAL CENTER,Essentia Health - Northern Pines,Essentia Health,5211 HIGHWAY 110,AURORA,MN,55705,2182294222,U,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-12-31,,https://www.essentiahealth.org/patients-visitors/billing/price-estimates/,
241350,84-5099016,documents_standard-charges_84-5099016_Essentia-Health-Moose-Lake_standardcharges.csv,https://www.essentiahealth.org/app/files/public/documents/standard-charges/84-5099016_Essentia-Health-Moose-Lake_standardcharges.csv,ESSENTIA HEALTH MOOSE LAKE,Essentia Health-Moose Lake,Essentia Health,4572 COUNTY ROAD 61,MOOSE LAKE,MN,55767,2184854481,U,Critical Access Hospitals,GOVERNMENT - COUNTY,ACTIVE PROVIDER,2022-12-31,,https://www.essentiahealth.org/patients-visitors/billing/price-estimates/,
241357,41-0706143,documents_standard-charges_41-0706143_Essentia-Health-Fosston_standardcharges.csv,https://www.essentiahealth.org/app/files/public/documents/standard-charges/41-0706143_Essentia-Health-Fosston_standardcharges.csv,ESSENTIA HEALTH FOSSTON,Essentia Health - Fosston,Essentia Health,900 HILLIGOSS BOULEVARD SE,FOSSTON,MN,56542,2184351133,U,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-12-31,,https://www.essentiahealth.org/patients-visitors/billing/price-estimates/,
241360,41-0844574,documents_standard-charges_41-0844574_Essentia-Health-Deer-River_standardcharges.csv,https://www.essentiahealth.org/app/files/public/documents/standard-charges/41-0844574_Essentia-Health-Deer-River_standardcharges.csv,DEER RIVER HEALTHCARE CENTER,Essentia Health - Deer River,Essentia Health,115 10TH AVENUE NORTHEAST,DEER RIVER,MN,56636,2182464200,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-12-31,,https://www.essentiahealth.org/patients-visitors/billing/price-estimates/,
350070,26-1175213,documents_standard-charges_26-1175213_Essentia-Health-Fargo_standardcharges.csv,https://www.essentiahealth.org/app/files/public/documents/standard-charges/26-1175213_Essentia-Health-Fargo_standardcharges.csv,ESSENTIA HEALTH FARGO,Essentia Health - Fargo,Essentia Health,3000 32ND AVE SOUTH,FARGO,ND,58104,7013648000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-12-31,,https://www.essentiahealth.org/patients-visitors/billing/price-estimates/,
