OP Type,OP Code,OP Description,,,Median Charge,Discounted Self Pay/Cash Price,Inpatient De-Identified Minimum Negoticated Rate,Inpatient De-Identified Maximum Negoticated Rate,Outpatient De-Identified Minimum Negoticated Rate,Outpatient De-Identified Maximum Negoticated Rate,AMERICA'S PPO-Inpatient,AMERICA'S PPO-Outpatient,BCBS OF MN Commercial-Inpatient,BCBS OF MN Commercial-Outpatient,BCBS MN ST LOUIS CO EMP-Inpatient,BCBS MN ST LOUIS CO EMP-Outpatient,BCBS MN MEDICARE ADVANTAGE -Inpatient,BCBS MN MEDICARE ADVANTAGE -Outpatient,BCBS MN SECURE BLUE MSHO-Inpatient,BCBS MN SECURE BLUE MSHO-Outpatient,BLUE PLUS PMAP PCC PRIME-Inpatient,BLUE PLUS PMAP PCC PRIME-Outpatient,BCBS OF ND MEDICAID EXPANSION-Inpatient,BCBS OF ND MEDICAID EXPANSION-Outpatient,BCBS OF ND COMMERCIAL-Inpatient,BCBS OF ND COMMERCIAL-Outpatient,BCBS OF ND MEDICARE ADVANTAGE-Inpatient,BCBS OF ND MEDICARE ADVANTAGE-Outpatient,BCBS OF WI MEDICAID-Inpatient,BCBS OF WI MEDICAID-Outpatient,MEDICA -Inpatient,MEDICA -Outpatient,ESSENTIA CHOICE CARE MEDICA FULLY INSURED-Inpatient,ESSENTIA CHOICE CARE MEDICA FULLY INSURED-Outpatient,ESSENTIA CHOICE CARE MEDICA SELF FUNDED-Inpatient,ESSENTIA CHOICE CARE MEDICA SELF FUNDED-Outpatient,ESSENTIACARE UCARE-Inpatient,ESSENTIACARE UCARE-Outpatient,FIRST HEALTH - Inpatient,FIRST HEALTH - Outpatient,GROUP HEALTH PMAP PCC PRIME-Inpatient,GROUP HEALTH PMAP PCC PRIME-Outpatient,GROUP HEALTH REF REQ-Inpatient,GROUP HEALTH REF REQ-Outpatient,HEALTHEOS/WPPN-Inpatient,HEALTHEOS/WPPN-Outpatient,HEALTHPARTNERS CARE MSHO-Inpatient,HEALTHPARTNERS CARE MSHO-Outpatient,HEALTHPARTNERS CARE PMAP-Inpatient,HEALTHPARTNERS CARE PMAP-Outpatient,HEALTHPARTNERS MEDICARE ADVANTAGE-Inpatient,HEALTHPARTNERS MEDICARE ADVANTAGE-Outpatient,HEALTHPARTNERS COMMERCIAL-Inpatient,HEALTHPARTNERS COMMERCIAL-Outpatient,HEALTH TRADITION HEALTH PLAN - Inpatient,HEALTH TRADITION HEALTH PLAN - Outpatient,HUMANA CHOICE PPO-Inpatient,HUMANA CHOICE PPO-Outpatient,HUMANA-Inpatient,HUMANA-Outpatient,IMCARE MSHO PCC PRIME-Inpatient,IMCARE MSHO PCC PRIME-Outpatient,INCLUSA-Inpatient,INCLUSA-Outpatient,ITASCA MED CARE-Inpatient,ITASCA MED CARE-Outpatient,MED COST SOLUTIONS - Inpatient,MED COST SOLUTIONS - Outpatient,MEDICA SENIOR CARE PLUS-Inpatient,MEDICA SENIOR CARE PLUS-Outpatient,MEDICA ADVANTAGE SOLUTIONS-Inpatient,MEDICA ADVANTAGE SOLUTIONS-Outpatient,MEDICA COMMERCIAL-Inpatient,MEDICA COMMERCIAL-Outpatient,MEDICA MSHO/DUAL SOLUTIONS-Inpatient,MEDICA MSHO/DUAL SOLUTIONS-Outpatient,MEDICA UPLAN-Inpatient,MEDICA UPLAN-Outpatient,MHS -Inpatient,MHS -Outpatient,MULTIPLAN-Inpatient,MULTIPLAN-Outpatient,OPTUM VA CCN - Inpatient,OPTUM VA CCN - Outpatient,PREFERRED ONE PHCP/PIC/PAS-Inpatient,PREFERRED ONE PHCP/PIC/PAS-Outpatient,PREFERRED ONE PPO-Inpatient,PREFERRED ONE PPO-Outpatient,PRIMEWEST HEALTH PMAP-Inpatient,PRIMEWEST HEALTH PMAP-Outpatient,PRIMEWEST MSHO-Inpatient,PRIMEWEST MSHO-Outpatient,SANFORD s-Inpatient,SANFORD s-Outpatient,SECURITY HEALTH MEDICARE-Inpatient,SECURITY HEALTH MEDICARE-Outpatient,SECURITY HEALTH NARROW NETWORK-Inpatient,SECURITY HEALTH NARROW NETWORK-Outpatient,SECURITY HEALTH PMAP-Inpatient,SECURITY HEALTH PMAP-Outpatient,SECURITY HEALTH-Inpatient,SECURITY HEALTH-Outpatient,SOUTH COUNTRY HLTH MSHO-Inpatient,SOUTH COUNTRY HLTH MSHO-Outpatient,SOUTH COUNTRY PMAP PCC PRIME-Inpatient,SOUTH COUNTRY PMAP PCC PRIME-Outpatient,UBH-Inpatient,UBH-Outpatient,UCARE Commercial-Inpatient,UCARE Commercial-Outpatient,UCARE MEDICARE PLANS-Inpatient,UCARE MEDICARE PLANS-Outpatient,UCARE MSHO-Inpatient,UCARE MSHO-Outpatient,UCARE Medicaid-Inpatient,UCARE Medicaid-Outpatient,UHC MEDICARE ADVANTAGE-Inpatient,UHC MEDICARE ADVANTAGE-Outpatient,UHC WISC/PMAP-Inpatient,UHC WISC/PMAP-Outpatient,UHC Commercial-Inpatient,UHC Commercial-Outpatient,WEA INSURANCE-Inpatient,WEA INSURANCE-Outpatient,WPS-Inpatient,WPS-Outpatient
APC,701,Sr89 strontium,,,#N/A,#N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APC,726,Dexrazoxane HCl injection,,,#N/A,#N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APC,731,Sargramostim injection,,,#N/A,#N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APC,736,Amphotericin b liposome inj,,,#N/A,#N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APC,738,Rasburicase,,,#N/A,#N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APC,751,Mechlorethamine hcl inj,,,#N/A,#N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APC,752,Dactinomycin injection,,,#N/A,#N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APC,759,"Naltrexone, depot form",,,#N/A,#N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APC,800,Leuprolide acetate,,,#N/A,#N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APC,802,Etoposide oral,,,#N/A,#N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
