cms_certification_num,name,address,city,state,zip5,beds,phone_number,homepage_url,chargemaster_url,last_edited_by_username
191312,CHRISTUS COUSHATTA HEALTH CARE CENTER,1635 MARVEL STREET,COUSHATTA,LA,71019,25,3189322000,,,
190019,CHRISTUS ST FRANCES CABRINI HOSPITAL,3330 MASONIC DRIVE,ALEXANDRIA,LA,71301,293,3184871122,,,
190201,CHRISTUS OCHSNER LAKE AREA HOSPITAL,4200 NELSON ROAD,LAKE CHARLES,LA,70605,88,3374746370,,,
190027,CHRISTUS OCHSNER ST PATRICK HOSPITAL,524 DR MICHAEL DEBAKEY DRIVE,LAKE CHARLES,LA,70601,230,3374362511,,,
190041,CHRISTUS HEALTH SHREVEPORT - BOSSIER,1453 E BERT KOUNS INDUSTRIAL LOOP,SHREVEPORT,LA,71105,230,3186815000,,,
320002,CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,455 ST MICHAEL'S DRIVE,SANTA FE,NM,87505,248,5059133361,,,
453315,CHILDREN'S HOSPITAL OF SAN ANTONIO,333 N SANTA ROSA ST,SAN ANTONIO,TX,78207,652,2107043342,,,
450102,CHRISTUS MOTHER FRANCES HOSPITAL,800 EAST DAWSON,TYLER,TX,75701,537,9035938441,,,
451319,CHRISTUS MOTHER FRANCES HOSPITAL- JACKSONVILLE,2026 S JACKSON STREET,JACKSONVILLE,TX,75766,25,9035414500,,,
450236,CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS,115 AIRPORT RD,SULPHUR SPRINGS,TX,75482,96,9038857671,,,
451381,CHRISTUS MOTHER FRANCES HOSPITAL- WINNSBORO,719 WEST COKE ROAD,WINNSBORO,TX,75494,35,9033425227,,,
450032,CHRISTUS GOOD SHEPHERD MEDICAL CENTER,700 E MARSHALL AVE,LONGVIEW,TX,75601,574,9039276712,,,
450237,CHRISTUS SANTA ROSA MEDICAL CENTER,2827 BABCOCK ROAD,SAN ANTONIO,TX,78229,601,2107043342,,,
450272,CHRISTUS SANTA ROSA HOSPITAL-SAN MARCOS,1301 WONDER WORLD DRIVE,SAN MARCOS,TX,78666,170,5127533690,,,
450828,CHRISTUS SPOHN HOSPITAL ALICE,2500 E MAIN STREET,ALICE,TX,78332,135,3616618016,,,
450082,CHRISTUS SPOHN HOSPITAL BEEVILLE,1500 E HOUSTON HWY,BEEVILLE,TX,78102,69,3613542000,,,
450046,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,600 ELIZABETH STREET,CORPUS CHRISTI,TX,78404,1040,3619024103,,,
450163,CHRISTUS SPOHN HOSPITAL KLEBERG,1311 GENERAL CAVAZOS BLVD,KINGSVILLE,TX,78363,96,3615951661,,,
450801,CHRISTUS ST MICHAEL HEALTH SYSTEM,2600 ST MICHAEL DR,TEXARKANA,TX,75503,376,9036141000,,,
453065,CHRISTUS ST MICHAEL REHAB HOSPITAL,2400 ST MICHAEL DRIVE,TEXARKANA,TX,75503,50,9036144000,,,
450034,CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH,2830 CALDER AVENUE,BEAUMONT,TX,77702,666,4098927171,,,
450573,CHRISTUS JASPER MEMORIAL HOSPITAL,1275 MARVIN HANCOCK DRIVE,JASPER,TX,75951,59,4093845461,,,
