ccn,name,state,city,homepage,cdm_indirect_url,cdm_url,possible_indirect,found_string
241374,PIPESTONE COUNTY  MEDICAL CENTER,MN,PIPESTONE,https://www.pipestonehealth.org/,,https://www.avera.org/app/files/public/a8a06bca-7cff-40aa-a6c4-70f04224d16a/411392082_Pipestone-County-Medical-Center_Standard-Charges.xlsx,['https://cms7.revize.com/revize/security/index.jsp?webspace=pipestonecountymc&filename=/index.php'],['cms']
180067,UNIVERSITY OF KENTUCKY HOSPITAL,KY,LEXINGTON,https://ukhealthcare.uky.edu/,,https://cleverleypteusstatic.blob.core.windows.net/readable/616001218_university-of-kentucky-hospital_standardcharges.json,,"['billing', 'transparency']"
184004,EASTERN STATE HOSPITAL,KY,LEXINGTON,https://ukhealthcare.uky.edu/,,https://cleverleypteusstatic.blob.core.windows.net/readable/616001218_university-of-kentucky-hospital_standardcharges.json,,"['billing', 'transparency']"
189802,UNIVERSITY OF KENTUCKY CHANDLER HOSPITAL,KY,LEXINGTON,https://ukhealthcare.uky.edu/,,https://cleverleypteusstatic.blob.core.windows.net/readable/616001218_university-of-kentucky-hospital_standardcharges.json,,"['billing', 'transparency']"
190111,"WILLIS KNIGHTON MEDICAL CENTER, INC",LA,SHREVEPORT,https://www.wkhs.com/,,https://cleverleypteusstatic.blob.core.windows.net/readable/190111_willis-knighton-health-system_standardcharges.json,['/patients-and-visitors/information-for-patients/billing'],['billing']
050177,VENTURA COUNTY MEDICAL CENTER - SANTA PAULA HOSPITAL,CA,SANTA PAULA,https://hospitals.vchca.org/,,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbVentura&type=CDMWithoutLabel,,"['price transparency', 'transparency']"
140181,SOUTH SHORE HOSPITAL,IL,CHICAGO,https://www.southshorehospital.com/,,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSSHCHICAGOIL&type=CDMWithoutLabel,,"['price transparency', 'transparency']"
041330,PIGGOTT COMMUNITY HOSPITAL,AR,PIGGOTT,https://piggotthealthsystem.com/,,https://piggotthealthsystem.com/wp-content/uploads/2021/07/PCH_CDM.xlsx,,['cms']
254010,MS STATE HOSPITAL-WHITFIELD,MS,WHITFIELD,https://www.msh.state.ms.us/,,http://www.msh.state.ms.us/Bids_and_public_notices/646000782%20_Oak%20Circle%20Center_StandardCharges_v2%20%281%29.csv,['http://www.transparency.mississippi.gov/default.aspx'],"['charges', 'transparency']"
260050,MOSAIC MEDICAL CENTER - MARYVILLE,MO,MARYVILLE,https://www.mymlc.com/,https://www.mymlc.com/Main/Location/st-joseph-mo/mosaic-life-care-at-st.-joseph-medical-center/main-medical-center/medical-bills-made-easy/price-and-quality-transparency/,https://www.mymlc.com/contentassets/594d450587ba4dfc8ac1704a06dc166d/44-0579850_mosaic_maryville_standardcharges_22.zip,,['billing']
