ccn,name,state,city,homepage,cdm_indirect_url,cdm_url,possible_indirect,found_string
239809,SPECTRUM HEALTH ADULT SOLID ORGAN TRANSPLANT PROGR,MI,GRAND RAPIDS,https://www.spectrumhealth.org/,,,/billing,['billing']
249801,MAYO CLINIC METHODIST HOSPITAL,MN,ROCHESTER,https://www.mayoclinic.org/,https://www.mayoclinic.org/patient-visitor-guide/billing-insurance/price-estimates/chargemaster/,https://mcorgstatic.blob.core.windows.net/cms-price/410944601_mayo-clinic-hospital-rochester_standardcharges.csv,/patient-visitor-guide/billing-insurance | /patient-visitor-guide/billing-insurance/financial-assistance | /patient-visitor-guide/billing-insurance/financial-assistance/arizona-documents | /patient-visitor-guide/billing-insurance/financial-assistance/florida-documents | /patient-visitor-guide/billing-insurance/financial-assistance/minnesota-documents,['billing']
250134,WHITFIELD MEDICAL SURGICAL HOSPITAL,MS,WHITFIELD,https://www.msh.state.ms.us/,,,http://www.transparency.mississippi.gov/default.aspx,"['charges', 'transparency']"
25043F,GV MONTGOMERY VA MEDICAL CENTER,MS,JACKSON,https://www.va.gov/jackson-health-care/locations/gv-sonny-montgomery-department-of-veterans-affairs-medical-center/,,,/jackson-health-care/billing-and-insurance,['billing']
254009,NORTH MISSISSIPPI STATE HOSPITAL,MS,TUPELO,https://www.nmsh.state.ms.us/,,,http://www.transparency.mississippi.gov/,['transparency']
260078,OZARKS HEALTHCARE,MO,WEST PLAINS,https://www.ozarkshealthcare.com/,https://www.ozarkshealthcare.com/patient-financial-services/billing--insurance/cost-of-care/,https://www.ozarkshealthcare.com/app/files/public/9f54e82b-5a73-41b5-b72d-863cc8b3c878/2-2022%20446005758_Ozarks%20Healthcare_standard%20charges.xlsx,/patient-financial-services/billing--insurance/ | https://Health1.Meritain.com/app/public/#/one/insurerCode=MERITAIN_I&brandCode=MERITAINOVER/machine-readable-transparency-in-coverage?searchTerm=A5889&lock=true,"['billing', 'transparency']"
054091,COMMUNITY BEHAVIORAL HEALTH CENTER,CA,FRESNO,https://www.communitymedical.org/home,,,/commoncontent/menus/main-menu/specialties-departments/bottom-links/billing-insurance | /for-patients-families/paymybill/hospital-standard-charges-(1) | /for-patients-families/paymybill/your-rights-against-surprise-billing,"['standard charges', 'billing', 'charges']"
104057,SPRINGBROOK HOSPITAL,FL,BROOKSVILLE,https://www.springbrookhospital.org/,,,https://www.springbrookhospital.org/financial-resources/general-pricing-information/ | https://www.springbrookhospital.org/financial-resources/billing-faqs/ | https://www.springbrookhospital.org/financial-resources/contact-billing/ | /financial-resources/general-pricing-information,"['pricing', 'billing']"
104070,PORT ST LUCIE HOSPITAL,FL,PORT SAINT LUCIE,https://www.portstluciehospitalinc.com/,,,https://www.portstluciehospitalinc.com/financial-resources/billing-faqs/ | https://www.portstluciehospitalinc.com/financial-resources/contact-billing/ | https://www.portstluciehospitalinc.com/financial-resources/general-pricing-information/,"['pricing', 'billing']"
104081,BLACKBERRY CENTER,FL,SAINT CLOUD,https://www.theblackberrycenter.com/,https://www.theblackberrycenter.com/financial-resources/general-pricing-information/,,https://www.theblackberrycenter.com/financial-resources/general-pricing-information/ | /financial-resources/general-pricing-information/,"['pricing', 'transparency']"
110124,WAYNE MEMORIAL HOSPITAL,GA,JESUP,https://wmhweb.com/,https://wmhweb.com/charges-list/,,https://wmhweb.com/charges-list/,"['charges', 'transparency']"
050104,SAINT FRANCIS MEDICAL CENTER,CA,LYNWOOD,https://stfrancismedicalcenter.com/,https://stfrancismedicalcenter.com/financial-assistance/,,/billing-insurance-information/,"['pricing', 'billing', 'transparency']"
140033,LAKE BEHAVIORAL HOSPITAL,IL,WAUKEGAN,https://www.lakebehavioralhospital.com/,,,https://www.yourcareeverywhere.com/content/medhost/your-care-everywhere/pricing-estimator-page.html?facility_id=e9c8ea5f-c409-4b74-92a3-af2e46ecab98,"['pricing', 'standard services']"
192022,RUSTON REGIONAL SPECIALTY HOSPITAL,LA,RUSTON,https://www.rustonregional.com/,,,https://www.rustonregional.com/price-transparency-files,"['price transparency', 'transparency']"
050390,HEMET GLOBAL MEDICAL CENTER,CA,HEMET,https://kpchealth.com/,,,https://kpchealth.com/billing-and-payment/,"['pricing', 'billing', 'transparency']"
193090,"THE NEUROMEDICAL CENTER REHABILITATION HOSPITAL, L",LA,BATON ROUGE,https://www.theneuromedicalcenter.com/rehabilitation-hospital/,,,https://www.theneuromedicalcenter.com/for-patients/billing-insurance/,['billing']
050454,UCSF MEDICAL CENTER,CA,SAN FRANCISCO,https://www.ucsfhealth.org/,https://www.ucsfhealth.org/about/pricing-transparency,https://wmhweb.slicedhealth.io/home,/billing-and-insurance | /about/pricing-transparency,"['pricing', 'billing', 'transparency']"
05054E,UNIVERSITY OF SOUTHERN CALIFORNIA INF,CA,LOS ANGELES,https://www.usc.edu/,,,http://priceschool.usc.edu/ | https://news.usc.edu/203594/thanksgiving-cost-prices-rise-black-friday/,['prices']
199802,OCHSNER FOUNDATION HOSPITAL,LA,NEW ORLEANS,https://www.ochsner.org/,,,https://www.ochsner.org/patients-visitors/billing-and-financial-services/pay-your-bill | https://www.ochsner.org/patients-visitors/billing-and-financial-services,['billing']
