id,name,city,last_updated,ein,file_name,stdchg_file_url,addr,state,zip,phone,type,ownership,permalink,transparency_page,additional_notes
230029,TRINITY HEALTH OAKLAND HOSPITAL,PONTIAC,2023-04-06,38-3176536,383176536_Trinity Health Oakland Hospital_standardcharges.xlsx,https://www.cdmpricing.com/40cdb3cb434b4b47c5652ab208591449/standard-charges,44405 WOODWARD AVE,MI,48341,(248) 858-3000,Acute Care Hospitals,Voluntary non-profit - Private,,https://www.trinityhealthmichigan.org/tools-and-resources/billing-and-insurance/our-prices,
230156,TRINITY HEALTH ANN ARBOR HOSPITAL,ANN ARBOR,2023-04-06,38-3175878,383175878_Trinity Health Ann Arbor_standardcharges.xlsx,https://www.cdmpricing.com/1de902955ff4edc70acbe2914b9ad963/standard-charges,5301 E HURON RIVER DR,MI,48106,(734) 712-3456,Acute Care Hospitals,Voluntary non-profit - Church,,https://www.trinityhealthmichigan.org/tools-and-resources/billing-and-insurance/our-prices,
230069,SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,HOWELL,2023-04-05,38-3176225,383176225_Trinity Health Livingston Hospital_standardcharges.xlsx,https://www.cdmpricing.com/48eb865192d6dd8d622e8e1ff2aa887b/standard-charges,620 BYRON RD,MI,48843,(517) 545-6000,Acute Care Hospitals,Voluntary non-profit - Other,,https://www.trinityhealthmichigan.org/tools-and-resources/billing-and-insurance/our-prices,
230259,CHELSEA HOSPITAL,CHELSEA,2023-04-05,82-4757260,824757260_Chelsea Hospital_standardcharges.xlsx,https://www.cdmpricing.com/13b0081070102ea2dc1b9cf325588c80/standard-charges,775 S MAIN ST,MI,48118,(734) 475-3911,Acute Care Hospitals,Voluntary non-profit - Private,,https://www.trinityhealthmichigan.org/tools-and-resources/billing-and-insurance/our-prices,
230002,ST JOE MERCY HOSPITAL SYSTEM LIVONIA,LIVONIA,2023-04-06,38-3521763,383521763_Trinity Health Livonia Hospital_standardcharges.xlsx,https://www.cdmpricing.com/da2459da80a1b31b02e763f3c38869b9/standard-charges,36475 FIVE MILE ROAD,MI,48154,(734) 655-4800,Acute Care Hospitals,Voluntary non-profit - Private,,https://www.trinityhealthmichigan.org/tools-and-resources/billing-and-insurance/our-prices,
231320,MERCY HEALTH LAKESHORE CAMPUS,SHELBY,2023-04-06,38-2589966,382589966_Trinity Health Shelby Hospital_standardcharges.xlsx,https://www.cdmpricing.com/e85046bf010713fda9a0892b136ce96f/standard-charges,72 SOUTH STATE STREET,MI,49455,(231) 861-2156,Critical Access Hospitals,Voluntary non-profit - Private,,https://www.trinityhealthmichigan.org/tools-and-resources/billing-and-insurance/our-prices,"   "
230066,MERCY HEALTH HACKLEY CAMPUS,MUSKEGON,2023-04-05,38-2589966,382589966_Mercy Health Muskegon Campus_standardcharges.xlsx,https://www.cdmpricing.com/90f91b200360d0e17c88b259b743c6e0/standard-charges,125 E SOUTHERN,MI,49442,(231) 726-3511,Acute Care Hospitals,Voluntary non-profit - Private,,https://www.trinityhealthmichigan.org/tools-and-resources/billing-and-insurance/our-prices,
390156,MERCY CATHOLIC MEDICAL CENTER- MERCY FITZGERALD,DARBY,2023-04-24,23-1352191,231352191_Mercy Catholic Medical Center of Southeastern Pennsylvania_standardcharges .xlsx,https://www.cdmpricing.com/e6d322b39e32a0ef6a713b0127a22def/standard-charges,1500 LANSDOWNE  AVE,PA,19023,(215) 237-4000,Acute Care Hospitals,Voluntary non-profit - Private,,https://www.trinityhealthma.org/patients-visitors/pricing-transparency,
070002,ST FRANCIS HOSPITAL & MEDICAL CENTER,HARTFORD,2023-04-04,51-0064326,510064326_St Francis Hospital_standardcharges.xlsx,https://www.cdmpricing.com/b5330b717ebbf0a3f044ab69201cdf92/standard-charges,114 WOODLAND STREET,CT,06105,(860) 714-4000,Acute Care Hospitals,Voluntary non-profit - Church,,https://www.trinityhealthma.org/patients-visitors/pricing-transparency,
390204,NAZARETH HOSPITAL,PHILADELPHIA,2023-04-24,23-2794121,232794121_Nazareth Hospital_standardcharges.xlsx,https://www.cdmpricing.com/8873527e6925184d69fb58c9cc80b9c5/standard-charges,2601 HOLME AVE,PA,19152,(215) 335-6000,Acute Care Hospitals,Voluntary non-profit - Private,,https://www.trinityhealthma.org/patients-visitors/pricing-transparency,
390258,ST MARY MEDICAL CENTER,LANGHORNE,2023-04-24,23-1913910,231913910_St Mary Medical Center_standardcharges.xlsx,https://www.cdmpricing.com/67f6c21471749d14e20695fbcfb471d9/standard-charges,LANGHORNE-NEWTOWN RD,PA,19047,(215) 750-2003,Acute Care Hospitals,Voluntary non-profit - Private,,https://www.trinityhealthma.org/patients-visitors/pricing-transparency,
