id,ein,file_name,mrf_url,name,alt_name,system_name,addr,city,state,zip,phone,urban_rural,category,control_type,medicare_termination_status,last_updated,permalink,transparency_page,additional_notes
140019,37-0512290,370512290_GOOD-SHEPHERD-HOSPITAL_STANDARDCHAGES.txt,https://www.hshs.org/getmedia/16c0d26a-e44c-4b45-99bc-fc8ac6891fc5/370512290_GOOD-SHEPHERD-HOSPITAL_STANDARDCHAGES.txt,HSHS GOOD SHEPHERD HOSPITAL INC,HSHS Good Shepherd Hospital,Hospital Sisters Health System,200 S CEDAR ST,SHELBYVILLE,IL,62565,2177743961,R,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2021-01-01,,https://www.hshs.org/about-us/patient-financial-services/price-transparency/hshs-hospital-price-tools,
140032,37-0661233,370661233_ST-ANTHONY-S-MEMORIAL-HOSPITAL_STANDARDCHARGES.txt,https://www.hshs.org/getmedia/7fba4f60-f81d-4c06-a6fd-0cb468ef691f/370661233_ST-ANTHONY-S-MEMORIAL-HOSPITAL_STANDARDCHARGES.txt,ST ANTHONYS MEMORIAL HOSPITAL,HSHS Saint Anthony's Memorial Hospital,Hospital Sisters Health System,503 N MAPLE STREET,EFFINGHAM,IL,62401,2173422121,R,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2021-01-01,,https://www.hshs.org/about-us/patient-financial-services/price-transparency/hshs-hospital-price-tools,
140053,37-0661238,370661238_ST-JOHN-S-HOSPITAL_STANDARDCHARGES.txt,https://www.hshs.org/getmedia/4b24107d-3cac-4aca-902b-eb81de5af4b3/370661238_ST-JOHN-S-HOSPITAL_STANDARDCHARGES.txt,ST JOHNS HOSPITAL,HSHS Saint John's Hospital,Hospital Sisters Health System,800 E CARPENTER ST,SPRINGFIELD,IL,62769,2175446464,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2021-01-01,,https://www.hshs.org/about-us/patient-financial-services/price-transparency/hshs-hospital-price-tools,
140137,37-0792770,370792770_HOLY-FAMILY-HOSPITAL_STANDARDCHARGES.txt,https://www.hshs.org/getmedia/aa726af4-d11d-4e41-bfa3-8ef70755f518/370792770_HOLY-FAMILY-HOSPITAL_STANDARDCHARGES.txt,HSHS HOLY FAMILY HOSPITAL,HSHS Holy Family Hospital,Hospital Sisters Health System,200 HEALTH CARE DR,GREENVILLE,IL,62246,6186641230,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2021-01-01,,https://www.hshs.org/about-us/patient-financial-services/price-transparency/hshs-hospital-price-tools,
140145,37-1208459,371208459_ST-JOSEPH-S-HOSPITAL-BREESE_STANDARDCHARGES.txt,https://www.hshs.org/getmedia/f18d30ed-07bb-4ba7-8e8e-3f85e2a69453/371208459_ST-JOSEPH-S-HOSPITAL-BREESE_STANDARDCHARGES.txt,ST JOSEPHS HOSPITAL,HSHS St. Joseph's Hospital Breese,Hospital Sisters Health System,9515 HOLY CROSS LN,BREESE,IL,62230,6185264511,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2021-01-01,,https://www.hshs.org/about-us/patient-financial-services/price-transparency/hshs-hospital-price-tools,
140166,37-0661244,370661244_ST-MARY-S-HOSPITAL-DECATUR_STANDARDCHARGES.txt,https://www.hshs.org/getmedia/2beded52-b92e-4c45-aee3-6d2743743523/370661244_ST-MARY-S-HOSPITAL-DECATUR_STANDARDCHARGES.txt,ST MARYS HOSPITAL,HSHS Saint Mary's Hospital,Hospital Sisters Health System,1800 E LAKE SHORE DR,DECATUR,IL,62521,2174642966,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2021-01-01,,https://www.hshs.org/about-us/patient-financial-services/price-transparency/hshs-hospital-price-tools,
140187,37-0663567,370663567_ST-ELIZABETH-S-HOSPITAL_STANDARDCHARGES.txt,https://www.hshs.org/getmedia/3d35d15e-ed1f-4881-ac97-da9e7f06658b/370663567_ST-ELIZABETH-S-HOSPITAL_STANDARDCHARGES.txt,HSHS ST ELIZABETH'S HOSPITAL,"HSHS Saint Elizabeth's Hospital - O'Fallon, IL -",Hospital Sisters Health System,ONE ST ELIZABETH BOULEVARD,O FALLON,IL,62269,6182342120,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2021-01-01,,https://www.hshs.org/about-us/patient-financial-services/price-transparency/hshs-hospital-price-tools,
141336,37-0663568,370663568_ST-JOSEPH-S-HOSPITAL-HIGHLAND_STANDARDCHARGES.txt,https://www.hshs.org/getmedia/11057365-66c8-4551-b4ac-fb64420cf0b4/370663568_ST-JOSEPH-S-HOSPITAL-HIGHLAND_STANDARDCHARGES.txt,ST JOSEPH'S HOSPITAL,HSHS Saint Joseph's Hospital Highland,Hospital Sisters Health System,12866 TROXLER AVENUE,HIGHLAND,IL,62249,6186512600,U,Critical Access Hospitals,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2021-01-01,,https://www.hshs.org/about-us/patient-financial-services/price-transparency/hshs-hospital-price-tools,
141350,37-0661236,370661236_ST-FRANCIS-HOSPITAL_STANDARDCHARGES.txt,https://www.hshs.org/getmedia/051c977f-6f78-401b-b550-c7db9cdf87ad/370661236_ST-FRANCIS-HOSPITAL_STANDARDCHARGES.txt,ST FRANCIS HOSPITAL,HSHS Saint Francis Hospital,Hospital Sisters Health System,1215 FRANCISCAN DR,LITCHFIELD,IL,62056,2173242191,R,Critical Access Hospitals,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2021-01-01,,https://www.hshs.org/about-us/patient-financial-services/price-transparency/hshs-hospital-price-tools,
520013,39-0807060,390807060_SACRED-HEART-HOSPITAL_STANDARDCHARGES.txt,https://www.hshs.org/getmedia/83fa1eb1-3a1f-418d-ae41-014a781cfa64/390807060_SACRED-HEART-HOSPITAL_STANDARDCHARGES.txt,SACRED HEART HOSPITAL,HSHS Sacred Heart Hospital,Hospital Sisters Health System,900 W CLAIREMONT AVE,EAU CLAIRE,WI,54701,7157174121,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2021-01-01,,https://www.hshs.org/about-us/patient-financial-services/price-transparency/hshs-hospital-price-tools,
