id,ein,name,mrf_url,alt_name,system_name,addr,city,state,zip,phone,urban_rural,category,control_type,medicare_termination_status,last_updated,file_name,permalink,transparency_page,additional_notes
450064,,TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,https://www.texashealth.org/-/media/Project/THR/shared/Documents/PDFs/Business-Office/Pricing/Machine-Readable-Files/750972805_texas-health-arlington-memorial-hospital_standardcharges.csv,Texas Health Arlington Memorial Hospital,Texas Health Resources,800 W RANDOL MILL RD,ARLINGTON,TX,76012,8175486100,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2023-06-27,,,https://www.texashealth.org/Costs-and-Billing/Hospital-Charge-Information,
450891,,TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY PLAN,https://www.texashealth.org/-/media/Project/THR/shared/Documents/PDFs/Business-Office/Pricing/Machine-Readable-Files/481281376_texas-health-center-for-diagnostics-and-surgery-plano_standardcharges.csv,Texas Health Center for Diagnostics & Surgery,,6020 W PARKER ROAD,PLANO,TX,75093,9724032700,U,Short Term,NONPROFIT - CHURCH RELATED,ACTIVE PROVIDER,2023-06-27,,,https://www.texashealth.org/Costs-and-Billing/Hospital-Charge-Information,
450135,,TEXAS HEALTH HARRIS METHODIST FORT WORTH,https://www.texashealth.org/-/media/Project/THR/shared/Documents/PDFs/Business-Office/Pricing/Machine-Readable-Files/756001743_texas-health-harris-methodist-hospital-fort-worth_standardcharges.csv,Texas Health Fort Worth,Texas Health Resources,1301 PENNSYLVANIA AVENUE,FORT WORTH,TX,76104,8172502100,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2023-06-27,,,https://www.texashealth.org/Costs-and-Billing/Hospital-Charge-Information,
670085,,TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,https://www.texashealth.org/-/media/Project/THR/shared/Documents/PDFs/Business-Office/Pricing/Machine-Readable-Files/451502252_texas-health-harris-methodist-hospital-alliance_standardcharges.csv,Texas Health Alliance,Texas Health Resources,10864 TEXAS HEALTH TRAIL,FORT WORTH,TX,76244,6822122000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2023-06-27,,,https://www.texashealth.org/Costs-and-Billing/Hospital-Charge-Information,
450419,,TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE,https://www.texashealth.org/-/media/Project/THR/shared/Documents/PDFs/Business-Office/Pricing/Machine-Readable-Files/751748586_texas-health-harris-methodist-hospital-azle_standardcharges.csv,Texas Health Azle,Texas Health Resources,108 DENVER TRAIL,AZLE,TX,76020,8174448700,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2023-06-27,,,https://www.texashealth.org/Costs-and-Billing/Hospital-Charge-Information,
450148,,TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE,https://www.texashealth.org/-/media/Project/THR/shared/Documents/PDFs/Business-Office/Pricing/Machine-Readable-Files/751977850_texas-health-harris-methodist-hospital-cleburne_standardcharges.csv,Texas Health Cleburne,Texas Health Resources,201 WALLS DRIVE,CLEBURNE,TX,76033,8176412551,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2023-06-27,,,https://www.texashealth.org/Costs-and-Billing/Hospital-Charge-Information,
450888,,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE,https://www.texashealth.org/-/media/Project/THR/shared/Documents/PDFs/Business-Office/Pricing/Machine-Readable-Files/020555370_texas-health-harris-methodist-hospital-southlake_standardcharges.csv,Texas Health Harris Methodist Hospital Southlake,,1545 E SOUTHLAKE BLVD,SOUTHLAKE,TX,76092,8177488700,U,Short Term,NONPROFIT - OTHER,ACTIVE PROVIDER,2023-06-27,,,https://www.texashealth.org/Costs-and-Billing/Hospital-Charge-Information,
450779,,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F,https://www.texashealth.org/-/media/Project/THR/shared/Documents/PDFs/Business-Office/Pricing/Machine-Readable-Files/752678857_texas-health-harris-methodist-hospital-southwest-fort-worth_standardcharges.csv,Texas Health Southwest Fort Worth,Texas Health Resources,6100 HARRIS PKWY,FORT WORTH,TX,76132,8174335000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2023-06-27,,,https://www.texashealth.org/Costs-and-Billing/Hospital-Charge-Information,
450351,,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL,https://www.texashealth.org/-/media/Project/THR/shared/Documents/PDFs/Business-Office/Pricing/Machine-Readable-Files/751752253_texas-health-harris-methodist-hospital-stephenville_standardcharges.csv,Texas Health Stephenville,Texas Health Resources,411 N BELKNAP ST,STEPHENVILLE,TX,76401,2549651500,R,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2023-06-27,,,https://www.texashealth.org/Costs-and-Billing/Hospital-Charge-Information,
670071,,TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON,https://www.texashealth.org/-/media/Project/THR/shared/Documents/PDFs/Business-Office/Pricing/Machine-Readable-Files/203003947_texas-health-heart-and-vascular-hospital-arlington_standardcharges.csv,Texas Health Heart & Vascular Hospital Arlington,,811 WRIGHT STREET,ARLINGTON,TX,76012,8179603500,U,Short Term,NONPROFIT - CHURCH RELATED,ACTIVE PROVIDER,2023-06-27,,,https://www.texashealth.org/Costs-and-Billing/Hospital-Charge-Information,
