Standard Charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibra Hospital of Southeastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prices Effective July 1, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item/Service/Service Package Description,CPT/HCPCS Code,DRG/CMG,NDC,Other Accounting/ Revenue Codes,Rx Charge Quantity,Inpatient Default Gross Charge,Outpatient Default Gross Charge,Discounted Cash Price,De-identified Minimum Negotiated Payer Specific Charge,De-identified Maximum Negotiated Payer Specific Charge,ACPN  (AMERICAS CHOICE PROVIDER NETWORK) 744,"ACPN  (AMERICAS CHOICE PROVIDER NETWORK) 
Auto 759/ WC 34","ACPN  (AMERICAS CHOICE PROVIDER NETWORK) 
MR  884",Aetna  720,Aetna Medicare Advantage,Affinity Hospice,AHLIC PPO MR  962 (Aetna),BC/BS of Michigan 600,BC/BS of Michigan 600,"Beaumont Health
Formerly OAKWOOD ACO 314",Blue Care Network Michigan   230,Blue Care Network of Michigan Medicare Adv  712,Cofinity/PPOM   500,Consumers Mutual Ins of MI,DMC CARE  747,Ethix 711,Fidelis Secure Med Adv 961,Fidelis Securecare DR 960,Trusted Health Plan (formerly Harbor Health Choice) 734,Trusted Health Plan (formerly Harbor Health Advantage) MR 982,Health Alliance Plan 725 (PHP),Health Alliance Medicare Senior Plus and Medicare PPO,Health Payors Organization  717,HealthPlus of Michigan (HPM) MR,Humana-Choice Care 718,Integrated Health Plan 712,MEDICAID - STATE OF MICHIGAN  171,MEDICAID - STATE OF MICHIGAN  171,MEDICAID - STATE OF MICHIGAN  171,Medicare,MediNcrease,MediNcrease WC,Paradigm Specialty Network (Formerly AdvaNet) WC,"Wellcare DR (previously Meridian Health Plan DR)
*Only Name change*
","Wellcare MR ( Previously Meridian Health Plan MR)
* Only Name change*","Wellcare Health Plan (Previously Meridian Health Plan)
*Name change only*","Wellcare Health Plan MICHILD (Previously Meridian Health Plan MICHILD)
*Name change only*",Midwest Health Plan,Molina MR,Molina DR,Molina Marketplace,"Multiplan Primary 
Network - PHCS, PHCS Savility, HealthEOS Network
 715","Multiplan Complimentary 737
Multiplan, Value point
 737","Multiplan WC 54
Multiplan, Value Point
 617","Multiplan Auto 618
Multiplan, Value Point
 618",National Providers Network (NPN) 719,Preferred Hlth 750,Priority Health Choice,Priority Health Choice,Priority Health Choice MR,"Provider Network of America
Wrap/TPA",Three Rivers Hospital Network,Tricare East -Humana Government Business,Tricare East -Humana Government Business,"Total Healthcare Comm 319, Medicare Adv 727","Total Healthcare Comm 319, Medicare Adv 727",Total Healthcare DR 231,Total Healthcare DR 231,UHC Community Commercial 318,UHC Community MME 905,UHC Community MR 710,UHC Community MR 710,UHC Community DR 904,"VA Administration
(Not contracted)",VA Community Care Network (VA CCN)
R&B LEVEL 1,,,,110,,13310,,,AP-DRG, Medicare DRG ,80% TBC,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,80% of Billed Charges,,,,,"1,000",,70% of Billed Charges,,,75% of Billed Charges,,,,,90% of Billed Charges,,,,,,,,,,,,60% of Billed Charges,,,70% of Billed Charges,,,,100% Medicare DRG,80% of Billed charges,80% of Billed Charges,62% of Billed Charges,100% LTAH PPS,,,,,,95% of Medicare DRG,100% of  Medicare DRG,100% MS LTC DRG,1018.00 per diem,48.3% of billed Charges,100% MS LTC DRG
R&B SEMI PVT GENERIC,,,,120,,13310,,,0,,"10,648",100% State Mandated FS,100% Medicare DRG,"1,500",100% Medicare DRG,"100% Medicare or
100% Medicaid or
Comm-case by case",100% Medicare DRG,,,"1,500",105% Medicare DRG,100% Medicare DRG,"1,300",100% Medicare DRG,"1,700","10,648",100% Mediace DRG,100% Medicaid FS,110% Medicare DRG,105% Medicare DRG,"1,100",Lesser of BC or 100% DRG,"9,317", 100% DRG of Medicare ,800,"9,983","1,043","1,102","1,131",100% of Medicare DRG,"11,979",99% WC State Fee,Case by case basis,100% of current MI Medicaid rate,100% Medicare DRG,100% Medicare DRG,100% Medicaid,100% Medicare DRG,"Lesser of BC or 
100% Medicare","Lesser of BC or 
100% Michigan Medicaid DRG rates",100% Medicare FS,"2,500","7,986","Lesser of 98% WC FS
or 60% BC","Lesser of 98% State Auto FS
or 60% BC","9,317",925,"1,301","1,401",,"10,648","10,648","10,648",100% LTAH PPS,,,,,"1,357",,,,"1,018","6,429",
R&B,,,,120,,14762,,,1700,2400,"11,810",,100% Medicare DRG,"1,500",100% Medicare DRG,,,,,"1,500",,,"1,300",,"1,700","11,810",,,,,"1,100",,"10,333",,800,"11,072","1,043","1,102","1,131",,"13,286",,,,,,,,,,,"2,500","8,857",,,"10,333",925,"1,301","1,401",,"11,810","11,810","11,810",100% LTAH PPS,,,,,"1,357",,,,"1,018","7,130",
R&B LEVEL 3,,,,120,,5307.95,,,0,,"4,246",,100% Medicare DRG,"1,500",100% Medicare DRG,,,,,"1,500",,,"1,300",,"1,700","4,246",,,,,"1,100",,"3,716",,800,"3,981","1,043","1,102","1,131",,"4,777",,,,,,,,,,,"2,500","3,185",,,"3,716",925,"1,301","1,401",,"4,246","4,246","4,246",100% LTAH PPS,,,,,"1,357",,,,"1,018","2,564",
R&B,,,,121,,13310,,,1400,2100,"10,648",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"10,648",,,,,,,"9,317",,,"9,983",,,,,"11,979",,,,,,,,,,,,"7,986",,,"9,317",,,,,"10,648","10,648","10,648",100% LTAH PPS,"1,500","1,700","1,385","1,500",,,,,,"6,429",
R&B,,,,130,,13310,,,0,"12,644.50","10,648",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"10,648",,,,,"1,350",,"9,317",,,"9,983",,,,,"11,979",,,,,,,,,,,,"7,986",,,"9,317",,,,,"10,648","10,648","10,648",100% LTAH PPS,,,,,,,,,,"6,429",
R&B,,,,138,,13310,,,0,"12,644.50","10,648",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"10,648",,,,,,,"9,317",,,"9,983",,,,,"11,979",,,,,,,,,,,,"7,986",,,"9,317",650,,,,"10,648","10,648","10,648",100% LTAH PPS,,,,,,,,,,"6,429",
R&B,,,XXXXXXX0031,140,EA        ,15730,,,0,"14,943.50","12,584",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"12,584",,,,,"1,450",,"11,011",,,"11,798",,,,,"14,157",,,,,,,,,,,,"9,438",,,"11,011",,,,,"12,584","12,584","12,584",100% LTAH PPS,,,,,,,,,,"7,598",
ROOM & BOARD,,,XXXXXXX0032,158,EA        ,5307.95,,,0,"5,042.55","4,246",,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,,"4,246",,,,,,,"3,716",,,"3,981",,,,,"4,777",,,,,,,,,,,,"3,185",,,"3,716",,,,,"4,246","4,246","4,246",100% LTAH PPS,,,,,,,,,,"2,564",
LEAVE OF ABSENCE,,,XXXXXXX0027,180,EA        ,0,,,0, -   , -   ,,100% Medicare DRG,,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
